José, ﻿Josér
René, René
Higuita, Higuita
não, não
tem, ter
o, o
talhe, talhe
e, e
o, o
porte, porte
de, de
goleiro, goleiro
., .
Com, com
1,74, 1,74
m, m
e, e
70, 70
kg, kg
,, ,
também, também
não, não
ostenta, ostentar
o, o
talhe, talhe
e, e
o, o
porte, porte
de, de
um, um
zagueiro, zagueiro
., .
Talvez, talvez
por, por
isso, isso
ele, ele
seja, ser
um, um
e, e
outro, outro
ao, a o
mesmo, mesmo
tempo, tempo
., .
Nascido, Nascer
na, em o
periferia, periferia
de, de
Medellín, Medellín
,, ,
em, em
18, 18
de, de
agosto, agosto
de, de
1966, 1966
,, ,
era, ser
na, em o
infância, infância
um, um
atacante, atacante
de, de
várzea, várzea
que, que
ocupava, ocupar
a, o
meta, meta
de, de
seu, seu
time, time
quando, quando
o, o
arqueiro, arqueiro
faltava, faltar
., .
Nos, em o
juvenis, juvenis
do, de o
Nacional, Nacional
de, de
Medellín, Medellín
,, ,
jogou, jogar
de, de
zagueiro, zagueiro
a, a
ponteiro, ponteiro
., .
Luís, Luís
Cubilla, Cubilla
decidiu, decidir
fixá-lo, fixar ele
no, em o
arco, arco
por, por
causa, causa
da, de o
sua, seu
elasticidade, elasticidade
., .

, 

Foi, ser
Francisco, Francisco
Maturana, Maturana
,, ,
porém, porém
,, ,
quem, quem
transformou, transformar
Higuita, Higuita
no, em o
goleiro-líbero, goleiro-líbero
do, de o
time, time
e, e
da, de o
seleção, seleção
,, ,
com, com
autorização, autorização
para, para
avançar, avançar
., .
Frase, Frase
de, de
Maturana, Maturana
:, :
", "
No, em o
futebol, futebol
de, de
hoje, hoje
,, ,
quase, quase
ninguém, ninguém
chuta, chuta
de, de
longe, longe
., .
Por, por
que, que
vou, ir
desperdiçar, desperdiçar
uma, um
posição, posição
?, ?
", "
., .

, 

Mas, mas
,, ,
um, um
ano, ano
atrás, atrás
,, ,
ele, ele
se, se
envolveu, envolver
num, em um
caso, caso
de, de
sequestro, sequestro
., .
Acusado, acusar
de, de
cumplicidade, cumplicidade
,, ,
Higuita, Higuita
ficou, ficar
preso, preso
quase, quase
oito, oito
meses, mês
e, e
só, só
foi, ser
libertado, libertar
por, por
um, um
indulto, indulto
de, de
Natal, Natal
., .
Ao, a o
sair, sair
,, ,
enviou, enviar
um, um
recado, recado
a, o
Maturana, Maturana
:, :
", "
Quero, querer
o, o
meu, meu
lugar, lugar
na, em o
seleção, seleção
", "
., .
O, o
mister, mister
gostou, gostar
:, :
", "
Em, em
forma, forma
,, ,
Higuita, Higuita
é, ser
o, o
meu, meu
número, número
um, um
", "
., .
(, (
SL, SL
), )

, 

