Classificados, ﻿Classificado
para, para
a, o
segunda, segundo
fase, fase
por, por
antecipação, antecipação
,, ,
Palmeiras, Palmeiras
e, e
São, São
Paulo, Paulo
jogam, jogar
hoje, hoje
para, para
cumprir, cumprir
tabela, tabela
na, em o
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
., .
Pela, por o
Série, Série
C, C
,, ,
o, o
Pameiras, Pameiras
enfrenta, enfrentar
o, o
Caxias, Caxias
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
às, a o
17h, 17h
., .
O, o
adversário, adversário
precisa, precisar
do, de o
empate, empate
para, para
garantir, garantir
sua, seu
classificação, classificação
., .

, 

Mais, mais
cedo, cedo
,, ,
às, a o
13h, 13h
,, ,
no, em o
Pacaembu, Pacaembu
,, ,
São, São
Paulo, Paulo
e, e
Londrina, Londrina
,, ,
ambos, ambos
com, com
quatro, quatro
pontos, ponto
,, ,
decidem, decidir
quem, quem
sai, sair
como, como
líder, líder
da, de o
Série, Série
A, a
para, para
a, o
disputa, disputa
da, de o
segunda, segundo
fase, fase
., .
O, o
técnico, técnico
do, de o
São, São
Paulo, Paulo
,, ,
Murici, Murici
,, ,
acredita, acreditar
que, que
este, este
será, ser
o, o
primeiro, primeiro
grande, grande
teste, teste
da, de o
equipe, equipe
no, em o
torneio, torneio
., .

, 

Segundo, segundo
o, o
treinador, treinador
,, ,
o, o
Londrina, Londrina
é, ser
uma, um
equipe, equipe
perigosa, perigoso
e, e
que, que
vem, vir
jogando, jogar
há, haver
muito, muito
tempo, tempo
junto, junto
., .
O, o
treinador, treinador
deve, dever
repetir, repetir
o, o
mesmo, mesmo
time, time
titular, titular
que, que
goleou, golear
o, o
Volta, Volta
Redonda, Redonda
por, por
7, 7
a, a
0, 0
,, ,
anteontem, anteontem
., .

, 

No, em o
Palmeiras, Palmeiras
,, ,
o, o
técnico, técnico
Niltinho, Niltinho
espera, esperar
um, um
melhor, bom
rendimento, rendimento
de, de
seus, seu
jogadores, jogador
na, em o
partida, partida
contra, contra
o, o
Caxias, Caxias
., .
Mesmo, mesmo
usando, usar
três, três
atletas, atleta
da, de o
equipe, equipe
principal, principal
(, (
Flávio, Flávio
Conceição, Conceição
,, ,
Amaral, Amaral
e, e
Magrão, Magrão
), )
,, ,
o, o
time, time
não, não
conseguiu, conseguir
convencer, convencer
., .
Venceu, vencer
seus, seu
dois, dois
jogos, jogo
por, por
1, 1
a, a
0, 0
., .
Reflexo, Reflexo
,, ,
também, também
,, ,
da, de o
troca, troca
de, de
técnicos, técnico
que, que
aconteceu, acontecer
na, em o
véspera, véspera
da, de o
estréia, estréia
no, em o
torneio, torneio
., .

, 

Pela, por o
Série, Série
H, H
,, ,
a, o
Portuguesa, Portuguesa
enfrenta, enfrentar
o, o
Grêmio, Grêmio
de, de
Porto, Porto
Alegre, Alegre
,, ,
às, a o
17h, 17h
,, ,
no, em o
Canindé, Canindé
., .
Já, já
classificado, classificar
,, ,
o, o
time, time
paulista, paulista
deve, dever
no, em o
mínimo, pequeno
empatar, empatar
para, para
garantir, garantir
a, o
liderança, liderança
do, de o
grupo, grupo
., .
Grêmio, Grêmio
e, e
Mirassol, Mirassol
,, ,
que, que
joga, jogar
com, com
o, o
Matsubara, Matsubara
,, ,
têm, ter
dois, dois
pontos, ponto
cada, cada
e, e
lutam, lutar
pela, por o
outra, outro
vaga, vaga
da, de o
chave, chave
., .

, 

NA, NA
TV, tv

, 

Gazeta, Gazeta
/, /
CNT, CNT
,, ,
videoteipe, videoteipe
de, de
São, São
Paulo, Paulo
x, x
Londrina, Londrina
,, ,
às, a o
15h, 15h
., .
Gols, Gols
nos, em o
telejornais, telejornal
noturnos, noturno
., .

, 

