Representantes, ﻿Representante
de, de
clubes, clube
de, de
sete, sete
Estados, estado
decidiram, decidir
legalizar, legalizar
a, o
criação, criação
da, de o
Liga, Liga
Nacional, Nacional
masculina, masculino
de, de
basquete, basquete
., .
A, o
decisão, decisão
foi, ser
tomada, tomar
em, em
reunião, reunião
na, em o
Federação, Federação
Paulista, Paulista
de, de
Basquete, Basquete
,, ,
equipes, equipe
de, de
Minas, Minas
Gerais, Gerais
,, ,
Rio, Rio
Grande, Grande
do, de o
Sul, Sul
,, ,
Santa, Santa
Catarina, Catarina
,, ,
Brasília, Brasília
,, ,
Rio, Rio
,, ,
Paraná, Paraná
e, e
São, São
Paulo, Paulo
., .
Dos, de o
principais, principal
times, time
paulistas, paulista
,, ,
apenas, apenas
Blue, Blue
Life, Life
e, e
Guaru, Guaru
não, não
compareceram, comparecer
., .

, 

Está, estar
elaborado, elaborar
um, um
projeto, projeto
do, de o
estatuto, estatuto
da, de o
liga, liga
,, ,
que, que
os, o
clubes, clube
devem, dever
analisar, analisar
para, para
que, que
o, o
mesmo, mesmo
possa, poder
ser, ser
colocado, colocar
novamente, novamente
em, em
discussão, discussão
na, em o
próxima, próximo
reunião, reunião
,, ,
marcada, marcar
para, para
o, o
dia, dia
5, 5
., .
(, (
EA, EA
), )

, 

