Flores, ﻿Flor
,, ,
bolo, bolo
e, e
uma, um
toalha, toalha
., .
Com, com
estes, este
presentes, presente
,, ,
a, o
atacante, atacante
Hilma, Hilma
festejou, festejar
anteontem, anteontem
em, em
Bremen, Bremen
seu, seu
22.º, 22.º
aniversário, aniversário
., .
A, o
festa, festa
começou, começar
na, em o
quadra, quadra
,, ,
com, com
a, o
vitória, vitória
sobre, sobre
a, o
Ucrânia, Ucrânia
., .
", "
Foi, ser
demais, demais
., .
O, o
público, público
aplaudiu, aplaudir
e, e
cantou, cantar
parabéns, parabéns
naquela, em aquele
língua, língua
danada, danar
", "
,, ,
disse, dizer
a, o
jogadora, jogadora
., .
Na, em o
véspera, véspera
,, ,
o, o
namorado, namorado
Jurandir, Jurandir
já, já
havia, haver
lhe, ele
telefonado, telefonar
., .
Depois, depois
,, ,
foi, ser
a, o
vez, vez
dos, de o
familiares, familiar
., .

, 

Eleita, Eleita
a, o
melhor, bom
jogadora, jogadora
da, de o
partida, partida
contra, contra
as, o
ucranianas, ucraniana
,, ,
Hilma, Hilma
voltou, voltar
para, para
o, o
hotel, hotel
e, e
,, ,
depois, depois
de, de
jantar, jantar
,, ,
foi, ser
direto, direto
para, para
o, o
quarto, quarto
,, ,
onde, onde
assistiu, assistir
a, o
programação, programação
da, de o
MTV, MTV
alemã, alemã
., .
Mas, mas
,, ,
antes, antes
de, de
dormir, dormir
,, ,
ligou, ligar
o, o
walkman, walkman
para, para
ouvir, ouvir
Jorge, Jorge
Ben, Ben
Jor, Jor
., .
(, (
Sérgio, Sérgio
Kraselis, Kraselis
), )

, 

