Ontem, ﻿Ontir
pela, por o
manhã, manhã
,, ,
os, o
atletas, atleta
que, que
não, não
atuaram, atuar
contra, contra
o, o
Vitória, vitória
,, ,
participaram, participar
de, de
um, um
coletivo, coletivo
com, com
a, o
equipe, equipe
principal, principal
., .
Os, o
que, que
jogaram, jogar
,, ,
fariam, fariam
treino, treino
de, de
recuperação, recuperação
à, a o
tarde, tarde
no, em o
Projeto, Projeto
Acqua, Acqua
., .

, 

Murici, Murici
reclamou, reclamar
da, de o
postura, postura
do, de o
time, time
do, de o
Vitória, vitória
., .
", "
Eles, eles
bateram, bater
muito, muito
., .
O, o
que, que
fizeram, fazer
com, com
o, o
Pereira, Pereira
foi, ser
um, um
absurdo, absurdo
", "
,, ,
disse, dizer
., .
Pereira, Pereira
levou, levar
um, um
pisão, pisão
na, em o
cabeça, cabeça
,, ,
mesmo, mesmo
estando, estar
caído, cair
no, em o
chão, chão
., .
Murici, Murici
espera, esperar
que, que
o, o
Inter, Inter
não, não
tenha, ter
a, o
mesma, mesmo
atitude, atitude
., .

, 

Celso, Celso
Roth, Roth
,, ,
técnico, técnico
da, de o
equipe, equipe
de, de
Porto, Porto
Alegre, Alegre
,, ,
afirmou, afirmar
que, que
armará, armar
um, um
esquema, esquema
", "
cauteloso, cauteloso
", "
para, para
segurar, segurar
o, o
fulminante, fulminante
ataque, ataque
do, de o
São, São
Paulo, Paulo
que, que
,, ,
nas, em o
quartas-de-final, quarta-de-final
,, ,
já, já
imprimiu, imprimir
um, um
5, 5
a, a
2, 2
nos, em o
gaúchos, gaúcho
., .

, 

Murici, Murici
prevê, prever
uma, um
forte, forte
marcação, marcação
., .
", "
Estudei, Estudei
os, o
jogos, jogo
de, de
nossos, nosso
adversários, adversário
durante, durante
todo, todo
o, o
torneio, torneio
., .
Todos, todo
eles, ele
,, ,
sem, sem
exceção, exceção
,, ,
mudaram, mudar
seus, seu
esquemas, esquema
de, de
jogo, jogo
quando, quando
tinham, ter
que, que
nos, nós
encarar, encarar
., .
O, o
Inter, Inter
é, ser
a, o
equipe, equipe
mais, mais
marcadora, marcadora
que, que
enfrentamos, enfrentar
e, e
esse, esse
fundamento, fundamento
deve, dever
ser, ser
aprimorado, aprimorar
ainda, ainda
mais, mais
amanhã, amanhã
(, (
hoje, hoje
), )
", "
,, ,
afirmou, afirmar
o, o
treinador, treinador
., .

, 

SÃO, São
PAULO, PAULO

, 

Rogério, Rogério
;, ;
Pavão, Pavão
,, ,
Nem, Nem
,, ,
Sérgio, Sérgio
Baresi, Baresi
e, e
Marcelo, Marcelo
;, ;
Mona, Mona
,, ,
Pereira, Pereira
e, e
Jamelli, Jamelli
;, ;
Caio, Caio
(, (
Catê, Catê
), )
,, ,
Guilherme, Guilherme
e, e
Toninho, Toninho
., .
Técnico, Técnico
-, -
Murici, Murici
., .

, 

INTERNACIONAL, INTERNACIONAL

, 

Luciano, Luciano
;, ;
Armindo, Armindo
,, ,
Jair, Jair
,, ,
Alex, Alex
e, e
Celso, Celso
;, ;
Luís, Luís
Fernando, Fernando
,, ,
Anderson, Anderson
e, e
Lico, Lico
;, ;
Dirceu, Dirceu
,, ,
Itamar, Itamar
e, e
Jorge, Jorge
., .
Técnico, Técnico
-, -
Celso, Celso
Roth, Roth
., .

, 

Local, local
:, :
Pacaembu, Pacaembu

, 

Horário, Horário
:, :
18h, 18h

, 

NA, NA
TV, tv
:, :
Gazeta, Gazeta
/, /
CNT, CNT
e, e
Bandeirantes, Bandeirantes
,, ,
ao, a o
vivo, vivo
., .

, 

