Praticamente, ﻿Praticamente
sem, sem
surpresas, surpresa
,, ,
se, se
definiram, definir
no, em o
sábado, sábado
e, e
no, em o
domingo, domingo
os, o
quatro, quatro
times, time
sobreviventes, sobrevivente
dos, de o
", "
playoffs, playoff
", "
da, de o
temporada, temporada
de, de
1993/94, 1993/94
no, em o
futebol, futebol
americano, americano
., .
Pela, por o
Conferência, Conferência
Nacional, Nacional
,, ,
o, o
San, San
Francisco, Francisco
49ers, 49ers
trucidou, trucidar
o, o
New, New
York, York
Giants, Giants
,, ,
44, 44
x, x
3, 3
,, ,
e, e
o, o
Dallas, Dallas
Cowboys, Cowboys
derrotou, derrotar
o, o
Green, Green
Bay, Bay
Packers, Packers
,, ,
27, 27
x, x
17, 17
., .
Pela, por o
Conferência, Conferência
Americana, Americana
,, ,
o, o
Buffalo, Buffalo
Bills, Bills
bateu, bater
o, o
Los, Los
Angeles, Angeles
Raiders, Raiders
,, ,
29, 29
x, x
23, 23
,, ,
e, e
o, o
Kansas, Kansas
City, City
Chiefs, Chiefs
superou, superar
o, o
Houston, Houston
Oilers, Oilers
28, 28
x, x
20, 20
., .
No, em o
próximo, próximo
domingo, domingo
,, ,
os, o
vencedores, vencedor
se, se
defrontarão, defrontar
pelos, por o
títulos, título
de, de
suas, seu
chaves, chave
., .
No, em o
dia, dia
30, 30
,, ,
os, o
remanescentes, remanescente
se, se
debaterão, debater
pelo, por o
Super, Super
Bowl, Bowl
., .

, 

Apenas, apenas
os, o
Chiefs, Chiefs
ultrapassaram, ultrapassar
os, o
fatores, fator
campo, campo
e, e
torcida, torcido
., .
Cumpriram, Cumprir
a, o
tarefa, tarefa
graças, graças
ao, a o
talento, talento
de, de
seu, seu
", "
quarterback, quarterback
", "
,, ,
Joe, Joe
Montana, Montana
,, ,
e, e
a, a
uma, um
sucessão, sucessão
de, de
falhas, falha
do, de o
elenco, elenco
adversário, adversário
., .
Quase, quase
na, em o
metade, metade
do, de o
quarto, quarto
derradeiro, derradeiro
da, de o
peleja, peleja
,, ,
os, o
Oilers, Oilers
mantinham, mantinhar
a, o
sua, seu
vantagem, vantagem
no, em o
placar, placar
,, ,
13, 13
x, x
7, 7
–, –
mas, mas
acabaram, acabar
dizimados, dizimado
pelos, por o
excesso, excesso
de, de
distrações, distração
e, e
de, de
infrações, infração
., .
Os, o
defensores, defensor
dos, de o
Chiefs, Chiefs
derrubaram, derrubar
sete, sete
vezes, vez
o, o
", "
quarterback, quarterback
", "
dos, de o
Oilers, Oilers
,, ,
o, o
veterano, veterano
Warren, Warren
Moon, Moon
., .

, 

Na, em o
neve, neve
de, de
Buffalo, Buffalo
,, ,
os, o
Raiders, Raiders
da, de o
calorosa, caloroso
Califórnia, Califórnia
também, também
comandaram, comandar
o, o
placar, placar
na, em o
maior, grande
parte, parte
do, de o
combate, combate
., .
A, a
menos, menos
de, de
três, três
minutos, minuto
do, de o
final, final
,, ,
sobrepujavam, sobrepujar
os, o
donos, dono
da, de o
casa, casa
,, ,
23, 23
x, x
22, 22
,, ,
mas, mas
se, se
automutilaram, automutilar
num, em um
recorde, recorde
de, de
tolices, tolice
em, em
cadeia, cadeia
,, ,
faltas, falta
e, e
violações, violação
que, que
permitiram, permitir
a, o
recuperação, recuperação
dos, de o
Bills, Bills
,, ,
estimulados, estimular
pela, por o
torcida, torcida
mais, mais
fiel, fiel
do, de o
futebol, futebol
americano, americano
., .

, 

Na, em o
Conferência, Conferência
Nacional, Nacional
,, ,
os, o
49ers, 49ers
tiveram, ter
uma, um
jornada, jornada
excepcional, excepcional
do, de o
", "
running, running
back, backr
", "
Ricky, Ricky
Watters, Watters
,, ,
cinco, cinco
", "
touch, touch
downs, downs
", "
., .

, 

Eternamente, eternamente
com, com
a, o
mesma, mesmo
expressão, expressão
na, em o
face, face
,, ,
nos, em o
lances, lance
de, de
glória, glória
ou, ou
naqueles, em aquele
de, de
hesitação, hesitação
,, ,
Troy, Troy
Aikman, Aikman
,, ,
o, o
", "
quarterback, quarterback
", "
dos, de o
Cowboys, Cowboys
,, ,
ministrou, ministrar
uma, um
aula, aula
incrível, incrível
de, de
distribuição, distribuição
de, de
bolas, bola
., .

, 

Agora, agora
,, ,
os, o
Chiefs, Chiefs
necessitam, necessitar
resistir, resistir
ao, a o
gelo, gelo
de, de
Buffalo, Buffalo
,, ,
mais, mais
do, de o
que, que
à, a o
tradição, tradição
dos, de o
Bills, Bills
,, ,
tricampeões, tricampeão
da, de o
Americana, Americana
., .
Em, em
Dallas, Dallas
,, ,
os, o
Cowboys, Cowboys
pegam, pegar
os, o
49ers, 49ers
., .

, 

