Como, ﻿Como
acontece, acontecer
sempre, sempre
no, em o
kart, kart
,, ,
a, o
temporada, temporada
de, de
93, 93
revelou, revelar
alguns, algum
nomes, nome
que, que
podem, poder
–, –
em, em
um, um
futuro, futuro
próximo, próximo
–, –
manter, manter
a, o
tradição, tradição
brasileira, brasileiro
de, de
bons, bom
pilotos, piloto
no, em o
automobilismo, automobilismo
internacional, internacional
., .
O, o
paulista, paulista
Gastão, Gastão
Fráguas, Fráguas
Filho, Filho
foi, ser
a, o
grande, grande
revelação, revelação
do, de o
ano, ano
,, ,
conquistando, conquistar
dois, dois
títulos, título
:, :
o, o
paulista, paulista
na, em o
categoria, categoria
Novatos, Novatos
e, e
o, o
Masters, Masters
,, ,
da, de o
Copa, Copa
Pakalolo, Pakalolo
., .
Já, já
o, o
destaque, destaque
do, de o
ano, ano
passado, passado
,, ,
Ricardo, Ricardo
Maurício, Maurício
,, ,
inicia, iniciar
nesta, em este
temporada, temporada
a, o
sua, seu
carreira, carreira
internacional, internacional
,, ,
disputando, disputar
provas, prova
na, em o
Itália, Itália
e, e
Portugal, Portugal
., .

, 

Mas, mas
o, o
estilo, estilo
despretensioso, despretensioso
do, de o
kart, kart
de, de
décadas, década
passadas, passar
vai, ir
sendo, ser
superado, superar
a, a
cada, cada
ano, ano
pelo, por o
profissionalismo, profissionalismo
e, e
pelo, por o
apoio, apoio
das, de o
empresas, empresa
,, ,
que, que
ao, a o
mesmo, mesmo
tempo, tempo
que, que
acirram, acirr
as, o
disputas, disputa
dos, de o
campeonatos, campeonato
,, ,
ajudam, ajudar
no, em o
aperfeiçoamento, aperfeiçoamento
dos, de o
pilotos, piloto
., .
Desde, desde
92, 92
,, ,
vem, vir
sendo, ser
organizada, organizar
a, o
Copa, Copa
Pakalolo, Pakalolo
de, de
Fórmula, Fórmula
Kart, Kart
,, ,
que, que
engloba, englobar
seis, seis
categorias, categoria
–, –
e, e
incentiva, incentivar
a, o
iniciação, iniciação
de, de
muitos, muito
pilotos, piloto
., .

, 

O, o
maior, grande
exemplo, exemplo
de, de
paixão, paixão
por, por
este, este
esporte, esporte
pôde, poder
ser, ser
notado, notar
no, em o
final, final
do, de o
ano, ano
passado, passado
., .
Em, em
uma, um
corrida, corrida
beneficente, beneficente
,, ,
realizada, realizar
em, em
Bercy, Bercy
(, (
FRA, FRA
), )
,, ,
reuniram-se, reunir se
os, o
dois, dois
maiores, grande
pilotos, piloto
da, de o
atualidade, atualidade
:, :
Ayrton, Ayrton
Senna, Senna
e, e
Alain, Alain
Prost, Prost
., .
A, o
prova, prova
,, ,
organizada, organizar
pelo, por o
ex-piloto, ex-piloto
francês, francês
Philippe, Philippe
Steiff, Steiff
–, –
que, que
ficou, ficar
tetraplégico, tetraplégico
após, após
acidente, acidente
em, em
Jacarepaguá, Jacarepaguá
(, (
RJ, RJ
), )
–, –
acabou, acabar
por, por
ter, ter
a, o
vitória, vitória
do, de o
francês, francês
,, ,
tetracampeão, tetracampeão
da, de o
F-1, F-1
., .
", "
A, o
sensação, sensação
é, ser
sempre, sempre
muito, muito
boa, bom
de, de
correr, correr
em, em
um, um
kart, kart
., .
É, ser
algo, algo
que, que
nunca, nunca
acaba, acabar
", "
,, ,
afirmou, afirmar
Prost, Prost
., .

, 

Senna, Senna
,, ,
que, que
ficou, ficar
em, em
terceiro, terceiro
lugar, lugar
na, em o
prova, prova
,, ,
demonstrava, demonstrar
toda, todo
a, o
alegria, alegria
por, por
poder, poder
voltar, voltar
às, a o
suas, seu
origens, origem
., .
", "
O, o
kart, kart
é, ser
o, o
início, início
de, de
tudo, tudo
., .
É, ser
a, o
escola, escola
do, de o
automobilismo, automobilismo
., .
Não, não
se, se
pode, poder
pilotar, pilotar
sem, sem
ter, ter
passado, passar
pelo, por o
kart, kart
", "
,, ,
ensinou, ensinar
o, o
brasileiro, brasileiro
,, ,
que, que
construiu, construir
um, um
kartódromo, kartódromo
particular, particular
,, ,
em, em
seu, seu
sítio, sítio
,, ,
na, em o
cidade, cidade
de, de
Tatuí, Tatuí
(, (
SP, SP
), )
., .
", "
Agora, agora
já, já
tenho, ter
lugar, lugar
certo, certo
para, para
matar, matar
minhas, meu
saudades, saudade
", "
,, ,
brincou, brincar
o, o
piloto, piloto
., .

, 

Para, para
94, 94
,, ,
a, o
expectativa, expectativa
é, ser
de, de
que, que
ocorra, ocorrer
um, um
equilíbrio, equilíbrio
ainda, ainda
maior, grande
entre, entre
as, o
categorias, categoria
e, e
que, que
aumente, aumente
o, o
número, número
de, de
participantes, participante
no, em o
kart, kart
paulista, paulista
–, –
o, o
principal, principal
do, de o
país, país
., .
A, a
cada, cada
dia, dia
de, de
provas, prova
no, em o
kartódromo, kartódromo
de, de
Interlagos, Interlagos
,, ,
mais, mais
de, de
125, 125
pilotos, piloto
–, –
a, a
partir, partir
de, de
10, 10
anos, ano
de, de
idade, idade
–, –
se, se
reúnem, reúnem
para, para
disputar, disputar
corridas, corrida
,, ,
em, em
seis, seis
categorias, categoria
:, :
Júnior-menor, Júnior-menor
,, ,
Júnior, Júnior
,, ,
Graduados, Graduados
", "
B, B
", "
,, ,
Graduados, Graduados
", "
A, o
", "
,, ,
Novatos, Novatos
e, e
Cadetes, Cadetes
., .

, 

