"Não, ﻿"Não
tem, ter
nada, nada
a, a
ver, ver
., .
Se, se
quisermos, quisermos
um, um
grupo, grupo
unido, unir
,, ,
um, um
jogador, jogador
não, não
pode, poder
criticar, criticar
outro, outro
,, ,
muito, muito
menos, menos
o, o
Muller, Muller
,, ,
que, que
é, ser
excelente, excelente
pessoa, pessoa
., .
", "

, 

Luís, Luís
Henrique, Henrique
defendeu, defender
o, o
fim, fim
do, de o
esquema, esquema
tático, tático
com, com
dois, dois
volantes, volante
(, (
meias, meia
com, com
função, função
principal, principal
defensiva, defensiva
,, ,
Mauro, Mauro
Silva, Silva
e, e
Dunga, Dunga
), )
., .
", "
Com, com
os, o
jogadores, jogador
em, em
boa, bom
forma, forma
física, físico
,, ,
não, não
há, haver
por, por
que, que
jogar, jogar
com, com
dois, dois
., .
Basta, Basta
um, um
", "
., .

, 

Ele, ele
reabre, reabre
a, o
maior, grande
polêmica, polêmica
tática, tático
sobre, sobre
a, o
escalação, escalação
preferida, preferido
do, de o
técnico, técnico
Carlos, Carlos
Alberto, Alberto
Parreira, Parreira
para, para
a, o
Copa, Copa
do, de o
Mundo, Mundo
dos, de o
Estados, Estados
Unidos, Unidos
,, ,
em, em
junho, junho
,, ,
com, com
dois, dois
volantes, volante
., .

, 

O, o
jogador, jogador
chegou, chegar
ontem, ontem
ao, a o
Rio, Rio
de, de
Janeiro, Janeiro
,, ,
onde, onde
foi, ser
recebido, receber
com, com
festa, festa
no, em o
aeroporto, aeroporto
por, por
cerca, cerca
de, de
40, 40
torcedores, torcedor
do, de o
Fluminense, fluminense
,, ,
seu, seu
novo, novo
clube, clube
., .

, 

Estava, estar
na, em o
reserva, reserva
do, de o
Monaco, Monaco
,, ,
da, de o
França, França
., .
Segundo, segundo
ele, ele
,, ,
há, haver
revezamento, revezamento
entre, entre
os, o
seis, seis
estrangeiros, estrangeiro
do, de o
time, time
., .
Só, só
três, três
podem, poder
participar, participar
de, de
cada, cada
partida, partida
., .
Jogava, Jogava
duas, dois
vezes, vez
por, por
mês, mês
., .

, 

", "
Com, com
a, o
eliminação, eliminação
da, de o
França, França
da, de o
Copa, copa
,, ,
o, o
futebol, futebol
francês, francês
está, estar
muto, muto
desmotivado, desmotivar
", "
., .
Além, além
dele, de ele
,, ,
o, o
Fluminense, fluminense
contratou, contratar
outro, outro
jogador, jogador
da, de o
seleção, seleção
(, (
o, o
lateral-esquerdo, lateral-esquerdo
Branco, Branco
), )
e, e
quer, querer
mais, mais
um, um
(, (
o, o
atacante, atacante
Valdeir, Valdeir
,, ,
atualmente, atualmente
no, em o
São, São
Paulo, Paulo
), )
., .

, 

", "
Voltei, Voltei
para, para
ficar, ficar
mais, mais
perto, perto
de, de
