Baianos, ﻿Baiano
e, e
gaúchos, gaúcho
são, ser
a, o
sensação, sensação
desta, de este
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
., .
Todos, todo
os, o
seis, seis
times, time
desses, de esse
dois, dois
Estados, estado
inscritos, inscrito
na, em o
competição, competição
passaram, passar
pela, por o
primeira, primeiro
fase, fase
,, ,
quatro, quatro
deles, de ele
(, (
Bahia, Bahia
,, ,
Vitória, Vitória
,, ,
Grêmio, Grêmio
e, e
Juventude, Juventude
/, /
RS, RS
), )
em, em
primeiro, primeiro
lugar, lugar
nos, em o
seus, seu
grupos, grupo
., .
Nessa, em esse
fase, fase
,, ,
as, o
seis, seis
equipes, equipe
juntas, juntar
acumularam, acumular
12, 12
vitórias, vitória
,, ,
quatro, quatro
empates, empate
e, e
duas, dois
derrotas, derrota
., .
Nos, em o
grupos, grupo
3, 3
e, e
4, 4
das, de o
oitavas-de-final, oitava-de-final
,, ,
baianos, baiano
e, e
gaúchos, gaúcho
são, ser
favoritos, favorito
para, para
ficar, ficar
com, com
as, o
quatro, quatro
vagas, vaga
em, em
disputa, disputa
., .

, 

", "
Isso, isso
é, ser
consequência, consequência
de, de
um, um
trabalho, trabalho
de, de
base, base
", "
,, ,
diz, dizer
o, o
diretor, diretor
de, de
futebol, futebol
amador, amador
do, de o
Internacional, internacional
,, ,
Delmar, Delmar
Heller, Heller
,, ,
horas, hora
antes, antes
da, de o
partida, partida
contra, contra
o, o
São, São
Paulo, Paulo
,, ,
ontem, ontem
à, a o
tarde, tarde
no, em o
Pacaembu, Pacaembu
., .
Segundo, segundo
ele, ele
,, ,
mais, mais
de, de
mil, mil
garotos, garoto
passam, passar
todos, todo
os, o
anos, ano
na, em o
escolinha, escolinha
do, de o
Internacional, Internacional
., .
A, o
grande, grande
maioria, maioria
paga, pagar
para, para
jogar, jogar
(, (
cerca, cerca
de, de
CR$, CR$
1.800,00, 1.800,00
por, por
mês, mês
), )
., .
", "
Quem, quem
mostra, mostrar
talento, talento
ganha, ganhar
uma, um
bolsa, bolsa
., .
", "
Quanto, quanto
à, a o
safra, safra
atual, atual
,, ,
ele, ele
classifica, classificar
como, como
boa, boa
., .
", "
Não, não
é, ser
ótima, ótimo
porque, porque
não, não
tem, ter
nenhum, nenhum
jogador, jogador
pronto, pronto
., .
", "

, 

O, o
Grêmio, Grêmio
,, ,
após, após
passar, passar
por, por
um, um
período, período
de, de
reestruturação, reestruturação
no, em o
ano, ano
passado, passado
–, –
trocou, trocar
duas, dois
vezes, vez
de, de
treinador, treinador
e, e
teve, ter
até, até
que, que
buscar, buscar
jogadores, jogador
que, que
tinha, ter
afastado, afastar
,, ,
reencontrou, reencontrar
o, o
equilíbrio, equilíbrio
., .
Na, em o
última, último
Taça, Taça
Belo, Belo
Horizonte, Horizonte
,, ,
classificou-se, classificour se
para, para
o, o
quadrangular, quadrangular
final, final
–, –
o, o
torneio, torneio
não, não
acabou, acabar
porque, porque
Grêmio, Grêmio
e, e
Caxias, Caxias
(, (
RS, RS
), )
saíram, sair
alegando, alegar
arbitragens, arbitragem
tendenciosas, tendenciosa
., .
Já, já
foi, ser
buscar, buscar
jogadores, jogador
até, até
na, em o
Argentina, Argentina
,, ,
caso, caso
do, de o
meia, meia
Puma, Puma
., .
No, em o
infantil, infantil
,, ,
ganhou, ganhar
o, o
torneio, torneio
metropolitano, metropolitano
com, com
mais, mais
de, de
cem, cem
gols, gol
de, de
saldo, saldo
,, ,
segundo, segundo
Sérgio, Sérgio
Vásquez, Vásquez
de, de
Souza, Souza
,, ,
diretor, diretor
de, de
futebol, futebol
amador, amador
., .
Ele, ele
promete, prometer
um, um
time, time
ainda, ainda
melho, melho
na, em o
segunda, segundo
fase, fase
,, ,
porque, porque
três, três
juniores, juniores
que, que
estavam, estar
excursionando, excursionar
com, com
a, o
equipe, equipe
profissional, profissional
devem, dever
entrar, entrar
na, em o
Copa, copa
., .

, 

José, José
Luís, Luís
Plein, Plein
,, ,
treinador, treinador
do, de o
Juventude, Juventude
,, ,
é, ser
o, o
mais, mais
comedido, comedido
dos, de o
gaúchos, gaúcho
,, ,
apesar, apesar
de, de
ser, ser
o, o
comandante, comandante
da, de o
equipe, equipe
que, que
faz, fazer
melhor, bom
campanha, campanha
–, –
venceu, vencer
os, o
três, três
primeiros, primeiro
jogos, jogo
., .
", "
Existem, Existem
muito, muito
poucas, pouco
equipes, equipe
no, em o
Brasil, Brasil
que, que
fazem, fazer
um, um
trabalho, trabalho
bem, bem
profundo, profundo
nos, em o
juniores, juniores
., .
", "
Ele, ele
admite, admitir
que, que
seus, seu
jogadores, jogador
não, não
recebem, receber
alimentação, alimentação
especial, especial
., .
", "
Vários, vários
deles, de ele
já, já
trabalharam, trabalhar
na, em o
roça, roça
,, ,
como, como
o, o
zagueiro, zagueiro
Baggio, Baggio
,, ,
que, que
virou, virar
jogador, jogador
somente, somente
no, em o
ano, ano
passado, passado
", "
., .

, 

O, o
Caxias, Caxias
joga, jogar
a, o
Copa, Copa
São, São
Paulo, Paulo
com, com
um, um
treinador, treinador
arrumado, arrumar
às, a o
pressas, pressa
., .
Zequinha, Zequinha
,, ,
técnico, técnico
dos, de o
profissionais, profissional
do, de o
Atlético, Atlético
Paranaense, Paranaense
,, ,
chegou, chegar
a, a
São, São
Paulo, Paulo
no, em o
dia, dia
do, de o
primeiro, primeiro
jogo, jogo
., .
O, o
técnico, técnico
Ademir, Ademir
dos, de o
Reis, Reis
brigou, brigar
com, com
a, o
diretoria, diretoria
e, e
se, se
demitiu, demitir
na, em o
hora, hora
do, de o
embarque, embarque
., .
", "
Só, só
agora, agora
estamos, estar
combinando, combinar
as, o
jogadas, jogada
e, e
não, não
podemos, poder
treinar, treinar
porque, porque
jogamos, jogar
dia, dia
sim, sim
,, ,
dia, dia
não, não
., .
", "
Apesar, apesar
da, de o
improvisação, improvisação
,, ,
faz, fazer
questão, questão
de, de
diz, dizer
que, que
a, o
estrutura, estrutura
de, de
juniores, juniores
do, de o
Caxias, Caxias
é, ser
", "
muito, muito
boa, bom
em, em
termos, termos
de, de
Brasil, Brasil
., .
", "
Essa, esse
estrutura, estrutura
foi, ser
implantada, implantar
há, há
dois, dois
anos, ano
., .
Essa, esse
equipe, equipe
foi, ser
campeã, campeã
de, de
juvenis, juvenis
em, em
1991, 1991
e, e
de, de
juniores, juniores
–, –
título, título
que, que
está, estar
sendo, ser
contestado, contestar
na, em o
Justiça, Justiça
Desportiva, Desportiva
., .

, 

