As, ﻿As
seleções, seleção
femininas, feminino
do, de o
Brasil, Brasil
e, e
da, de o
Rússia, Rússia
definem, definir
hoje, hoje
às, a o
14h30, 14h30
(, (
horário, horário
brasileiro, brasileiro
), )
a, o
liderança, liderança
do, de o
Grupo, Grupo
A, A
da, de o
Beck, Beck
's, 's
Cup, Cup
,, ,
torneio, torneio
que, que
reúne, reunir
em, em
Bremen, Bremen
,, ,
Alemanha, Alemanha
,, ,
algumas, algum
das, de o
melhores, bom
equipes, equipe
de, de
vôlei, vôlei
da, de o
atualidade, atualidade
., .

, 

Depois, depois
da, de o
boa, bom
estréia, estréia
anteontem, anteontem
contra, contra
a, o
Ucrânia, Ucrânia
,, ,
as, o
brasileiras, brasileira
entram, entrar
na, em o
quadra, quadra
sabendo, saber
que, que
a, o
missão, missão
de, de
hoje, hoje
é, ser
mais, mais
difícil, difícil
:, :
vencer, vencer
as, o
vice-campeãs, vice-campeã
olímpicas, olímpico
,, ,
que, que
no, em o
jogo-exibição, jogo-exibição
realizado, realizar
na, em o
quarta-feira, quarta-feira
derrotaram, derrotar
Cuba, Cuba
,, ,
campeã, campeã
em, em
Barcelona, Barcelona
., .

, 

Satisfeito, satisfeito
com, com
o, o
rendimento, rendimento
exibido, exibir
pela, por o
equipe, equipe
,, ,
Bernardinho, Bernardinho
mantém, manter
o, o
mesmo, mesmo
time, time
que, que
venceu, vencer
as, o
ucranianas, ucraniana
:, :
Fernanda, Fernanda
Venturini, Venturini
,, ,
Hilma, Hilma
,, ,
Ana, Ana
Moser, Moser
,, ,
Virna, Virna
,, ,
Márcia, Márcia
Fú, Fú
e, e
Ana, Ana
Flávia, Flávia
., .

, 

Pelo, por o
Grupo, Grupo
B, B
,, ,
Cuba, Cuba
e, e
Alemanha, Alemanha
também, também
decidem, decidir
hoje, hoje
quem, quem
fica, ficar
com, com
o, o
primeiro, primeiro
lugar, lugar
da, de o
chave, chave
., .
Na, em o
estréia, estréia
,, ,
as, o
alemãs, alemã
venceram, vencer
a, o
seleção, seleção
da, de o
Austrália, Austrália
por, por
3, 3
sets, set
a, a
0, 0
., .
Ucrânia, Ucrânia
e, e
Austrália, Austrália
voltam, voltar
à, a o
quadra, quadra
hoje, hoje
apenas, apenas
para, para
um, um
jogo-exibição, jogo-exibição
., .
Os, o
primeiros, primeiro
e, e
segundos, segundo
colocados, colocar
de, de
cada, cada
grupo, grupo
disputam, disputar
as, o
semifinais, semifinal
do, de o
torneio, torneio
no, em o
sábado, sábado
(, (
1.º, 1.º
do, de o
A, o
x, x
2.º, 2.º
do, de o
B, B
e, e
1.º, 1.º
do, de o
B, B
x, x
2.º, 2.º
do, de o
A, o
), )
., .
A, o
final, final
acontece, acontecer
no, em o
domingo, domingo
., .

, 

Masculino, Masculino

, 

Rhodia, Rhodia
/, /
Pirelli, Pirelli
e, e
Cocamar, Cocamar
/, /
Cyanamid, Cyanamid
reabrem, reabr
hoje, hoje
às, a o
20h30, 20h30
a, o
quarta, quarto
rodada, rodada
do, de o
returno, returno
da, de o
Liga, Liga
Nacional, Nacional
Masculina, Masculina
de, de
Vôlei, vôlei
., .
Amanhã, amanhã
,, ,
mais, mais
dois, dois
jogos, jogo
estão, estar
programados, programado
:, :
às, a o
16h, 16h
,, ,
o, o
Flamengo, Flamengo
/, /
Petrobrás, Petrobrás
pega, pegar
a, o
Telesp, Telesp
,, ,
e, e
,, ,
às, a o
17h, 17h
,, ,
Palmeiras, Palmeiras
/, /
Parmalat, Parmalat
e, e
Dom, Dom
Bosco, Bosco
/, /
Pluma, Pluma
/, /
Curitibano, Curitibano
se, se
enfrentam, enfrentar
em, em
São, São
Paulo, Paulo
no, em o
ginásio, ginásio
do, de o
Parque, Parque
Antarctica, Antarctica
,, ,
com, com
transmissão, transmissão
ao, a o
vivo, vivo
pela, por o
TV, tv
Manchete, Manchete
., .
(, (
SK, SK
), )

, 

