O, ﻿O
inquérito, inquérito
policial, policial
para, para
investigar, investigar
as, o
denúncias, denúncia
de, de
corrupção, corrupção
no, em o
futebol, futebol
do, de o
Rio, Rio
foi, ser
instaurado, instaurar
a, a
pedido, pedido
do, de o
deputado, deputado
estadual, estadual
Sérgio, Sérgio
Cabral, Cabral
Filho, Filho
(, (
PSDB, PSDB
), )
., .
", "
Estou, estar
esperançoso, esperançoso
,, ,
mas, mas
só, só
lamento, lamento
que, que
a, o
Assembléia, Assembléia
Legislativa, Legislativa
não, não
tenha, ter
entrado, entrar
nesta, em este
apuração, apuração
", "
,, ,
disse, dizer
o, o
autor, autor
do, de o
projeto, projeto
de, de
criação, criação
da, de o
chamada, chamado
", "
CPI, CPI
do, de o
apito, apito
", "
., .

, 

Com, com
a, o
instauração, instauração
do, de o
inquérito, inquérito
pela, por o
polícia, polícia
do, de o
Rio, Rio
,, ,
as, o
investigações, investigação
de, de
supostas, suposto
irregularidades, irregularidade
no, em o
futebol, futebol
fluminense, fluminense
se, se
ampliam, amplir
., .
Também, também
a, a
pedido, pedido
de, de
Cabral, Cabral
Filho, Filho
,, ,
o, o
Ministério, Ministério
Público, Público
do, de o
Estado, estado
está, estar
investigando, investigar
as, o
denúncias, denúncia
envolvendo, envolver
o, o
diretor, diretor
da, de o
Comissão, Comissão
de, de
Arbitros, Arbitros
,, ,
Wagner, Wagner
Canazaro, Canazaro
,, ,
e, e
o, o
presidente, presidente
da, de o
Federação, federação
,, ,
Eduardo, Eduardo
Vianna, Vianna
., .
De, de
acordo, acordo
com, com
as, o
denúncias, denúncia
dos, de o
árbitros, árbitro
,, ,
o, o
esquema, esquema
que, que
seria, ser
coordenado, coordenar
por, por
Canazaro, Canazaro
e, e
Vianna, Vianna
favoreceria, favoreceria
clubes, clube
ligados, ligar
aos, a o
dois, dois
., .

, 

A, o
criação, criação
da, de o
", "
CPI, CPI
do, de o
Apito, Apito
", "
foi, ser
adiada, adiar
depois, depois
que, que
dois, dois
deputados, deputado
ligados, ligar
a, a
Vianna, Vianna
,, ,
Almir, Almir
Rangel, Rangel
(, (
PSC, PSC
), )
e, e
Albano, Albano
Reis, Reis
(, (
sem, sem
partido, partido
), )
,, ,
apresentaram, apresentar
emendas, emenda
ao, a o
projeto, projeto
., .
Dependendo, depender
do, de o
calendário, calendário
,, ,
a, o
decisão, decisão
ficará, ficar
para, para
fevereiro, fevereiro
,, ,
após, após
o, o
recesso, recesso
parlamentar, parlamentar
., .

, 

