Partidas, ﻿Partir
rápidas, rápir
marcaram, marcar
as, o
quartas-de-final, quarta-de-final
masculinas, masculino
do, de o
Aberto, Aberto
de, de
Tênis, Tênis
da, de o
Austrália, Austrália
., .
Só, só
Pete, Pete
Sampras, Sampras
e, e
Magnus, Magnus
Gustafsson, Gustafsson
ficaram, ficar
mais, mais
de, de
duas, dois
horas, hora
sob, sob
o, o
sol, sol
forte, forte
., .
Principal, principal
favorito, favorito
ao, a o
título, título
,, ,
Sampras, Sampras
venceu, vencer
o, o
sueco, sueco
por, por
7/6, 7/6
(, (
7/4, 7/4
), )
,, ,
2/6, 2/6
,, ,
6/3, 6/3
e, e
7/6, 7/6
(, (
7/4, 7/4
), )
., .

, 

Amanhã, Amanhã
Sampras, Sampras
faz, fazer
uma, uma
das, de o
semifinais, semifinal
contra, contra
Jim, Jim
Courier, Courier
,, ,
naquela, em aquele
que, que
pode, poder
ser, ser
a, o
final, final
antecipada, antecipar
do, de o
torneio, torneio
., .
Bicampeão, Bicampeão
em, em
Melbourne, Melbourne
,, ,
Courier, Courier
eliminou, eliminar
o, o
croata, croata
Goran, Goran
Ivanisevic, Ivanisevic
por, por
7/6, 7/6
(, (
9/7, 9/7
), )
,, ,
6/4, 6/4
e, e
6/2, 6/2
., .
", "
Gosto, Gosto
do, de o
sol, sol
,, ,
sempre, sempre
vivi, vivi
em, em
lugares, lugar
quentes, quente
", "
,, ,
disse, dizer
Courier, Courier
., .
Stefan, Stefan
Edberg, Edberg
(, (
Suécia, Suécia
), )
e, e
Todd, Todd
Martin, Martin
(, (
EUA, EUA
), )
fazem, fazer
a, o
outra, outro
semifinal, semifinal
., .
Edberg, Edberg
venceu, vencer
Thomas, Thomas
Muster, Muster
por, por
6/2, 6/2
,, ,
6/3, 6/3
e, e
6/4, 6/4
., .
Martin, Martin
derrotou, derrotar
MaliVai, MaliVai
Washington, Washington
por, por
6/2, 6/2
,, ,
7/6, 7/6
(, (
7/4, 7/4
), )
e, e
7/6, 7/6
(, (
7/5, 7/5
), )
., .

, 

Hoje, hoje
acontecem, acontecer
as, o
semifinais, semifinal
femininas, feminino
,, ,
com, com
os, o
jogos, jogo
Arantxa, Arantxa
Sanchez, Sanchez
x, x
Gabriela, Gabriela
Sabatini, Sabatini
e, e
Steffi, Steffi
Graf, Graf
x, x
Kimiko, Kimiko
Date, Date
., .

, 

