Num, ﻿Num
domingo, domingo
sem, sem
clássicos, clássico
e, e
sem, sem
confrontos, confronto
entre, entre
os, o
ponteiros, ponteiro
na, em o
tabela, tabela
,, ,
o, o
Napoli, Napoli
e, e
a, o
Roma, Roma
realizam, realizar
o, o
principal, principal
cotejo, cotejo
da, de o
21.ª, 21.ª
", "
giornata, giornata
", "
do, de o
Italiano, Italiano
., .
O, o
jogo, jogo
acontece, acontecer
no, em o
estádio, estádio
de, de
San, San
Paolo, Paolo
., .
A, o
Rede, Rede
Bandeirantes, Bandeirantes
exibe, exibir
a, o
partida, partida
,, ,
ao, a o
vivo, vivo
,, ,
a, a
partir, partir
de, de
11h30, 11h30
., .

, 

Com, com
22, 22
pontos, ponto
em, em
40, 40
disponíveis, disponível
,, ,
o, o
Napoli, Napoli
ocupa, ocupar
a, o
sétima, sétimo
colocação, colocação
,, ,
às, a o
margens, margem
da, de o
briga, briga
por, por
uma, um
vaga, vaga
na, em o
próxima, próximo
Copa, copa
da, de o
Uefa, Uefa
., .
O, o
time, time
dirigido, dirigir
por, por
Marcello, Marcello
Lippi, Lippi
começou, começar
pessimamente, pessimamente
o, o
torneio, torneio
,, ,
mas, mas
se, se
recuperou, recuperar
,, ,
graças, graças
à, a o
política, política
do, de o
mister, mister
,, ,
que, que
prefere, preferir
valorizar, valorizar
os, o
jovens, jovem
de, de
futuro, futuro
., .
Com, com
distensão, distensão
na, em o
coxa, coxa
direita, direito
,, ,
o, o
ala, alar
Di, Di
Canio, Canio
,, ,
um, um
dos, de o
raros, raro
experientes, experiente
da, de o
equipe, equipe
,, ,
desfalca, desfalcar
o, o
elenco, elenco
., .

, 

A, o
Roma, Roma
ostenta, ostentar
19, 19
pontos, ponto
e, e
atravessa, atravessar
um, um
momento, momento
desastroso, desastroso
., .
O, o
seu, seu
treinador, treinador
,, ,
o, o
folclórico, folclórico
,, ,
Carletto, Carletto
Mazzone, Mazzone
,, ,
", "
show-man, show-man
", "
da, de o
linha, linha
lateral, lateral
dos, de o
gramados, gramado
,, ,
já, já
tentou, tentar
todos, todo
os, o
esquemas, esquema
possíveis, possível
e, e
,, ,
ainda, ainda
assim, assim
,, ,
não, não
funciona, funcionar
o, o
ataque, ataque
do, de o
quadro, quadro
rubro-amarelo, rubro-amarelo
da, de o
capital, capital
., .
Nas, em o
suas, seu
20, 20
pugnas, pugna
,, ,
a, o
Roma, Roma
só, só
produziu, produzir
17, 17
tentos, tento
,, ,
embora, embora
conte, conte
com, com
atletas, atleta
do, de o
nível, nível
do, de o
alemão, alemão
Thomas, Thomas
Haesller, Haesller
e, e
do, de o
argentino, argentino
Abel, Abel
Balbo, Balbo
., .
Dentre, dentre
os, o
18, 18
participantes, participante
do, de o
campeonato, campeonato
,, ,
apenas, apenas
cinco, cinco
marcaram, marcar
menos, pouco
., .

, 

Na, em o
cota, cota
dos, de o
30, 30
pontos, ponto
,, ,
o, o
líder, líder
Milan, Milan
tem, ter
um, um
jogo, jogo
complicado, complicado
,, ,
em, em
viagem, viagem
à, a o
vizinha, vizinho
Bérgamo, Bérgamo
,, ,
sede, sede
da, de o
Atalanta, Atalanta
,, ,
15, 15
pontos, ponto
e, e
o, o
risco, risco
do, de o
rebaixamento, rebaixamento
à, a o
segunda, segundo
divisão, divisão
., .
Não, não
joga, jogar
,, ,
suspenso, suspender
,, ,
o, o
brasileiro, brasileiro
Alemão, Alemão
,, ,
volante, volante
da, de o
Atalanta, atalanta
., .
Em, em
seus, seu
domínios, domínio
,, ,
a, a
vice-líder, vice-líder
Juventus, Juventus
,, ,
26, 26
pontos, ponto
,, ,
tem, ter
uma, um
chance, chance
razoável, razoável
de, de
diminuir, diminuir
a, o
distância, distância
que, que
a, o
separa, separa
do, de o
Milan, Milan
., .
Com, com
o, o
seu, seu
elenco, elenco
praticamente, praticamente
completo, completo
,, ,
o, o
mister, mister
Giovanni, Giovanni
Trapattoni, Trapattoni
recebe, receber
a, o
visita, visita
do, de o
bom, bom
Foggia, Foggia
,, ,
20, 20
pontos, ponto
., .
Ironia, Ironia
:, :
orienta, orientar
o, o
Foggia, Foggia
o, o
tcheco, tcheco
Zdenek, Zdenek
Zeman, Zeman
,, ,
que, que
poderá, poder
assumir, assumir
a, o
", "
panchina, panchinar
", "
da, de o
Juve, Juve
em, em
94/95, 94/95
., .
Outra, outro
vice-líder, vice-líder
,, ,
a, o
Sampdoria, Sampdoria
,, ,
entrenta, entrentar
o, o
último, último
qualificado, qualificado
,, ,
o, o
pobre, pobre
Lecce, Lecce
,, ,
seis, seis
pontos, ponto
,, ,
em, em
Bari, Bari
., .
Incidentes, Incidentes
provocados, provocar
pela, por o
torcida, torcida
desesperada, desesperar
do, de o
Lecce, Lecce
obrigaram, obrigar
a, o
federação, federação
italiana, italiano
a, a
interditar, interditar
o, o
seu, seu
estádio, estádio
., .

, 

Demais, Demais
partidas, partida
:, :
Genoa, Genoa
(, (
16, 16
pontos, ponto
), )
x, x
Parma, Parma
(, (
25, 25
), )
;, ;
Internazionale, Internazionale
(, (
24, 24
), )
x, x
Cagliari, Cagliari
(, (
19, 19
), )
;, ;
Lazio, Lazio
(, (
23, 23
), )
x, x
Cremonese, Cremonese
(, (
18, 18
), )
;, ;
Piacenza, piacenza
(, (
17, 17
), )
x, x
Reggioana, Reggioana
(, (
16, 16
), )
;, ;
Udinese, Udinese
(, (
16, 16
), )
x, x
Torino, Torino
., .

, 

NA, NA
TV, tv

, 

Napoli, Napoli
x, x
Roma, Roma
,, ,
Bandeirantes, Bandeirantes
,, ,
ao, a o
vivo, vivo
,, ,
11h30, 11h30

, 

