No, ﻿No
próximo, próximo
domingo, domingo
,, ,
em, em
Honolulu, Honolulu
,, ,
no, em o
Havaí, Havaí
,, ,
as, o
seleções, seleção
da, de o
Conferência, Conferência
Nacional, Nacional
e, e
da, de o
Conferência, Conferência
Americana, Americana
vão, ir
disputar, disputar
o, o
", "
Pro, Pro
Bowl, Bowl
", "
do, de o
futebol, futebol
americano, americano
,, ,
o, o
jogo, jogo
que, que
corresponde, corresponder
ao, a o
", "
All, All
Star, Star
Game, Game
", "
da, de o
modalidade, modalidade
., .
Dos, de o
11, 11
titulares, titular
do, de o
time, time
de, de
ataque, ataque
da, de o
Nacional, Nacional
,, ,
6, 6
provêm, provêm
dos, de o
Dallas, Dallas
Cowboys, Cowboys
:, :
o, o
quarterback, quarterback
Troy, Troy
Aikman, Aikman
(, (
número, número
8), 8)
,, ,
o, o
running, running
back, backr
Emmitt, Emmitt
Smith, Smith
(, (
22, 22
), )
,, ,
o, o
tigh, tigh
end, end
Jay, Jay
Novacek, Novacek
(, (
84, 84
), )
,, ,
o, o
wide, Wide
receiver, receiver
Michael, Michael
Irvin, Irvin
(, (
88, 88
), )
,, ,
mais, mais
os, o
bloqueadores, bloqueador
Erik, Erik
Williams, Williams
(, (
79, 79
), )
e, e
Nate, Nate
Newton, Newton
(, (
61, 61
), )
., .
Trata-se, tratar se
de, de
mais, mais
da, de o
metade, metade
do, de o
potencial, potencial
ofensivo, ofensivo
do, de o
elenco, elenco
da, de o
mais, mais
forte, forte
das, de o
duas, dois
sub-ligas, sub-liga
., .
Dallas, Dallas
é, ser
imbatível, imbatível
nesse, em esse
departamento, departamento
., .

, 

Aliás, aliás
,, ,
Dallas, Dallas
também, também
ostenta, ostentar
uma, um
retaguarda, retaguarda
formidável, formidável
., .
Nenhum, nenhum
dos, de o
seus, seu
astros, astro
recebeu, receber
convite, convite
para, para
atuar, atuar
no, em o
primeiro, primeiro
time, time
da, de o
Nacional, Nacional
no, em o
", "
Pro, Pro
Bowl, Bowl
", "
., .
Por, por
uma, um
justa, justa
razão, razão
,, ,
no, em o
entanto, entanto
., .
O, o
mister, mister
Jimmy, Jimmy
Johnson, Johnson
exige, exigir
o, o
máximo, máximo
de, de
aguerrimento, aguerrimento
dos, de o
seus, seu
atletas, atleta
., .
O, o
lema, lema
da, de o
defesa, defesa
de, de
Dallas, Dallas
é, ser
", "
intimidação, intimidação
", "
., .
Quando, quando
o, o
inimigo, inimigo
tem, ter
a, o
posse, posse
da, de o
pelota, pelota
,, ,
o, o
safety, safety
Kenneth, Kenneth
Gant, Gant
,, ,
um, um
dos, de o
líberos, líbero
dos, de o
Cowboys, Cowboys
,, ,
realiza, realizar
uma, um
dança, dança
ritual, ritual
capaz, capaz
de, de
assustar, assustar
um, um
vampiro, vampiro
., .
Num, em um
", "
Pro, Pro
Bowl, Bowl
", "
,, ,
festa, festa
de, de
confraternização, confraternização
,, ,
obviamente, obviamente
não, não
há, haver
lugar, lugar
para, para
esse, esse
comportamento, comportamento
., .

, 

Dallas, Dallas
só, só
diminui, diminuir
o, o
seu, seu
potencial, potencial
em, em
duas, dois
situações, situação
limítrofes, limítrofe
:, :
os, o
casos, caso
de, de
contusão, contusão
eventual, eventual
de, de
Troy, Troy
Aikman, Aikman
e, e
de, de
Emmitt, Emmitt
Smith, Smith
., .
Na, em o
peleja, peleja
final, final
da, de o
Nacional, Nacional
,, ,
diante, diante
dos, de o
49ers, 49ers
,, ,
Aikman, Aikman
sofreu, sofrer
uma, um
pequena, pequeno
concussão, concussão
ao, a o
receber, receber
uma, um
joelhada, joelhada
involuntária, involuntáriar
na, em o
cabeça, cabeça
,, ,
Smith, Smith
sentiu, sentir
uma, um
pancada, pancada
no, em o
ombro, ombro
esquerdo, esquerdo
,, ,
mal, mal
curado, curar
de, de
uma, um
luxação, luxação
., .
Ambos, ambos
,, ,
todavia, todavia
,, ,
plenamente, plenamente
se, se
recuperaram, recuperar
no, em o
correr, correr
da, de o
semana, semana
., .
(, (
SL, SL
), )

, 

