Apesar, ﻿Apesar
de, de
estar, estar
somente, somente
vinte, vinte
meses, mês
no, em o
kart, kart
,, ,
Gastão, Gastão
Fráguas, Fráguas
Filho, Filho
já, já
conhece, conhecer
as, o
desventuras, desventura
da, de o
carreira, carreira
que, que
escolheu, escolher
., .
Em, em
setembro, setembro
do, de o
ano, ano
passado, passado
,, ,
quando, quando
participou, participar
do, de o
Campeonato, Campeonato
Mundial, Mundial
,, ,
em, em
Laval, Laval
(, (
FRA, FRA
), )
,, ,
o, o
piloto, piloto
sofreu, sofrer
violento, violento
acidente, acidente
numa, em um
das, de o
provas, prova
classificatórias, classificatório
., .
Resultado, resultado
:, :
várias, várias
escoriações, escoriação
pelo, por o
corpo, corpo
,, ,
forte, forte
luxação, luxação
no, em o
pé, pé
esquerdo, esquerdo
e, e
imobilização, imobilização
de, de
trinta, trinta
dias, dia
., .
", "
Assustei, Assustei
muito, muito
,, ,
mas, mas
é, ser
bom, bom
para, para
ir, ir
acostumando, acostumar
", "
,, ,
consola-se, consola-se
Fráguas, Fráguas
., .

, 

Mas, mas
o, o
revés, revés
não, não
desanimou, desanimar
Fráguas, Fráguas
., .
Auxiliado, Auxiliado
pelo, por o
experiente, experiente
mecânico, mecânico
Mauro, Mauro
de, de
Oliveira, Oliveira
Dias, Dias
,, ,
o, o
Maurão, Maurão
,, ,
o, o
piloto, piloto
obedeceu, obedecer
cuidados, cuidado
especiais, especial
e, e
teve, ter
alterações, alteração
no, em o
kart, kart
para, para
poder, poder
pilotar, pilotar
mesmo, mesmo
contundido, contunder
., .
O, o
esforço, esforço
foi, ser
recompensado, recompensar
com, com
a, o
conquista, conquista
do, de o
título, título
da, de o
Fórmula, Fórmula
Kart, Kart
., .

, 

Essa, esse
situação, situação
mexeu, mexeu
com, com
a, o
lembrança, lembrança
dos, de o
frequentadores, frequentador
mais, mais
antigos, antigo
do, de o
kartódromo, kartódromo
de, de
Interlagos, Interlagos
., .
Em, em
74, 74
,, ,
o, o
francês, francês
Patrick, Patrick
Depailler, Depailler
,, ,
quando, quando
participou, participar
da, de o
abertura, abertura
da, de o
temporada, temporada
de, de
Fórmula-1, Fórmula-1
,, ,
na, em o
Argentina, Argentina
,, ,
recuperava-se, recuperavar se
de, de
um, um
acidente, acidente
e, e
também, também
andava, andar
com, com
o, o
auxílio, auxílio
de, de
muletas, muleta
., .

, 

