Foram, ﻿For
cinco, cinco
dias, dia
de, de
testes, teste
,, ,
quatro, quatro
deles, de ele
das, de o
9h, 9h
às, a o
17h30, 17h30
com, com
uma, um
mera, mero
horinha, horinha
de, de
intervalo, intervalo
para, para
o, o
almoço, almoço
., .
A, o
primeira, primeiro
semana, semana
de, de
Ayrton, Ayrton
Senna, Senna
na, em o
Williams, Williams
não, não
poderia, poder
ter, ter
sido, ser
mais, mais
trabalhosa, trabalhoso
., .
O, o
saldo, saldo
:, :
fez, fazer
o, o
melhor, bom
tempo, tempo
entre, entre
os, o
oito, oito
pilotos, piloto
de, de
cinco, cinco
equipes, equipe
que, que
treinaram, treinar
,, ,
1min12s49, 1min12s49
,, ,
na, em o
sexta-feira, sexta-feira
–, –
apenas, apenas
um, um
segundo, segundo
pior, mau
do, de o
que, que
a, o
pole, pole
do, de o
ano, ano
passado, passado
no, em o
Estoril, Estoril
., .
Isso, isso
com, com
o, o
carro, carro
do, de o
ano, ano
passado, passado
,, ,
desfalcado, desfalcar
da, de o
eletrônica, eletrônica
abolida, aboler
pela, por o
FIA, FIA
., .
Nada, nada
disso, de isso
,, ,
porém, porém
,, ,
fez, fazer
aflorar, aflorar
o, o
otimismo, otimismo
do, de o
piloto, piloto
., .
Ele, ele
acha, achar
que, que
não, não
é, ser
o, o
favorito, favorito
para, para
ganhar, ganhar
o, o
Mundial, Mundial
de, de
F-1, F-1
deste, de este
ano, ano
,, ,
que, que
começa, começar
dia, dia
27, 27
de, de
março, março
em, em
Interlagos, Interlagos
., .

, 

No, em o
total, total
,, ,
de, de
quinta-feira, quinta-feira
até, até
ontem, ontem
,, ,
Senna, Senna
completou, completar
175, 175
voltas, volta
no, em o
circuito, circuito
português, português
,, ,
dois, dois
GPs, GPs
e, e
meio, meio
., .
Teve, Teve
poucos, pouco
problemas, problema
mecânicos, mecânico
,, ,
testou, testar
o, o
novo, novo
motor, motor
Renault, Renault
RS6, RS6
,, ,
um, um
sistema, sistema
de, de
direção, direção
hidráulica, hidráulico
e, e
mandou, mandar
cortar, cortar
um, um
pedaço, pedaço
do, de o
chassi, chassi
para, para
não, não
esbarrar, esbarrar
a, o
mão, mão
no, em o
cockpit, cockpit
., .
", "
O, o
pessoal, pessoal
da, de o
equipe, equipe
até, até
brincou, brincar
comigo, comigo
,, ,
dizendo, dizer
que, que
nunca, nunca
a, o
Williams, Williams
tinha, ter
feito, fazer
isso, isso
para, para
ninguém, ninguém
., .
Esse, esse
interesse, interesse
em, em
fazer, fazer
o, o
que, que
for, ser
necessário, necessário
pelo, por o
nosso, nosso
objetivo, objetivo
me, eu
deixou, deixar
muito, muito
contente, contente
", "
,, ,
disse, dizer
Ayrton, Ayrton
., .

, 

Os, o
bons, bom
resultados, resultado
,, ,
porém, porém
,, ,
mereceram, merecer
uma, um
comemoração, comemoração
apenas, apenas
contida, conter
do, de o
brasileiro, brasileiro
., .
", "
A, o
idéia, idéia
de, de
que, que
eu, eu
sou, ser
o, o
favorito, favorito
é, ser
até, até
compreensível, compreensível
,, ,
mas, mas
nunca, nunca
concordei, concordar
com, com
ela, ela
e, e
não, não
mudei, mudei
de, de
opinião, opinião
depois, depois
dos, de o
testes, teste
., .
Acho, achar
que, que
o, o
campeonato, campeonato
vai, ir
ser, ser
mais, mais
competitivo, competitivo
do, de o
que, que
todo, todo
mundo, mundo
espera, esperar
e, e
também, também
político, político
,, ,
de, de
certa, certo
forma, forma
., .
Só, só
espero, esperar
que, que
isso, isso
não, não
tire, tirar
o, o
gosto, gosto
esportivo, esportivo
da, de o
competição, competição
,, ,
