"Ninguém, ﻿"Ninguém
falava, falar
de, de
nós, nós
,, ,
fomos, ser
desprezados, desprezar
., .
E, e
agora, agora
,, ,
mostramos, mostrar
que, que
somos, ser
os, o
melhores, bom
!, !
", "
,, ,
berrava, berrar
o, o
goleiro, goleiro
Pitarelli, Pitarelli
,, ,
após, após
defender, defender
as, o
três, três
cobranças, cobrança
do, de o
São, São
Paulo, Paulo
., .

, 

A, o
conquista, conquista
do, de o
Guarani, Guarani
foi, ser
marcada, marcar
pela, por o
dor, dor
., .
Além, além
de, de
Luís, Luís
Carlos, Carlos
,, ,
que, que
abriu, abrir
a, o
cabeça, cabeça
numa, em um
disputa, disputa
com, com
o, o
zagueiro, zagueiro
Nem, Nem
,, ,
o, o
centroavante, centroavante
Luizão, Luizão
se, se
arrastou, arrastar
em, em
campo, campo
enquanto, enquanto
pôde, pôde
no, em o
segundo, segundo
tempo, tempo
para, para
não, não
deixar, deixar
seu, seu
time, time
mais, mais
desfalcado, desfalcar
–, –
Mauricinho, Mauricinho
havia, haver
sido, ser
expulso, expulso
aos, a o
41min, 41min
do, de o
primeiro, primeiro
tempo, tempo
., .
No, em o
segundo, segundo
tempo, tempo
da, de o
prorrogação, prorrogação
,, ,
o, o
zagueiro, zagueiro
Carlinhos, Carlinhos
do, de o
Guarani, Guarani
sentiu, sentir
uma, um
contusão, contusão
,, ,
mas, mas
voltou, voltar
a, a
campo, campo
porque, porque
não, não
podia, poder
ser, ser
substituído, substituir
., .

, 

Apesar, apesar
do, de o
esforço, esforço
do, de o
Guarani, Guarani
,, ,
o, o
São, São
Paulo, Paulo
foi, ser
quase, quase
sempre, sempre
superior, alto
., .
No, em o
primeiro, primeiro
tempo, tempo
,, ,
mesmo, mesmo
bem, bem
marcado, marcar
pelo, por o
adversário, adversário
,, ,
os, o
são-paulinos, são-paulino
criaram, criar
várias, várias
chances, chance
,, ,
com, com
Pavão, Pavão
,, ,
Toninho, Toninho
e, e
Jamelli, Jamelli
., .
O, o
Guarani, Guarani
atuava, atuar
no, em o
contra-ataque, contra-ataque
,, ,
mas, mas
seus, seu
jogadores, jogador
prendiam, prender
muito, muito
a, o
bola, bola
., .
Na, em o
defesa, defesa
do, de o
São, São
Paulo, Paulo
,, ,
o, o
destaque, destaque
foi, ser
Nem, nem
., .

, 

No, em o
segundo, segundo
tempo, tempo
,, ,
o, o
São, São
Paulo, Paulo
logo, logo
saiu, sair
na, em o
frente, frente
,, ,
através, através
de, de
um, um
pênalti, pênalti
apontado, apontar
incorretamente, incorretamente
pelo, por o
juiz, juiz
–, –
a, o
falta, falta
foi, ser
fora, fora
da, de o
área, área
., .
Jamelli, Jamelli
cobrou, cobrar
e, e
abriu, abrir
o, o
marcador, marcador
., .
Pupo, pupo
Gimenez, Gimenez
trocou, trocar
um, um
zagueiro, zagueiro
pelo, por o
atacante, atacante
Rubens, Rubens
,, ,
ex-São, ex-São
Paulo, Paulo
,, ,
e, e
mandou, mandar
seu, seu
time, time
à, a o
frente, frente
., .
A, o
tarefa, tarefa
ficou, ficar
mais, mais
fácil, fácil
depois, depois
que, que
Catê, Catê
deu, dar
uma, um
cotovelada, cotovelada
em, em
Marquinhos, Marquinhos
e, e
foi, ser
expulso, expulso
,, ,
aos, a o
15min, 15min
., .

, 

Apesar, apesar
do, de o
ânimo, ânimo
campineiro, campineiro
,, ,
o, o
São, São
Paulo, Paulo
ainda, ainda
era, ser
melhor, bom
., .
Só, só
Toninho, Toninho
perdeu, perder
dois, dois
gols, gol
feitos, fazer
,, ,
aos, a o
17min, 17min
e, e
18min, 18min
., .
Aos, a o
40min, 40min
,, ,
Rubens, Rubens
empatou, empatar
,, ,
cobrando, cobrar
uma, um
falta, falta
da, de o
meia, meia
esquerda, esquerdo
., .

, 

O, o
jogo, jogo
foi, ir
para, para
a, o
prorrogação, prorrogação
,, ,
com, com
sistema, sistema
de, de
morte, morte
súbita, súbito
–, –
quem, quem
marcasse, marcar
era, ser
o, o
vencedor, vencedor
., .
O, o
São, São
Paulo, Paulo
voltou, voltar
a, a
deperdiçar, deperdiçar
várias, várias
chances, chance
,, ,
com, com
Jamelli, Jamelli
,, ,
Caio, Caio
e, e
Douglas, Douglas
., .
Nos, em o
pênaltis, pênaltis
,, ,
nenhum, nenhum
dos, de o
superjuniores, superjunior
converteu, converter
., .

, 

Assim, assim
que, que
acabou, acabar
a, o
partida, partida
,, ,
os, o
são-paulinos, são-paulino
correram, correr
para, para
o, o
vestiário, vestiário
., .
Só, só
cinco, cinco
voltaram, voltar
para, para
pegar, pegar
a, o
medalha, medalha
e, e
o, o
troféu, troféu
de, de
vice-campeão, vice-campeão
., .
Sérgio, Sérgio
Baresi, Baresi
e, e
Pavão, Pavão
ainda, ainda
estavam, estar
com, com
os, o
olhos, olho
vermelhos, vermelho
,, ,
de, de
chorar, chorar
., .
", "
É, ser
sempre, sempre
assim, assim
., .
Quem, quem
joga, jogar
melhor, melhor
,, ,
perde, perder
nos, em o
pênaltis, pênaltis
", "
,, ,
disse, dizer
o, o
meia, meia
Jamelli, Jamelli
,, ,
já, já
com, com
sua, seu
medalha, medalha
na, em o
mão, mão
., .
", "
Perdemos, Perdemos
um, um
monte, monte
de, de
chances, chance
., .
Poderia, Poderia
ter, ter
sido, ser
6, 6
x, x
1, 1
para, para
nós, nós
., .
", "
No, em o
vestiário, vestiário
,, ,
20, 20
minutos, minuto
após, após
o, o
fim, fim
da, de o
Copa, copa
,, ,
o, o
diretor, diretor
de, de
futebol, futebol
amador, amador
,, ,
Sérgio, Sérgio
Bragança, Bragança
,, ,
ainda, ainda
chorava, chorar
e, e
soluçava, soluçar
,, ,
sem, sem
conseguir, conseguir
dizer, dizer
qualquer, qualquer
palavra, palavra
., .

, 

SÃO, São
PAULO, PAULO

, 

1, 1

, 

Rogério, Rogério
;, ;
Pavão, Pavão
,, ,
Nem, Nem
,, ,
Sérgio, Sérgio
Baresi, Baresi
e, e
Marcelo, Marcelo
Adriano, Adriano
;, ;
Mona, Mona
,, ,
Pereira, Pereira
e, e
Jamelli, Jamelli
,, ,
Catê, Catê
,, ,
Guilherme, Guilherme
(, (
Caio, Caio
), )
e, e
Toninho, Toninho
(, (
Douglas, Douglas
), )
., .
Técnico, Técnico
-, -
Muricy, Muricy

, 

GUARANI, GUARANI

, 

1, 1

, 

Pitarelli, Pitarelli
;, ;
Alberto, Alberto
,, ,
Carlinhos, Carlinhos
,, ,
Hélton, Hélton
(, (
Rubens, Rubens
), )
e, e
Marquinhos, Marquinhos
;, ;
Da, de o
Silva, Silva
,, ,
André, André
Luís, Luís
,, ,
André, André
Goiano, Goiano
(, (
Júlio, Júlio
César, César
), )
e, e
Andreir, Andreir
;, ;
Mauricinho, Mauricinho
e, e
Luizão, Luizão
(, (
Luís, Luís
Carlos, Carlos
), )
., .
Técnico, Técnico
-, -
Pupo, Pupo
GimenezGolsJamelli, GimenezGolsJamelli
,, ,
de, de
pênalti, pênalti
,, ,
aos, a o
7min, 7min
,, ,
e, e
Rubens, Rubens
,, ,
aos, a o
40min, 40min
do, de o
segundo, segundo
tempo, tempo

, 

Local, local
:, :
Pacaembu, Pacaembu

, 

Juiz, Juiz
:, :
Ulysses, Ulysses
Tavares, Tavares
da, de o
Silva, Silva
Filho, Filho

, 

Cartões, Cartões
vermelhos, vermelho
:, :
Mauricinho, Mauricinho
(, (
Guarani, Guarani
), )
e, e
Catê, Catê
(, (
São, São
Paulo, Paulo
), )

, 

Pênaltis, Pênaltis
:, :
São, São
Paulo, Paulo
0, 0
x, x
Guarani, Guarani
3, 3

, 

Jamelli, Jamelli
(, (
defesa, defesa
), )
,, ,
André, André
Luís, Luís
(, (
gol, gol
), )
,, ,
Nem, nem
(, (
d, d
), )
,, ,
Carlinhos, Carlinhos
(, (
g, g
), )
,, ,
Douglas, Douglas
(, (
d, d
), )
e, e
Alberto, Alberto
(, (
g, g
), )

, 

