Só, ﻿Só
uma, um
vitória, vitória
sobre, sobre
o, o
Londrina, Londrina
,, ,
hoje, hoje
às, a o
17h, 17h
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
classifica, classificar
o, o
Palmeiras, Palmeiras
para, para
as, o
quartas-de-final, quarta-de-final
da, de o
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
., .

, 

No, em o
último, último
jogo, jogo
disputado, disputar
entre, entre
as, o
duas, dois
equipes, equipe
,, ,
na, em o
Copa, Copa
Cidade, Cidade
de, de
Londrina, Londrina
,, ,
no, em o
fim, fim
do, de o
ano, ano
passado, passado
,, ,
o, o
Londrina, Londrina
saiu, sair
vencedor, vencedor
., .
A, o
partida, partida
promete, prometer
um, um
duelo, duelo
de, de
artilheiros, artilheiro
., .
A, o
atração, atração
do, de o
time, time
paranaense, paranaense
é, ser
o, o
atacante, atacante
Agnaldo, Agnaldo
,, ,
artilheiro, artilheiro
da, de o
Copa, copa
SP, SP
,, ,
com, com
oito, oito
gols, gol
(, (
leia, ler
texto, texto
abaixo, abaixo
), )
., .
O, o
artilheiro, artilheiro
do, de o
Palmeiras, Palmeiras
é, ser
o, o
centroavante, centroavante
Magrão, Magrão
,, ,
com, com
seis, seis
gols, gol
., .

, 

Não, não
só, só
a, o
classificação, classificação
do, de o
Palmeiras, Palmeiras
está, estar
em, em
jogo, jogo
., .
A, o
equipe, equipe
nunca, nunca
conseguiu, conseguir
vencer, vencer
a, o
Copa, Copa
São, São
Paulo, Paulo
em, em
suas, seu
25, 25
edições, edição
e, e
este, este
ano, ano
é, ser
o, o
grande, grande
teste, teste
para, para
o, o
esquema, esquema
do, de o
time, time
com, com
a, o
multinacional, multinacional
italiana, italiano
Parmalat, Parmalat
., .
Uma, um
derrota, derrota
hoje, hoje
colocará, colocar
em, em
dúvida, dúvida
o, o
projeto, projeto
Palmeiras, Palmeiras
/, /
Parmalat, Parmalat
de, de
ter, ter
em, em
suas, seu
categorias, categoria
inferiores, inferior
do, de o
futebol, futebol
um, um
celeiro, celeiro
de, de
produção, produção
de, de
grandes, grande
jogadores, jogador
para, para
suprir, suprir
o, o
time, time
profissional, profissional
no, em o
futuro, futuro
., .

, 

O, o
técnico, técnico
Ademir, Ademir
Chiarotti, Chiarotti
,, ,
que, que
estava, estar
dirigindo, dirigir
os, o
juniores, juniores
há, há
três, três
meses, mês
,, ,
foi, ser
demitido, demitir
pela, por o
direção, direção
palmeirense, palmeirense
antes, antes
do, de o
primeiro, primeiro
jogo, jogo
na, em o
Copa, copa
., .
A, o
falta, falta
de, de
entrosamento, entrosamento
com, com
a, o
filosofia, filosofia
Palmeiras, Palmeiras
/, /
Parmalat, Parmalat
teria, ter
sido, ser
o, o
motivo, motivo
,, ,
amplificado, amplificar
pelas, por o
declarações, declaração
à, a o
Folha, Folha
de, de
Chiarotti, Chiarotti
de, de
que, que
a, o
equipe, equipe
não, não
tinha, ter
se, se
preparado, preparar
e, e
não, não
tinha, ter
condições, condição
para, para
conquistar, conquistar
o, o
título, título
., .

, 

O, o
Palmeiras, Palmeiras
promoveu, promover
às, a o
pressas, pressa
Nílton, Nílton
Pinto, Pinto
Barbosa, Barbosa
,, ,
técnico, técnico
do, de o
infantil, infantil
e, e
do, de o
juvenil, juvenil
,, ,
para, para
dirigir, dirigir
o, o
time, time
de, de
juniores, juniores
., .
Suas, Seu
declarações, declaração
seguiram, seguir
na, em o
contramão, contramão
de, de
Chiarotti, Chiarotti
., .
", "
Eu, eu
conheço, conhecer
e, e
acredito, acreditar
neste, em este
grupo, grupo
do, de o
Palmeiras, Palmeiras
", "
,, ,
disse, dizer
desde, desde
o, o
seu, seu
início, início
no, em o
comando, comando
,, ,
poucas, pouco
horas, hora
antes, antes
da, de o
partida, partida
de, de
estréia, estréia
contra, contra
o, o
Criciúma, Criciúma
., .

, 

Para, para
ele, ele
,, ,
o, o
grande, grande
desafio, desafio
vai, ir
se, se
resumir, resumir
ao, a o
jogo, jogo
de, de
hoje, hoje
., .
", "
Creio, crer
que, que
o, o
Londrina, Londrina
deve, dever
vir, vir
mais, mais
tranquilo, tranquilo
que, que
o, o
Guarani, Guarani
e, e
temos, ter
a, o
obrigação, obrigação
de, de
vencer, vencer
porque, porque
jogamos, jogamos
em, em
casa, casa
., .
Já, já
vimos, vir
alguns, algum
jogos, jogo
deles, de ele
em, em
vídeo, vídeo
e, e
temos, ter
que, que
assegurar, assegurar
a, o
vaga, vaga
hoje, hoje
", "
,, ,
afirmou, afirmar
., .

, 

Ele, ele
vai, ir
manter, manter
,, ,
mais, mais
uma, uma
vez, vez
,, ,
o, o
mesmo, mesmo
time, time
inicial, inicial
dos, de o
jogos, jogo
anteriores, anterior
,, ,
guardando, guardar
alguns, algum
jogadores, jogador
no, em o
banco, banco
para, para
ter, ter
opções, opção
táticas, tático
durante, durante
o, o
decorrer, decorrer
da, de o
partida, partida
., .
", "
Ainda, ainda
estamos, estar
buscando, buscar
um, um
melhor, bom
entrosamento, entrosamento
entre, entre
os, o
jogadores, jogador
e, e
é, ser
importante, importante
mantermos, manterr
a, o
mesma, mesmo
base, base
", "
,, ,
disse, dizer
Niltinho, Niltinho
., .

, 

O, o
técnico, técnico
Canhoto, Canhoto
,, ,
do, de o
Londrina, Londrina
,, ,
disse, dizer
que, que
vai, ir
manter, manter
o, o
mesmo, mesmo
esquema, esquema
de, de
marcação, marcação
por, por
zona, zona
na, em o
metade, metade
do, de o
campo, campo
e, e
ataques, ataque
rápidos, rápido
com, com
a, o
dupla, dupla
Agnaldo, Agnaldo
,, ,
artilheiro, artilheiro
da, de o
Copa, copa
com, com
oito, oito
gols, gol
e, e
,, ,
César, César
(, (
ex-Palmeiras, ex-Palmeiras
), )
,, ,
que, que
ainda, ainda
não, não
marcou, marcar
., .
", "
O, o
César, César
marca, marcar
gols, gol
também, também
,, ,
mas, mas
está, estar
levando, levar
muito, muito
azar, azar
", "
,, ,
disse, dizer
Canhoto, Canhoto
., .
Na, em o
Copa, Copa
Londrina, Londrina
de, de
Juniores, Juniores
,, ,
César, César
foi, ser
