Dos, ﻿Dos
três, três
jogadores, jogador
,, ,
que, que
estão, estar
com, com
contratos, contrato
vencidos, vencir
,, ,
o, o
único, único
que, que
participou, participar
esta, este
semana, semana
das, de o
avaliações, avaliação
físicas, físico
e, e
dos, de o
poucos, pouco
treinamentos, treinamento
foi, ser
Cerezo, Cerezo
., .
Cafu, Cafu
,, ,
em, em
lua-de-mel, lua-de-mel
em, em
Comandatuba, Comandatuba
,, ,
e, e
Muller, Muller
,, ,
obtiveram, obtiver
licença, licença
da, de o
diretoria, diretoria
para, para
se, se
reapresentarem, reapresentar
mais, mais
tarde, tarde
., .

, 

Cerezo, Cerezo
tinha, ter
viagem, viagem
marcada, marcar
para, para
o, o
Rio, Rio
,, ,
onde, onde
se, se
reunirá, reunir
com, com
os, o
dirigentes, dirigente
do, de o
Flamengo, Flamengo
,, ,
que, que
tem, ter
interesse, interesse
em, em
sua, seu
contratação, contratação
., .
O, o
clube, clube
da, de o
Gávea, Gávea
prometeu, prometer
até, até
apresentar, apresentar
o, o
meio-campista, meio-campista
como, como
novo, novo
reforço, reforço
da, de o
equipe, equipe
,, ,
na, em o
festa, festa
de, de
reinauguração, reinauguração
de, de
seu, seu
estádio, estádio
,, ,
marcada, marcar
para, para
hoje, hoje
., .
O, o
técnico, técnico
Júnior, Júnior
está, estar
empenhado, empenhado
:, :
ligou, ligar
para, para
o, o
jogador, jogador
esta, este
semana, semana
,, ,
explicando, explicar
os, o
planos, plano
do, de o
clube, clube
para, para
94, 94
., .

, 

Outros, outro
dois, dois
jogadores, jogador
que, que
precisam, precisar
tratar, tratar
da, de o
renovação, renovação
são, ser
o, o
goleiro, goleiro
Zetti, Zetti
e, e
o, o
lateral, lateral
Vítor, Vítor
., .
Ambos, ambos
foram, ser
convencidos, convencer
pela, por o
diretoria, diretoria
a, a
atuar, atuar
hoje, hoje
., .
O, o
atacante, atacante
Valdeir, Valdeir
,, ,
no, em o
entanto, entanto
,, ,
esperava, esperar
acertar, acertar
sua, seu
condição, condição
no, em o
clube, clube
antes, antes
de, de
se, se
colocar, colocar
à, a o
disposição, disposição
de, de
Murici, Murici
., .
", "
Tenho, ter
contrato, contrato
até, até
junho, junho
,, ,
mas, mas
quero, querer
saber, saber
se, se
vou, ir
ser, ser
aproveitado, aproveitar
pela, por o
equipe, equipe
., .
Se, se
não, não
for, ir
o, o
caso, caso
,, ,
prefiro, prefiro
sair, sair
", "
,, ,
afirmou, afirmar
o, o
jogador, jogador
,, ,
durante, durante
os, o
treinos, treino
., .
Como, como
única, único
saída, saída
,, ,
a, o
comissão, comissão
técnica, técnico
poderá, poder
escalar, escalar
um, um
dos, de o
atletas, atleta
da, de o
equipe, equipe
