Flamengo, ﻿Flamengo
,, ,
Fluminense, Fluminense
e, e
Botafogo, Botafogo
estão, estar
fora, fora
do, de o
Campeonato, Campeonato
Estadual, Estadual
de, de
Futebol, Futebol
do, de o
Rio, Rio
de, de
1994, 1994
., .
A, o
decisão, decisão
–, –
antes, antes
uma, um
ameaça, ameaça
–, –
foi, ser
anunciada, anunciar
ontem, ontem
em, em
reunião, reunião
da, de o
recém-fundada, recém-fundado
Liga, Liga
Carioca, Carioca
,, ,
entidade, entidade
que, que
reúne, reunir
os, o
três, três
clubes, clube
., .
A, o
competição, competição
será, ser
como, como
um, um
Campeonato, Campeonato
Paulista, Paulista
sem, sem
Corinthians, Corinthians
,, ,
Palmeiras, Palmeiras
e, e
Santos, Santos
., .

, 

A, o
Liga, Liga
vai, ir
organizar, organizar
um, um
campeonato, campeonato
paralelo, paralelo
até, até
maio, maio
ou, ou
junho, junho
,, ,
quando, quando
começa, começar
a, o
Copa, Copa
do, de o
Mundo, Mundo
., .
Convidará, Convidará
três, três
clubes, clube
pequenos, pequeno
–, –
Bonsucesso, Bonsucesso
,, ,
Portuguesa, Portuguesa
e, e
Canto, Canto
do, de o
Rio, Rio
–, –
para, para
participar, participar
., .
Se, se
eles, ele
aceitarem, aceitar
,, ,
o, o
torneio, torneio
terá, ter
dez, dez
rodadas, rodada
., .

, 

Hoje, hoje
o, o
presidente, presidente
da, de o
Federação, Federação
de, de
Futebol, Futebol
do, de o
Rio, Rio
,, ,
Eduardo, Eduardo
Viana, Viana
,, ,
se, se
reúne, reunir
com, com
os, o
demais, demais
clubes, clube
do, de o
Campeonato, Campeonato
Estadual, Estadual
–, –
a, o
maioria, maioria
do, de o
interior, interior
–, –
para, para
definir, definir
a, o
tabela, tabela
., .
Podem, poder
ser, ser
discutidas, discutir
punições, punição
para, para
os, o
clubes, clube
", "
rebeldes, rebelde
", "
que, que
decidiram, decidir
não, não
participar, participar
do, de o
campeonato, campeonato
., .

, 

Viana, Viana
negou-se, negour se
ontem, ontem
a, a
atender, atender
a, o
Folha, Folha
para, para
falar, falar
sobre, sobre
a, o
ruptura, ruptura
da, de o
Liga, Liga
e, e
o, o
inquérito, inquérito
do, de o
Tribunal, Tribunal
de, de
Justiça, Justiça
Desportiva, Desportiva
sobre, sobre
irregularidades, irregularidade
nas, em o
arbitragens, arbitragem
., .
Prometeu, Prometeu
dar, dar
entrevista, entrevista
hoje, hoje
depois, depois
da, de o
reunião, reunião
com, com
os, o
clubes, clube
do, de o
Estadual, Estadual
., .

, 

", "
O, o
campeonato, campeonato
da, de o
Liga, Liga
ainda, ainda
não, não
vai, ir
ser, ser
o, o
ideal, ideal
,, ,
mas, mas
é, ser
um, um
passo, passo
para, para
melhorar, melhorar
o, o
futebol, futebol
do, de o
Rio, Rio
", "
,, ,
afirmou, afirmar
o, o
novo, novo
presidente, presidente
do, de o
Botafogo, Botafogo
,, ,
Carlos, Carlos
Augusto, Augusto
Montenegro, Montenegro
., .

, 

O, o
único, único
clube, clube
de, de
grande, grande
torcida, torcida
a, a
permanecer, permanecer
na, em o
federação, federação
é, ser
o, o
Vasco, Vasco
da, de o
Gama, Gama
., .
Seu, seu
principal, principal
dirigente, dirigente
de, de
futebol, futebol
,, ,
Eurico, Eurico
Miranda, Miranda
,, ,
é, ser
aliado, aliar
de, de
Eduardo, Eduardo
Viana, Viana
,, ,
presidente, presidente
da, de o
federação, federação
., .
(, (
MM, MM
), )

, 

