Poucos, ﻿Pouco
dias, dia
após, após
ter, ter
assinado, assinar
um, um
contrato, contrato
de, de
US$, US$
55, 55
milhões, milhão
com, com
o, o
Detroit, Detroit
Pistons, Pistons
,, ,
o, o
armador, armador
Isiah, Isiah
Thomas, Thomas
,, ,
32, 32
,, ,
foi, ser
contemplado, contemplar
com, com
outra, outro
boa, bom
notícia, notícia
:, :
sua, seu
convocação, convocação
para, para
integrar, integrar
o, o
", "
Dream, Dream
Team, Team
2, 2
", "
(, (
Time, Time
dos, de o
Sonhos, Sonhos
2, 2
), )
,, ,
que, que
representará, representar
os, o
EUA, EUA
no, em o
Campeonato, Campeonato
Mundial, Mundial
de, de
Toronto, Toronto
,, ,
Canadá, Canadá
,, ,
em, em
agosto, agosto
próximo, próximo
., .
O, o
Brasil, Brasil
participará, participar
do, de o
Mundial, Mundial
e, e
jogará, jogar
contra, contra
os, o
EUA, EUA
., .

, 

Isiah, Isiah
foi, ser
convocado, convocar
para, para
substituir, substituir
o, o
armador, armador
do, de o
Golden, Golden
State, State
Warriors, Warriors
,, ,
Tim, Tim
Hardaway, Hardaway
,, ,
que, que
se, se
contundiu, contundir
., .
Dois, dois
nomes, nome
estavam, estar
sendo, ser
cogitados, cogitar
para, para
ocupar, ocupar
a, o
vaga, vaga
:, :
Kevin, Kevin
Johnson, Johnson
,, ,
do, de o
Phoenix, Phoenix
Suns, Suns
,, ,
e, e
Mitch, Mitch
Richmond, Richmond
,, ,
do, de o
Sacramento, Sacramento
Kings, Kings
., .

, 

Influiu, Influiu
na, em o
convocação, convocação
o, o
fato, fato
de, de
que, que
o, o
", "
Dream, Dream
Team, Team
2, 2
", "
já, já
tem, ter
o, o
armador, armador
Joe, Joe
Dumars, Dumars
,, ,
companheiro, companheiro
de, de
Isiah, Isiah
nos, em o
Pistons, Pistons
,, ,
o, o
que, que
facilita, facilitar
o, o
entrosamento, entrosamento
da, de o
seleção, seleção
., .
Além, além
disso, de isso
,, ,
a, o
", "
USA, USA
Basketball, Basketball
", "
supera, superar
a, o
polêmica, polêmica
da, de o
não-convocação, não-convocação
de, de
Isiah, Isiah
para, para
o, o
time, time
campeão, campeão
olímpico, olímpico
em, em
Barcelona, Barcelona
,, ,
quando, quando
o, o
jogador, jogador
teve, ter
seu, seu
nome, nome
vetado, vetar
por, por
influência, influência
de, de
Michael, Michael
Jordan, Jordan
,, ,
ex-armador, ex-armador
dos, de o
Bulls, Bulls
., .

, 

Racismo, Racismo

, 

Doc, Doc
Rivers, Rivers
,, ,
armador, armador
do, de o
New, New
York, York
Knicks, Knicks
,, ,
que, que
está, estar
se, se
recupeando, recupear
de, de
contusão, contusão
no, em o
joelho, joelho
,, ,
denuncia, denunciar
em, em
livro, livro
sobre, sobre
sua, seu
carreira, carreira
profissional, profissional
a, o
existência, existência
de, de
racismo, racismo
dentro, dentro
da, de o
NBA, NBA
., .
", "
Só, só
temos, ter
que, que
olhar, olhar
as, o
pessoas, pessoa
que, que
ocupam, ocupar
os, o
altos, alto
cargos, cargo
na, em o
direção, direção
das, de o
equipes, equipe
e, e
daremos, darer
conta, conta
dessa, de esse
realidade, realidade
", "
,, ,
afirmou, afirmar
Rivers, Rivers
em, em
um, um
capítulo, capítulo
de, de
12, 12
páginas, página
dedicado, dedicar
ao, a o
assunto, assunto
., .

, 

