Embalado, ﻿Embalar
pela, por o
vitória, vitória
de, de
sexta-feira, sexta-feira
à, a o
noite, noite
sobre, sobre
o, o
Bahia, Bahia
(, (
1, 1
x, x
0, 0
), )
,, ,
o, o
Corinthians, Corinthians
tenta, tentar
hoje, hoje
derrotar, derrotar
a, o
Portuguesa, Portuguesa
., .
O, o
time, time
busca, busca
repetir, repetir
o, o
caminho, caminho
vitorioso, vitorioso
do, de o
São, São
Paulo, Paulo
na, em o
Copa, copa
SP, SP
do, de o
ano, ano
passado, passado
., .

, 

Em, em
93, 93
,, ,
o, o
São, São
Paulo, Paulo
iniciou, iniciar
mal, mal
a, o
competição, competição
–, –
só, só
passou, passar
para, para
a, o
segunda, segundo
fase, fase
por, por
sorteio, sorteio
–, –
e, e
,, ,
mesmo, mesmo
sem, sem
jogar, jogar
um, um
futebol, futebol
vistoso, vistoso
,, ,
chegou, chegar
à, a o
final, final
., .
Aí, aí
,, ,
com, com
um, um
jogo, jogo
envolvente, envolvente
,, ,
venceu, vencer
o, o
Corinthians, Corinthians
,, ,
que, que
era, ser
o, o
favorito, favorito
., .
O, o
jogo, jogo
terminou, terminar
4, 4
a, a
3, 3
,, ,
com, com
três, três
gols, gol
de, de
Jamelli, Jamelli
,, ,
que, que
até, até
então, então
não, não
havia, haver
marcado, marcar
na, em o
competição, competição
., .

, 

A, o
situação, situação
deste, de este
ano, ano
é, ser
inversa, inverso
., .
O, o
Corinthians, Corinthians
não, não
mostrou, mostrar
na, em o
primeira, primeiro
fase, fase
o, o
mesmo, mesmo
entrosamento, entrosamento
do, de o
ano, ano
passado, passado
., .
Na, em o
primeira, primeiro
fase, fase
,, ,
o, o
time, time
classificou-se, classificar se
em, em
segundo, segundo
lugar, lugar
e, e
graças, graças
à, a o
derrota, derrota
do, de o
Cruzeiro, Cruzeiro
para, para
o, o
Atlético, Atlético
/, /
GO, GO
na, em o
última, último
rodada, rodada
., .
O, o
São, São
Paulo, Paulo
é, ser
apontado, apontar
unanimemente, unanimemente
como, como
o, o
time, time
mais, mais
forte, forte
desta, de este
Copa, copa
., .

, 

Outra, outro
semelhança, semelhança
entre, entre
o, o
São, São
Paulo, Paulo
de, de
1993, 1993
e, e
o, o
Corinthians, Corinthians
de, de
1994, 1994
é, ser
o, o
técnico, técnico
Márcio, Márcio
Araújo, Araújo
., .
Alegando, alegar
que, que
não, não
tinha, ter
mais, mais
desafios, desafio
no, em o
time, time
do, de o
Morumbi, Morumbi
,, ,
Araújo, Araújo
foi, ir
para, para
o, o
Parque, Parque
São, São
Jorge, Jorge
,, ,
que, que
havia, haver
demitido, demitir
Ivan, Ivan
Silva, Silva
–, –
hoje, hoje
técnico, técnico
da, de o
Portuguesa, Portuguesa
., .

, 

Márcio, Márcio
Araújo, Araújo
tentou, tentar
aplicar, aplicar
a, o
filosofia, filosofia
do, de o
São, São
Paulo, Paulo
., .
Na, em o
primeira, primeiro
fase, fase
,, ,
a, o
equipe, equipe
–, –
uma, um
das, de o
mais, mais
baixas, baixo
e, e
leves, leve
da, de o
competição, competição
–, –
tentou, tentar
jogar, jogar
em, em
velocidade, velocidade
e, e
ofensivamente, ofensivamente
., .
Tropeçou, Tropeçou
contra, contra
o, o
Juventude, Juventude
,, ,
um, um
time, time
de, de
jogadores, jogador
fortes, forte
e, e
que, que
joga, jogar
à, a o
Mário, Mário
Sérgio, Sérgio
., .
", "
Eles, eles
fizeram, fazer
umas, um
40, 40
faltas, falta
na, em o
gente, gente
", "
,, ,
reclamou, reclamar
Márcio, Márcio
Araújo, Araújo
,, ,
lembrando, lembrar
as, o
reclamações, reclamação
dos, de o
técnicos, técnico
que, que
enfrentavam, enfrentar
o, o
Corinthians, Corinthians
no, em o
Brasileiro, Brasileiro
de, de
1993, 1993
., .

, 

Na, em o
seguda, seguda
fase, fase
,, ,
Márcio, Márcio
Araújo, Araújo
pôs, pôr
Gino, Gino
no, em o
lugar, lugar
do, de o
inexperiente, inexperiente
Pedro, Pedro
., .
O, o
time, time
abandonou, abandonar
a, o
linha, linha
", "
light, light
", "
e, e
se, se
transformou, transformar
em, em
guerreiro, guerreiro
., .
", "
Gino, Gino
só, só
não, não
estava, estar
jogando, jogar
porque, porque
não, não
estava, estar
com, com
total, total
condição, condição
de, de
jogo, jogo
,, ,
mas, mas
sempre, sempre
foi, ser
o, o
titular, titular
", "
,, ,
disse, dizer
Márcio, Márcio
araújo, araújo
,, ,
antes, antes
ainda, ainda
da, de o
partida, partida
., .

, 

O, o
time, time
da, de o
Portuguesa, Portuguesa
,, ,
após, após
uma, um
boa, bom
e, e
azarada, azarar
campanha, campanha
na, em o
primeira, primeiro
fase, fase
–, –
empatou, empatar
em, em
primeiro, primeiro
lugar, lugar
na, em o
Série, Série
H, H
com, com
o, o
Grêmio, Grêmio
,, ,
mas, mas
perdeu, perder
no, em o
sorteio, sorteio
–, –
,, ,
tropeçou, tropeçar
no, em o
último, último
jogo, jogo
., .
Contra, contra
o, o
Vitória, vitória
,, ,
perdeu, perder
de, de
2, 2
a, a
0, 0
e, e
se, se
voltar, voltar
a, a
perder, perder
estará, estar
eliminado, eliminar
,, ,
a, a
não, não
ser, ser
que, que
o, o
Vitória, vitória
perca, percar
no, em o
outro, outro
jogo, jogo
de, de
hoje, hoje
do, de o
Grupo, grupo
3.(Marcelo, 3.(Marcelo
Damato, damato
), )

, 

CORINTHIANS, CORINTHIANS

, 

Edílson, Edílson
;, ;
Tupã, Tupã
,, ,
Hélio, Hélio
,, ,
André, André
Santos, Santos
e, e
Aguinaldo, Aguinaldo
;, ;
Gino, Gino
,, ,
Hermes, Hermes
e, e
Paulo, Paulo
Sérgio, Sérgio
;, ;
Fabinho, Fabinho
,, ,
Marques, Marques
e, e
Renato, Renato
., .
Técnico, Técnico
-, -
Márcio, Márcio
Araújo, Araújo

, 

PORTUGUESA, PORTUGUESA

, 

Ronaldo, Ronaldo
;, ;
Antônio, Antônio
Carlos, Carlos
,, ,
Toninho, Toninho
,, ,
Claudinho, Claudinho
e, e
Celinho, Celinho
;, ;
Régis, Régis
,, ,
Miltinho, Miltinho
e, e
Zé, Zé
Roberto, Roberto
., .
Gláucio, Gláucio
,, ,
Jackson, Jackson
e, e
Tardone, Tardone
., .
Técnico, Técnico
-, -
Ivan, Ivan
Silva, Silva

, 

Local, Local
:, :
Pacaembu, Pacaembu

, 

Horário:18h, Horário:18h

, 

NA, NA
TV, tv
:, :
Ao, a o
vivo, vivo
,, ,
na, em o
Gazeta, Gazeta

, 

