Chegar, ﻿Chegar
à, a o
final, final
da, de o
J-League, J-League
,, ,
a, o
última, último
de, de
sua, seu
carreira, carreira
,, ,
é, ser
a, o
maior, grande
recompensa, recompensar
que, que
Arthur, Arthur
Antunes, Antunes
Coimbra, Coimbra
,, ,
40, 40
,, ,
poderia, poder
ter, ter
após, após
dois, dois
anos, ano
e, e
meio, meio
de, de
trabalho, trabalho
para, para
popularizar, popularizar
o, o
futebol, futebol
no, em o
Japão, Japão
., .
Zico, Zico
estará, estar
provavelmente, provavelmente
no, em o
banco, banco
de, de
reservas, reserva
,, ,
por, por
causa, causa
de, de
uma, um
insistente, insistente
contusão, contusão
no, em o
músculo, músculo
adutor, adutor
da, de o
coxa, coxa
direita, direito
., .
Ali, ali
ele, ele
passou, passar
a, o
maior, grande
parte, parte
da, de o
competição, competição
contundido, contunder
e, e
trabalhando, trabalhar
como, como
auxiliar-técnico, auxiliar-técnico
., .

, 

Em, em
maio, maio
,, ,
quando, quando
seu, seu
contrato, contrato
acaba, acabar
,, ,
Zico, Zico
pára, pára
de, de
jogar, jogar
., .
", "
Não, não
dá, dar
mais, mais
., .
Se, se
pudesse, puder
,, ,
até, até
parava, parar
agora, agora
", "
., .
Passará, Passará
a, a
ser, ser
consultor, consultor
do, de o
Kashima, Kashima
,, ,
indo, ir
ao, a o
Japão, Japão
quatro, quatro
vezes, vez
por, por
ano, ano
para, para
preparar, preparar
jogadores, jogador
e, e
organizar, organizar
intercâmbios, intercâmbio
., .
Seu, seu
irmão, irmão
Edu, Edu
assume, assumir
o, o
comando, comando
do, de o
Antlers, Antlers
em, em
fevereiro, fevereiro
., .
Em, em
entrevista, entrevista
à, a o
Folha, folha
,, ,
Zico, Zico
falou, falar
de, de
seu, seu
livro, livro
", "
A, a
respeito, respeito
de, de
ser, ser
líder, líder
", "
,, ,
lançado, lançar
no, em o
Japão, Japão
este, este
mês, mês
(, (
primeira, primeiro
de, de
uma, um
série, série
de, de
cinco, cinco
publicações, publicação
), )
e, e
acusou, acusar
os, o
juízes, juíz
de, de
prejudicar, prejudicar
seu, seu
time, time
e, e
beneficiar, beneficiar
o, o
Verdy.(André, Verdy.(André
Fontenelle, Fontenelle
), )

, 

*, *

, 

Folha, Folha
-, -
Muita, muito
expectativa, expectativa
para, para
a, o
decisão, decisão
?, ?

, 

Zico, Zico
-, -
Há, haver
um, um
equilíbrio, equilíbrio
muito, muito
grande, grande
das, de o
forças, força
., .
As, o
duas, dois
equipes, equipe
fizeram, fazer
por, por
merecer, merecer
chegar, chegar
à, a o
condição, condição
a, a
que, que
chegaram, chegar
., .
Não, não
existe, existir
favoritismo, favoritismo
., .
A, o
única, único
coisa, coisa
com, com
que, que
me, eu
preocupo, preocupo
é, ser
o, o
problema, problema
de, de
arbitragem, arbitragem
,, ,
que, que
vem, vir
nos, nós
prejudicando, prejudicar
o, o
campeonato, campeonato
inteiro, inteiro
., .
E, e
é, ser
a, o
primeira, primeiro
vez, vez
que, que
o, o
árbitro, árbitro
da, de o
decisão, decisão
não, não
será, ser
estrangeiro, estrangeiro
., .

, 

Folha, Folha
-, -
Por, por
quê, quê
?, ?

, 

Zico, Zico
-, -
Não, não
sei, saber
., .
Na, em o
primeira, primeiro
fase, fase
,, ,
foi, ser
um, um
inglês, inglês
,, ,
na, em o
outra, outro
,, ,
um, um
argentino, argentino
., .
Agora, agora
deixaram, deixar
para, para
os, o
japoneses, japonês
., .
Então, então
,, ,
como, como
a, o
gente, gente
não, não
tem, ter
peso, peso
na, em o
Federação, Federação
–, –
time, time
do, de o
interior, interior
–, –
,, ,
o, o
Yomiuri, Yomiuri
Verdy, Verdy
ganha, ganhar
vários, vários
jogos, jogo
na, em o
base, base
do, de o
apito, apito
., .
Não, não
precisa, precisar
disso, de isso
,, ,
mas, mas
ganha, ganhar
., .
Tenho, ter
muito, muito
medo, medo
do, de o
esquema, esquema
que, que
possa, poder
prevalecer, prevalecer
., .
Já, já
fomos, for
altamente, altamente
roubados, roubar
na, em o
Copa, copa
do, de o
Imperador, Imperador
(, (
derrota, derrota
por, por
4, 4
a, a
0, 0
,, ,
na, em o
prorrogação, prorrogação
,, ,
para, para
o, o
Yokohama, Yokohama
Flugels, Flugels
,, ,
após, após
empate, empate
em, em
2, 2
a, a
2, 2
no, em o
tempo, tempo
normal, normal
), )
., .

, 

Folha, Folha
-, -
Vocês, Vocês
levaram, levar
quatro, quatro
gols, gol
na, em o
prorrogação, prorrogação
., .

, 

Zico, Zico
-, -
É, ser
,, ,
mas, mas
o, o
problema, problema
não, não
foi, ser
a, o
prorrogação, prorrogação
., .
Nós, nós
jogamos, jogar
mais, mais
de, de
70, 70
minutos, minuto
com, com
dez, dez
., .
Foi, ser
expulso, expulso
um, um
dos, de o
nossos, nosso
,, ,
fizeram, fazer
dois, dois
gols, gol
de, de
pênalti, pênalti
no, em o
tempo, tempo
normal, normal
,, ,
um, um
pênalti, pênalti
escandaloso, escandaloso
que, que
não, não
houve, haver
., .
Fomos, Fomos
eliminados, eliminar
da, de o
Copa, copa
Nabisco, nabisco
sendo, ser
roubados, roubar
., .

, 

Folha, Folha
-, -
Isso, isso
o, ele
surpreende, surpreender
?, ?
Você, você
esperava, esperar
encontrar, encontrar
no, em o
Japão, Japão
algo, algo
diferente, diferente
do, de o
Brasil, Brasil
?, ?

, 

Zico, Zico
-, -
Eu, Eu
esperava, esperar
encontrar, encontrar
uma, um
certa, certo
falta, falta
de, de
noção, noção
de, de
o, o
que, que
é, ser
profissionalismo, profissionalismo
., .
