"Tive, ﻿"Tive
que, que
pedir, pedir
reforço, reforço
armado, armar
para, para
evitar, evitar
que, que
a, o
nossa, nosso
loja, loja
fosse, ser
invadida, invadir
", "
,, ,
disse, dizer
Carlos, Carlos
Alberto, Alberto
dos, de o
Santos, Santos
,, ,
segurança, segurança
da, de o
loja, loja
de, de
fast-food, fast-food
Arbys, Arbys
da, de o
av., av.
Paulista, Paulista
próximo, próximo
da, de o
Frei, Frei
Caneca, Caneca
., .
", "
Eles, eles
(, (
os, o
torcedores, torcedor
do, de o
Corinthians, Corinthians
), )
passaram, passar
rasgando, rasgar
os, o
sacos, saco
de, de
lixo, lixo
,, ,
mas, mas
a, o
polícia, polícia
chegou, chegar
e, e
os, eles
obrigou, obrigar
a, a
recolher, recolher
tudo, tudo
", "
,, ,
conta, contar
José, José
Carlos, Carlos
Nepomuceno, Nepomuceno
,, ,
segurança, segurança
do, de o
McDonald, McDonald
's, 's
que, que
fica, ficar
em, em
frente, frente
ao, a o
Conjunto, Conjunto
Nacional, Nacional
., .

, 

A, o
gerente, gerente
da, de o
Arbys, Arbys
,, ,
Juliana, Juliana
Caldeira, Caldeira
,, ,
disse, dizer
que, que
quando, quando
há, haver
eventos, evento
,, ,
como, como
jogos, jogo
ou, ou
a, a
São, São
Silvestre, Silvestre
,, ,
todas, todo
as, o
portas, porta
são, ser
trancadas, trancar
,, ,
exceto, exceto
uma, um
., .
Ela, ela
não, não
sabia, saber
do, de o
incidente, incidente
de, de
segunda-feira, segunda-feira
,, ,
mas, mas
contou, contar
que, que
na, em o
noite, noite
em, em
que, que
o, o
Palmeiras, Palmeiras
foi, ser
campeão, campeão
brasileiro, brasileiro
,, ,
funcionários, funcionário
seus, seu
tiveram, ter
de, de
comprar, comprar
faixas, faixa
da, de o
torcida, torcida
Mancha, Mancha
Verde, Verde
para, para
poder, poder
atravessar, atravessar
a, o
área, área
de, de
comemoração, comemoração
., .
O, o
diretor, diretor
de, de
Desenvolvimento, Desenvolvimento
de, de
Operações, Operações
da, de o
rede, rede
McDonald, McDonald
's, 's
,, ,
Paulo, Paulo
Metello, Metello
,, ,
disse, dizer
através, através
da, de o
assessoria, assessoria
de, de
imprensa, imprensa
que, que
a, o
rede, rede
não, não
tem, ter
um, um
esquema, esquema
especial, especial
para, para
dias, dia
de, de
jogos, jogo
., .
Os, o
segurança, segurança
são, ser
apenas, apenas
orientados, orientar
para, para
ter, ter
atenção, atenção
especial, especial
e, e
fechar, fechar
a, o
loja, loja
se, se
for, ser
necessário, necessário
–, –
o, o
que, que
nunca, nunca
aconteceu, acontecer
,, ,
segundo, segundo
ele, ele
., .

, 

O, o
baiano, baiano
Gílson, Gílson
,, ,
22, 22
,, ,
que, que
vende, vender
cigarros, cigarro
na, em o
esquina, esquina
da, de o
av., av.
Paulista, Paulista
com, com
a, o
r., r.
Frei, Frei
Caneca, Caneca
,, ,
diz, dizer
que, que
os, o
corintianos, corintiano
são, ser
os, o
mais, mais
agressivos, agressivo
., .
", "
As, o
bancas, banca
de, de
jornais, jornal
que, que
ficam, ficar
24, 24
horas, hora
abertas, aberto
são, ser
as, o
que, que
mais, mais
sofrem, sofrer
., .
", "
Edson, Edson
Buratto, Buratto
,, ,
gerente, gerente
da, de o
Livraria, Livraria
Siciliano, Siciliano
que, que
fica, ficar
na, em o
esquina, esquina
da, de o
r., r.
Padre, Padre
João, João
Manoel, Manoel
,, ,
mandou, mandar
colocar, colocar
portas, porta
de, de
aço, aço
na, em o
loja, loja
., .
Antes, antes
,, ,
havia, haver
só, só
a, ela
vitrine, vitrine
., .
", "
Chegou, chegar
a, a
ter, ter
quatro, quatro
vidros, vidro
quebrados, quebrado
., .
Levaram, Levaram
até, até
um, um
atlas, atlas
importado, importar
", "
,, ,
lembra, lembrar
., .

, 

Os, o
ambulantes, ambulante
que, que
ficam, ficar
em, em
torno, torno
do, de o
Pacaembu, Pacaembu
dizem, dizer
que, que
houve, haver
muitos, muito
arrastões, arrastão
após, após
o, o
jogo, jogo
de, de
segunda, segunda
à, a o
noite, noite
., .
", "
As, o
barracas, barraca
não, não
foram, ser
atacadas, atacar
,, ,
mas, mas
não, não
sobrou, sobrar
um, um
carrinho, carrinho
de, de
pipoca, pipoca
ou, ou
de, de
cachorro-quente, cachorro-quente
", "
,, ,
disse, dizer
Miriam, Miriam
,, ,
que, que
tem, ter
uma, um
barraca, barraca
em, em
frente, frente
ao, a o
Pacaembu, Pacaembu
., .
Ézio, Ézio
,, ,
26, 26
,, ,
e, e
José, José
,, ,
47, 47
,, ,
que, que
há, haver
dez, dez
anos, ano
vendem, vender
amendoim, amendoim
no, em o
Pacaembu, Pacaembu
,, ,
afirmam, afirmar
que, que
a, o
única, único
torcida, torcida
onde, onde
não, não
há, haver
arrastão, arrastão
é, ser
a, a
do, de o
Santos, Santos
., .
", "
O, o
resto, resto
é, ser
tudo, tudo
igual, igual
", "
,, ,
afirma, afirmar
Ézio, Ézio
., .

, 

