Considerado, ﻿Considerar
por, por
especialistas, especialista
como, como
o, o
futebol, futebol
que, que
mais, mais
evoluiu, evoluir
no, em o
planeta, planeta
nos, em o
últimos, último
anos, ano
,, ,
a, o
Colômbia, Colômbia
entra, entrar
pela, por o
primeira, primeira
vez, vez
em, em
uma, um
Copa, Copa
do, de o
Mundo, Mundo
com, com
chances, chance
reais, real
de, de
um, um
bom, bom
resultado, resultado
., .
Em, em
ensaio, ensaio
realizado, realizar
pela, por o
 ,  
Folha, Folha
,, ,
publicado, publicar
no, em o
dia, dia
27, 27
de, de
dezembro, dezembro
de, de
93, 93
,, ,
a, o
Colômbia, Colômbia
enfrentaria, enfrentar
o, o
Brasil, Brasil
em, em
uma, um
das, de o
partidas, partida
semifinais, semifinal
do, de o
torneio, torneio
., .

, 

A, o
equipe, equipe
colombiana, colombiano
está, estar
no, em o
Grupo, Grupo
A, a
do, de o
Mundial, Mundial
,, ,
junto, junto
com, com
EUA, EUA
,, ,
Suíça, Suíça
e, e
Romênia, Romênia
., .
A, o
Colômbia, Colômbia
é, ser
tida, ter
como, como
favorita, favorito
para, para
ser, ser
a, o
primeira, primeiro
da, de o
chave, chave
., .

, 

Nessa, em esse
hipótese, hipótese
,, ,
o, o
time, time
enfrentará, enfrentar
nas, em o
oitavas-de-final, oitava-de-final
o, o
terceiro, terceiro
colocado, colocado
do, de o
Grupo, Grupo
C, C
,, ,
D, D
ou, ou
E., E.
No, em o
C, C
,, ,
especulando-se, especulandor se
sempre, sempre
a, a
favor, favor
da, de o
lógica, lógica
,, ,
o, o
adversário, adversário
seria, ser
provavelmente, provavelmente
a, o
Bolívia, Bolívia
., .
No, em o
D, D
,, ,
Grécia, Grécia
,, ,
Nigéria, Nigéria
ou, ou
Bulgária, Bulgária
., .
E, e
no, em o
D, D
,, ,
Irlanda, Irlanda
,, ,
Noruega, Noruega
ou, ou
México, México
., .
O, o
time, time
do, de o
técnico, técnico
Francisco, Francisco
Maturana, Maturana
reúne, reunir
condições, condição
de, de
vencer, vencer
qualquer, qualquer
uma, um
dessas, de esse
seleções, seleção
., .

, 

Nas, em o
quartas-de-final, quartas-de-final
,, ,
o, o
próximo, próximo
adversário, adversário
da, de o
Colômbia, Colômbia
seria, ser
o, o
vencedor, vencedor
do, de o
jogo, jogo
entre, entre
o, o
2.º, 2.º
do, de o
Grupo, Grupo
F, F
(, (
teoricamente, teoricamente
a, o
Bélgica, Bélgica
), )
contra, contra
o, o
segundo, segundo
do, de o
grupo, grupo
do, de o
Brasil, Brasil
(, (
Camarões, Camarões
ou, ou
Rússia, Rússia
), )
., .
Mais, mais
uma, uma
vez, vez
,, ,
a, o
Colômbia, Colômbia
tem, ter
condições, condição
de, de
vencer, vencer
., .

, 

Na, em o
semifinal, semifinal
,, ,
enfim, enfim
,, ,
os, o
colombianos, colombiano
enfrentariam, enfrentar
o, o
Brasil, Brasil
,, ,
que, que
tem, ter
como, como
saída, saída
mais, mais
lógica, lógico
buscar, buscar
enfrentar, enfrentar
a, o
Colômbia, Colômbia
., .
Passando, Passando
pelo, por o
Brasil, Brasil
,, ,
a, o
final, final
poderia, poder
acontecer, acontecer
contra, contra
Alemanha, Alemanha
,, ,
Itália, Itália
ou, ou
Argentina, Argentina
–, –
se, se
estes, este
vencerem, vencer
seus, seu
primeiros, primeiro
jogos, jogo
., .

, 

É, ser
claro, claro
que, que
este, este
é, ser
apenas, apenas
um, um
cenário, cenário
especulativo, especulativo
,, ,
mas, mas
que, que
revela, revelar
as, o
possibilidades, possibilidade
do, de o
selecionado, selecionado
colombiano, colombiano
., .
Na, em o
fase, fase
semifinal, semifinal
e, e
final, final
,, ,
a, o
grande, grande
adversidade, adversidade
pode, poder
ser, ser
a, o
falta, falta
de, de
tradição, tradição
., .
Mas, mas
também, também
deve, dever
ser, ser
levado, levar
em, em
conta, conta
que, que
a, o
Colômbia, Colômbia
de, de
hoje, hoje
é, ser
capaz, capaz
de, de
façanhas, façanha
como, como
golear, golear
a, o
Argentina, Argentina
fora, fora
de, de
casa, casa
por, por
5, 5
a, a
0, 0
num, em um
jogo, jogo
decivisivo, decivisivo
pelas, por o
eliminatórias, eliminatória
sul-americanas, sul-americana
., .

, 

