Segundo, ﻿Segur
o, o
capitão, capitão
Cleodir, Cleodir
Fioravante, Fioravante
Nardo, Nardo
,, ,
41, 41
,, ,
subcomandante, subcomandante
do, de o
2.º, 2.º
Batalhão, Batalhão
,, ,
os, o
soldados, soldado
estão, estar
trabalhando, trabalhar
além, além
do, de o
horário, horário
habitual, habitual
., .
Às, a o
vezes, vez
,, ,
entram, entrar
às, a o
7h, 7h
e, e
saem, sair
às, a o
3h, 3h
da, de o
madrugada, madrugada
do, de o
dia, dia
seguinte, seguinte
., .
", "
O, o
nosso, nosso
efetivo, efetivo
é, ser
pequeno, pequeno
e, e
não, não
tem, ter
jeito, jeito
de, de
criar, criar
soldado, soldado
., .
Temos, ter
que, que
nos, em o
multiplicarmos, multiplicarmo
", "
,, ,
afirma, afirmar
o, o
capitão, capitão
., .

, 

Para, para
conseguir, conseguir
dar, dar
conta, conta
de, de
todos, todo
os, o
eventos, evento
,, ,
o, o
batalhão, batalhão
está, estar
usando, usar
", "
artimanhas, artimanha
de, de
guerra, guerra
", "
., .
Isso, isso
consiste, consistir
em, em
aproveitar, aproveitar
os, o
soldados, soldado
ao, a o
máximo, máximo
e, e
mantê-los, mantê-los
em, em
constante, constante
movimento, movimento
,, ,
para, para
intimidar, intimidar
ações, ação
de, de
depredação, depredação
., .
Equivale, Equivale
a, a
,, ,
numa, em um
batalha, batalha
,, ,
mover, mover
as, o
peças, peça
de, de
artilharia, artilharia
para, para
induzir, induzir
o, o
inimigo, inimigo
a, a
pensar, pensar
que, que
elas, ele
são, ser
muitas, muito
., .

, 

Mas, mas
nem, nem
isso, isso
tem, ter
sido, ser
suficiente, suficiente
., .
O, o
capitão, capitão
Cleodir, Cleodir
conta, contar
que, que
após, após
o, o
jogo, jogo
de, de
quarta-feira, quarta-feira
,, ,
torcedores, torcedor
corintianos, corintiano
quebraram, quebrar
os, o
vidros, vidro
de, de
várias, vários
casas, casa
comerciais, comercial
na, em o
avenida, avenida
Pacaembu, Pacaembu
., .
Várias, várias
empresas, empresa
já, já
estão, estar
contratando, contratar
seguranças, segurança
para, para
os, o
dias, dia
de, de
jogos, jogo
., .

, 

O, o
2.º, 2.º
batalhão, batalhão
tem, ter
150, 150
homens, homem
na, em o
1.ª, 1.ª
Companhia, Companhia
,, ,
que, que
trabalharão, trabalhar
no, em o
Hollywood, Hollywood
Rock, Rock
,, ,
150, 150
homens, homem
na, em o
2.ª, 2.ª
Companhia, Companhia
,, ,
deslocados, deslocar
para, para
a, o
Copa, Copa
São, São
Paulo, Paulo
neste, em este
fim, fim
de, de
semana, semana
,, ,
e, e
mais, mais
20, 20
policiais, policial
do, de o
Companhia, Companhia
de, de
Comando, Comando
e, e
Serviços, Serviços
,, ,
que, que
vão, ir
atuar, atuar
no, em o
Ginásio, Ginásio
do, de o
Ibirapuera, Ibirapuera
,, ,
considerado, considerar
o, o
menos, menos
problemático, problemático
dos, de o
eventos, evento
., .
Além, além
disso, de isso
,, ,
ainda, ainda
atuam, atuar
a, o
polícia, polícia
feminina, feminino
e, e
a, o
Ronda, Ronda
Apoiada, Apoiada
por, por
Motocicletas, Motocicletas
,, ,
que, que
também, também
tem, ter
150, 150
pessoas, pessoa
., .
Os, o
jogos, jogo
do, de o
Corinthians, Corinthians
,, ,
considerados, considerar
os, o
mais, mais
perigosos, perigoso
,, ,
reuniriam, reunirer
ontem, ontem
à, a o
noite, noite
e, e
amanhã, amanhã
toda, todo
a, o
2ª, 2ª
Companhia, Companhia
e, e
uma, um
boa, bom
parte, parte
da, de o
Rocam, Rocam
,, ,
além, além
de, de
policiais, policial
femininos, feminino
., .

, 

Sobre, sobre
os, o
arrastões, arrastão
contra, contra
vendedores, vendedor
dentro, dentro
dos, de o
estádios, estádio
,, ,
o, o
capitão, capitão
Cleodir, Cleodir
aponta, apontar
um, um
problema, problema
:, :
", "
A, o
maioria, maioria
deles, de eles
é, ser
clandestina, clandestino
,, ,
entra, entrar
irregularmente, irregularmente
no, em o
estádio, estádio
., .
Por, por
isso, isso
,, ,
eles, eles
não, não
vêm, vir
até, até
nós, nós
dar, dar
queixa, queixa
e, e
eles, eles
são, ser
justamente, justamente
as, o
maiores, grande
vítimas, vítima
dos, de o
arrastões, arrastão
", "
,, ,
declarou, declarar
., .
Na, em o
quarta-feira, quarta-feira
,, ,
o, o
tenente, tenente
Storai, Storai
,, ,
que, que
trabalhou, trabalhar
no, em o
jogo, jogo
São, São
Paulo, Paulo
x, x
Londrina, Londrina
,, ,
havia, haver
dito, dizer
o, o
mesmo, mesmo
., .

, 

Além, além
dos, de o
ambulantes, ambulante
,, ,
os, o
arrastões, arrastão
estão, estar
atingindo, atingir
também, também
de, de
guardadores, guardador
de, de
carros, carro
,, ,
por, por
causa, causa
do, de o
dinheiro, dinheiro
que, que
arrecadam, arrecadar
., .
Isso, isso
tem, ter
diminuído, diminuir
a, o
presença, presença
deles, de ele
nos, em o
jogos, jogo
da, de o
Copa, Copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
., .
(, (
MD, MD
), )

, 

