Pela, ﻿Pela
quarta, quarta
vez, vez
consecutiva, consecutivo
,, ,
um, um
recorde, recorde
na, em o
modalidade, modalidade
,, ,
o, o
Buffalo, Buffalo
Bills, Bills
desembarca, desembarcar
no, em o
grande, grande
Super, Super
Bowl, Bowl
,, ,
o, o
cotejo, cotejo
decisivo, decisivo
do, de o
futebol, futebol
americano, americano
., .
Os, o
Bills, Bills
,, ,
porém, porém
,, ,
lutam, lutar
ao, a o
mesmo, mesmo
tempo, tempo
contra, contra
dois, dois
adversários, adversário
., .
Primeiro, primeiro
,, ,
os, o
inimigos, inimigo
de, de
hoje, hoje
,, ,
o, o
poderoso, poderoso
Dallas, Dallas
Cowboys, Cowboys
., .
Depois, depois
,, ,
a, o
crônica, crônico
impossibilidade, impossibilidade
de, de
vencer, vencer
um, um
combate, combate
crucial, crucial
., .
Em, em
1991, 1991
,, ,
os, o
Bills, Bills
perderam, perder
o, o
Super, Super
Bowl, Bowl
para, para
o, o
New, New
York, York
Giants, Giants
,, ,
19, 19
x, x
20, 20
,, ,
nos, em o
derradeiros, derradeiro
segundos, segundo
do, de o
jogo, jogo
., .
Em, em
1992, 1992
,, ,
sucumbiram, sucumbir
ao, a o
Washington, Washington
Redskins, Redskins
,, ,
24, 24
x, x
37, 37
., .
Em, em
1993, 1993
,, ,
para, para
os, o
Cowboys, Cowboys
,, ,
17, 17
x, x
52, 52
., .

, 

O, o
prélio, prélio
acontece, acontecer
no, em o
campo, campo
neutro, neutro
do, de o
Georgia, Georgia
Dome, Dome
de, de
Atlanta, Atlanta
,, ,
no, em o
sul, sul
dos, de o
EUA, EUA
,, ,
um, um
estádio, estádio
coberto, coberto
e, e
climatizado, climatizar
,, ,
de, de
gramado, gramado
artificial, artificial
,, ,
capacidade, capacidade
para, para
71.594, 71.594
espectadores, espectador
., .
A, o
NFL, NFL
,, ,
entidade, entidade
que, que
organiza, organizar
o, o
futebol, futebol
americano, americano
,, ,
reservou, reservar
40, 40
%, %
dos, de o
ingressos, ingresso
à, a o
cidade-sede, cidade-sede
do, de o
confronto, confronto
., .
Os, o
restantes, restante
60, 60
%, %
,, ,
na, em o
teoria, teoria
,, ,
couberam, couber
às, a o
torcidas, torcida
das, de o
equipes, equipe
em, em
batalha, batalha
., .
A, a
cada, cada
um, um
dos, de o
jogadores, jogador
dos, de o
dois, dois
times, time
,, ,
a, a
NFL, NFL
forneceu, fornecer
quatro, quatro
bilhetes, bilhete
., .
Na, em o
média, média
,, ,
as, o
entradas, entrada
valem, valer
US$, US$
150, 150
., .
Todavia, Todavia
,, ,
os, o
cambistas, cambista
revenderão, revender
os, o
acessos, acesso
por, por
cerca, cerca
de, de
quatro, quatro
vezes, vez
mais, mais
., .

, 

A, o
rede, rede
de, de
televisão, televisão
NBC, NBC
,, ,
dona, donar
dos, de o
direitos, direito
de, de
transmissão, transmissão
,, ,
enviará, enviar
as, o
imagens, imagem
do, de o
jogo, jogo
para, para
mais, mais
de, de
50, 50
países, país
., .
Só, só
nos, em o
EUA, EUA
,, ,
perto, perto
de, de
100, 100
milhões, milhão
de, de
pessoas, pessoa
presenciarão, presenciar
o, o
Super, Super
Bowl, Bowl
., .
No, em o
mundo, mundo
inteiro, inteiro
a, o
audiência, audiência
ficará, ficar
em, em
torno, torno
de, de
500, 500
milhões, milhão
., .
Um, um
único, único
comercial, comercial
de, de
30, 30
segundos, segundo
,, ,
no, em o
intervalo, intervalo
da, de o
pugna, pugna
,, ,
custará, custar
mais, mais
de, de
US$, US$
800, 800
mil, mil
., .
Aliás, aliás
,, ,
os, o
filmes, filme
de, de
propaganda, propaganda
funcionarão, funcionar
como, como
tempero, tempero
para, para
um, um
show, show
da, de o
cantora, cantora
Madonna, Madonna
,, ,
a, o
estrela, estrela
do, de o
half-time, half-time
., .
A, o
Bandeirantes, Bandeirantes
exibirá, exibir
o, o
prélio, prélio
ao, a o
vivo, vivo
,, ,
integralmente, integralmente
,, ,
aqui, aqui
no, em o
Brasil, Brasil
,, ,
a, a
partir, partir
das, de o
21h, 21h
,, ,
com, com
direito, direito
a, a
um, um
programa, programa
de, de
espera, espera
com, com
explicações, explicação
didáticas, didático
a, a
respeito, respeito
das, de o
regras, regra
e, e
das, de o
táticas, tática
do, de o
futebol, futebol
americano, americano
., .

, 

Na, em o
temporada, temporada
regular, regular
,, ,
28, 28
agremiações, agremiação
,, ,
subdivididas, subdividir
em, em
duas, dois
sub-ligas, sub-liga
,, ,
a, o
Conferência, Conferência
Nacional, Nacional
e, e
a, o
Conferência, Conferência
Americana, Americana
,, ,
disputaram, disputar
um, um
torneio, torneio
de, de
qualificação, qualificação
que, que
colocou, colocar
12, 12
delas, de elas
nos, em o
playoffs, playoff
., .
No, em o
Super, Super
Bowl, Bowl
,, ,
os, o
Cowboys, Cowboys
defendem, defender
a, o
tradição, tradição
da, de o
Nacional, Nacional
., .
Os, o
Bills, Bills
representam, representar
as, o
cores, cor
da, de o
Americana, Americana
., .
Para, para
chegarem, chegar
à, a o
finalíssima, finalíssima
,, ,
ambas, ambos
as, o
equipes, equipe
,, ,
na, em o
temporada, temporada
regular, regular
,, ,
ganharam, ganhar
12, 12
pugnas, pugna
em, em
16, 16
., .
Então, então
,, ,
nos, em o
playoffs, playoff
,, ,
os, o
Cowboys, Cowboys
eliminaram, eliminar
o, o
Green, Green
Bay, Bay
Packers, Packers
(, (
27, 27
x, x
17, 17
), )
e, e
o, o
San, San
Francisco, Francisco
49ers, 49ers
(, (
38, 38
x, x
21, 21
), )
;, ;
os, o
Bills, Bills
abateram, abater
o, o
Los, Los
Angeles, Angeles
Raiders, Raiders
(, (
29, 29
x, x
23, 23
), )
e, e
o, o
Kansas, Kansas
City, City
Chiefs, Chiefs
(, (
30, 30
x, x
13, 13
), )
., .
No, em o
desafio, desafio
geral, geral
das, de o
sub-ligas, sub-liga
,, ,
a, o
Nacional, Nacional
vence, vencer
por, por
15, 15
títulos, título
a, a
12, 12
., .

, 

Nas, em o
primeiras, primeiro
versões, versão
do, de o
Super, Super
Bowl, Bowl
a, o
Americana, Americana
levou, levar
vantagem, vantagem
., .
Desde, desde
1982, 1982
,, ,
porém, porém
,, ,
arrebatou, arrebatar
um, um
só, só
laurel, laurel
,, ,
em, em
1984, 1984
,, ,
quando, quando
o, o
Los, Los
Angeles, Angeles
Raiders, Raiders
arrasou, arrasar
o, o
Washington, Washington
Redskins, Redskins
,, ,
39, 39
x, x
9, 9
., .
Depois, depois
,, ,
exclusivamente, exclusivamente
aconteceram, acontecer
sucessos, sucesso
de, de
agremiações, agremiação
da, de o
Nacional, Nacional
–, –
em, em
quem, quem
os, o
apostadores, apostador
e, e
os, o
", "
bookmakers, bookmaker
", "
dos, de o
EUA, EUA
mais, mais
uma, uma
vez, vez
depositam, depositar
os, o
seus, seu
cacifes, cacife
., .
Os, o
Cowboys, Cowboys
são, ser
os, o
favoritos, favorito
por, por
dez, dez
pontos, ponto
de, de
diferença, diferença
no, em o
placar, placar
., .
No, em o
comecinho, comecinho
da, de o
temporada, temporada
regular, regular
,, ,
perderam, perder
um, um
duelo, duelo
para, para
os, o
Bills, Bills
,, ,
23, 23
x, x
14, 14
., .

, 

Além, além
de, de
invadirem, invadir
a, o
história, história
,, ,
os, o
jogadores, jogador
da, de o
equipe, equipe
que, que
abocanhar, abocanhar
o, o
Super, Super
Bowl, Bowl
enriquecerão, enriquecer
as, o
suas, seu
contas, conta
bancárias, bancário
com, com
a, o
quantia, quantia
de, de
US$, US$
36, 36
mil, mil
cada, cada
qual, qual
., .
Aos, a o
derrotados, derrotado
