Com, ﻿Com
um, um
show, show
de, de
Dener, Dener
,, ,
o, o
Vasco, Vasco
bateu, bater
o, o
Volta, Volta
Redonda, Redonda
por, por
2, 2
a, a
0, 0
,, ,
ontem, ontem
em, em
São, São
Januário, Januário
,, ,
na, em o
estréia, estréia
do, de o
Campeonato, Campeonato
do, de o
Rio, Rio
., .
Ricardo, Ricardo
Rocha, Rocha
e, e
Luizinho, Luizinho
tiveram, ter
estréias, estréia
discretas, discreto
., .

, 

Aos, a o
9min, 9min
,, ,
Valdir, Valdir
fez, fazer
o, o
primeiro, primeiro
gol, gol
,, ,
num, em um
chute, chute
rasteiro, rasteiro
de, de
fora, fora
da, de o
área, área
., .
Aos, a o
44min, 44min
,, ,
Dener, Dener
venceu, vencer
o, o
zagueiro, zagueiro
Roberto, Roberto
Silva, Silva
,, ,
invadiu, invadir
a, o
área, área
e, e
fez, fazer
2, 2
x, x
0, 0
., .
No, em o
segundo, segundo
tempo, tempo
,, ,
aos, a o
3min, 3min
,, ,
Dener, Dener
acertou, acertar
um, um
chutou, chutar
no, em o
travessão, travessão
., .
A, o
bola, bola
bateu, bater
na, em o
linha, linha
., .

, 

O, o
atacante, atacante
Edmundo, Edmundo
,, ,
do, de o
Palmeiras, Palmeiras
,, ,
acompanhou, acompanhar
a, o
partida, partida
das, de o
sociais, social
., .
Na, em o
tribuna, tribuna
de, de
honra, honra
estava, estar
o, o
presidente, presidente
da, de o
Federação, federação
do, de o
Estado, estado
do, de o
Rio, Rio
,, ,
Eduardo, Eduardo
Viana, Viana
., .
Em, em
Caio, Caio
Martins, Martins
,, ,
o, o
Botafogo, Botafogo
goleou, golear
o, o
América, América
por, por
6, 6
a, a
0, 0
., .
Hoje, hoje
o, o
Flamengo, Flamengo
estréia, estrear
contra, contra
o, o
Bangu, Bangu
., .

, 

NA, NA
TV, tv

, 

Flamengo, Flamengo
x, x
Bangu, Bangu
,, ,
20h40, 20h40
,, ,
na, em o
TV, tv
Bandeirantes, Bandeirantes
., .

, 

