"A, ﻿"A
idéia, idéia
é, ser
que, que
os, o
contratos, contrato
sejam, ser
coletivos, coletivo
., .
Na, em o
assinatura, assinatura
dos, de o
contratos, contrato
,, ,
ambas, ambos
as, o
partes, parte
–, –
jogador, jogador
e, e
clube, clube
–, –
apresentarão, apresentar
suas, seu
propostas, proposta
,, ,
chegando-se, chegando-se
a, a
um, um
acordo, acordo
., .
Nos, em o
contratos, contrato
atuais, atual
o, o
jogador, jogador
chega, chegar
desprotegido, desprotegir
diante, diante
do, de o
clube, clube
", "
,, ,
disse, dizer
o, o
ministro, ministro
,, ,
que, que
acredita, acreditar
poder, poder
diminuir, diminuir
os, o
casos, caso
de, de
injustiça, injustiça
ocorridos, ocorrer
no, em o
futebol, futebol
., .
", "
A, o
história, história
mostra, mostrar
que, que
muitos, muito
jogadores, jogador
passaram, passar
por, por
problemas, problema
em, em
suas, seu
carreiras, carreira
,, ,
devido, devido
a, o
discussão, discussão
de, de
contratos, contrato
", "
,, ,
afirmou, afirmar
Barelli, Barelli
., .

, 

Nesta, em este
conferência, conferência
também, também
deverá, dever
ser, ser
discutido, discutir
o, o
artigo, artigo
26, 26
da, de o
Lei, Lei
Zico, Zico
,, ,
que, que
incumbe, incumbe
o, o
Conselho, Conselho
Superior, Superior
de, de
Desportos, Desportos
a, o
", "
fixar, fixar
o, o
valor, valor
,, ,
critérios, critério
e, e
condições, condição
para, para
pagamento, pagamento
da, de o
importância, importância
denominada, denominar
passe, passe
", "
., .
No, em o
caso, caso
de, de
Dener, Dener
,, ,
o, o
Conselho, Conselho
de, de
Orientação, Orientação
e, e
Fiscalização, Fiscalização
da, de o
Portuguesa, Portuguesa
estipulou, estipular
o, o
passe, passe
em, em
US$, US$
3, 3
milhões, milhão
., .

, 

