Quem, ﻿Quir
quiser, querer
assistir, assistir
a, o
final, final
da, de o
Copa, copa
São, São
Paulo, Paulo
de, de
Juniores, Juniores
,, ,
dia, dia
25, 25
de, de
janeiro, janeiro
no, em o
Pacaembu, Pacaembu
,, ,
terá, ter
que, que
pagar, pagar
ingresso, ingresso
de, de
CR$, CR$
1.000,00, 1.000,00
., .
Além, além
disso, de isso
,, ,
os, o
torcedores, torcedor
que, que
forem, ser
acompanhar, acompanhar
as, o
partidas, partida
do, de o
torneio, torneio
a, a
partir, partir
da, de o
próxima, próximo
fase, fase
,, ,
que, que
tem, ter
início, início
dia, dia
14, 14
,, ,
serão, ser
obrigados, obrigar
a, a
retirar, retirar
convites, convite
em, em
seus, seu
respectivos, respectivo
clubes, clube
., .
Eles, eles
estarão, estar
disponíveis, disponível
a, a
partir, partir
das, de o
12h, 12h
de, de
amanhã, amanhã
,, ,
nas, em o
bilheterias, bilheteria
dos, de o
clubes, clube
classificados, classificar
., .
Torcedores, torcedores
de, de
outros, outro
clubes, clube
ainda, ainda
não, não
tem, ter
local, local
definido, definir
para, para
retirar, retirar
ingressos, ingresso
., .
Cada, cada
rodada, rodada
terá, ter
convites, convite
de, de
uma, um
cor, cor
,, ,
para, para
que, que
não, não
haja, haver
o, o
uso, uso
indevido, indevir
dos, de o
mesmos, mesmo
., .

, 

Essa, esse
foi, ser
a, o
saída, saída
encontrada, encontrar
pelos, por o
organizadores, organizador
da, de o
Copa, copa
para, para
evitar, evitar
mais, mais
confusões, confusão
nos, em o
locais, local
em, em
que, que
o, o
torneio, torneio
está, estar
sendo, ser
disputado, disputar
., .
O, o
esquema, esquema
de, de
convites, convite
seria, ser
uma, um
forma, forma
de, de
controlar, controlar
o, o
número, número
de, de
torcedores, torcedor
que, que
entram, entrar
nos, em o
estádios, estádio
., .
Além, além
disso, de isso
,, ,
foram, ser
estabelecidas, estabelecir
lotações, lotação
máximas, máxima
:, :
44, 44
mil, mil
no, em o
Pacaembu, Pacaembu
,, ,
30, 30
mil, mil
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
20, 20
mil, mil
no, em o
Canindé, Canindé
,, ,
8, 8
mil, mil
no, em o
estádio, estádio
do, de o
Nacional, nacional
e, e
6, 6
mil, mil
na, em o
rua, rua
Javari, Javari
., .

, 

Uma, um
reunião, reunião
no, em o
Comando, Comando
da, de o
Polícia, Polícia
Militar, Militar
,, ,
entre, entre
o, o
comandante, comandante
geral, geral
,, ,
coronel, coronel
João, João
Sidney, Sidney
de, de
Almeida, Almeida
,, ,
e, e
o, o
secretário, secretário
de, de
Esportes, esporte
e, e
Turismo, Turismo
do, de o
Estado, estado
,, ,
Fausto, Fausto
Camucha, Camucha
,, ,
ontem, ontem
,, ,
determinou, determinar
as, o
alterações, alteração
., .

, 

O, o
esquema, esquema
de, de
policiamento, policiamento
também, também
será, ser
reforçado, reforçar
., .
Segundo, segundo
o, o
major, major
Gérson, Gérson
Resende, Resende
,, ,
comandante, comandante
do, de o
2.º, 2.º
Batalhão, Batalhão
de, de
Choque, Choque
da, de o
PM, PM
e, e
responsável, responsável
pela, por o
segurança, segurança
em, em
estádios, estádio
na, em o
cidade, cidade
de, de
São, São
Paulo, Paulo
,, ,
o, o
esquema, esquema
deve, dever
ser, ser
equivalente, equivalente
ao, a o
de, de
jogos, jogo
das, de o
divisões, divisão
principais, principal
., .
", "
E, e
já, já
a, a
partir, partir
de, de
hoje, hoje
estaremos, estarer
com, com
o, o
efetivo, efetivo
completo, completo
no, em o
Pacaembu, Pacaembu
", "
,, ,
prometeu, prometer
., .
Além, além
do, de o
2.º, 2.º
Batalhão, Batalhão
,, ,
serão, ser
acionados, acionar
o, o
policiamento, policiamento
montado, montar
,, ,
policiamento, policiamento
feminino, feminino
,, ,
de, de
trânsito, trânsito
,, ,
rondas, ronr
com, com
motocicletas, motocicleta
e, e
os, o
da, de o
própria, próprio
área, área
do, de o
estádio, estádio
., .

, 

Resende, Resende
afirmou, afirmar
que, que
os, o
tumultos, tumulto
que, que
ocorreram, ocorrer
nesta, em este
edição, edição
da, de o
Copa, Copa
São, São
Paulo, Paulo
aconteceram, acontecer
por, por
", "
terem, ter
sidas, sir
superadas, superar
as, o
espectativas, espectativa
dos, de o
organizadores, organizador
", "
., .
O, o
major, major
disse, dizer
também, também
que, que
vai, ir
fazer, fazer
uma, um
reunião, reunião
amanhã, amanhã
,, ,
às, a o
9h, 9h
,, ,
com, com
os, o
responsáveis, responsável
pela, por o
Copa, copa
e, e
,, ,
possivelmente, possivelmente
,, ,
com, com
a, o
presença, presença
das, de o
torcidas, torcida
organizadas, organizar
dos, de o
grandes, grande
clubes, clube
., .
", "
É, ser
necessário, necessário
ainda, ainda
acertar, acertar
alguns, algum
detalhes, detalhe
para, para
que, que
nada, nada
de, de
ruim, ruim
aconteça, acontecer
a, a
partir, partir
da, de o
próxima, próximo
fase, fase
", "
,, ,
disse, dizer
., .

, 

A, o
Assessoria, Assessoria
de, de
Comunicação, Comunicação
Social, Social
da, de o
PM, PM
divulgou, divulgar
ontem, ontem
que, que
as, o
organizadas, organizada
poderão, poder
solicitar, solicitar
escolta, escolta
de, de
seus, seu
ônibus, ônibus
e, e
que, que
para, para
isso, isso
devem, dever
entrar, entrar
em, em
contato, contato
diretamente, diretamente
com, com
o, o
2.º, 2.º
Batalhão, Batalhão
de, de
Choque, Choque
., .

, 

A, o
Copa, Copa
São, São
Paulo, Paulo
deste, de este
ano, ano
já, já
assistiu, assistir
a, a
dois, dois
tumultos, tumulto
em, em
estádios, estádio
devido, devido
à, a o
superlotação, superlotação
., .
No, em o
último, último
sábado, sábado
,, ,
no, em o
Parque, Parque
São, São
Jorge, Jorge
,, ,
pelo, por o
menos, menos
15, 15
pessoas, pessoa
ficaram, ficar
feridas, ferido
e, e
três, três
torcedores, torcedor
sofreram, sofrer
ataque, ataque
cardíaco, cardíaco
., .
Foram, ser
pisoteados, pisotear
durante, durante
tumulto, tumulto
na, em o
entrada, entrada
do, de o
estádio, estádio
., .
As, o
partidas, partida
do, de o
Corinthians, Corinthians
foram, ser
transferidas, transferir
para, para
o, o
Pacaembu, Pacaembu
., .
Mas, mas
,, ,
anteontem, anteontem
,, ,
outro, outro
tumulto, tumulto
ocorreu, ocorrer
na, em o
rua, rua
Javari, Javari
., .
Um, um
número, número
de, de
torcedores, torcedor
muito, muito
superior, alto
ao, a o
da, de o
lotação, lotação
do, de o
estádio, estádio
e, e
a, o
falta, falta
de, de
catracas, catraca
causou, causar
revolta, revolta
., .
Resultado, resultado
:, :
feridos, ferir
e, e
ônibus, ônibus
depredados, depredar
., .

, 

No, em o
Parque, Parque
Antarctica, Antarctica
,, ,
também, também
anteontem, anteontem
,, ,
a, o
torcida, torcida
promoveu, promover
arrastões, arrastão
em, em
cima, cima
dos, de o
sorveteiros, sorveteiro
., .
O, o
contingente, contingente
policial, policial
era, ser
ínfimo, ínfimo
em, em
relação, relação
ao, a o
número, número
de, de
torcedores, torcedor
., .
A, o
mesma, mesmo
coisa, coisa
aconteceu, acontecer
no, em o
Pacaembu, Pacaembu
,, ,
desta, de $2e
vez, vez
,, ,
promovida, promovir
pela, por o
torcida, torcido
corintiana, corintiano
., .
Nas, em o
proximidades, proximidade
do, de o
Parque, Parque
Antarctica, Antarctica
,, ,
houve, haver
confronto, confronto
entre, entre
torcedores, torcedor
dos, de o
dois, dois
clubes, clube
,, ,
que, que
deixou, deixar
duas, dois
pessoas, pessoa
feridas, ferir
gravemente, gravemente
com, com
queimaduras, queimadura
., .
O, o
grupo, grupo
de, de
palmeirenses, palmeirense
explodiu, explodir
um, um
rojão, rojão
dentro, dentro
de, de
um, um
ônibus, ônibus
., .

, 

