Francisco, ﻿Francisco
Maturana, Maturana
trabalhava, trabalhar
como, como
dentista, dentista
do, de o
Nacional, Nacional
de, de
Medellin, Medellin
,, ,
em, em
1986, 1986
,, ,
quando, quando
ele, ele
e, e
o, o
então, então
mister, mister
do, de o
clube, clube
,, ,
o, o
ex-craque, ex-craque
uruguaio, uruguaio
Luís, Luís
Cubilla, Cubilla
,, ,
se, se
tornaram, tornar
amigos, amigo
., .
Além, além
de, de
cuidar, cuidar
das, de o
bocas, boca
do, de o
elenco, elenco
do, de o
clube, clube
mais, mais
poderoso, poderoso
da, de o
Colômbia, Colômbia
,, ,
Maturana, Maturana
também, também
interferia, interfer
na, em o
escalação, escalação
e, e
no, em o
estilo, estilo
–, –
retrancado, retrancar
–, –
de, de
atuar, atuar
do, de o
time, time
de, de
Cubilla, Cubilla
., .

, 

Quando, quando
este, este
saiu, sair
,, ,
em, em
89, 89
,, ,
Maturana, Maturana
virou, virar
treinador, treinador
., .
Fez, Fez
sucesso, sucesso
no, em o
Nacional, nacional
e, e
logo, logo
ganhou, ganhar
o, o
comando, comando
da, de o
seleção, seleção
., .
Na, em o
Copa, copa
da, de o
Itália, Itália
,, ,
recebeu, receber
convite, convite
para, para
dirigir, dirigir
o, o
Valladolid, Valladolid
da, de o
Espanha, Espanha
., .
Um, um
seu, seu
auxiliar, auxiliar
,, ,
Luís, Luís
Augusto, Augusto
García, García
,, ,
assumiu, assumir
a, o
seleção, seleção
., .
Não, não
deu, dar
certo, certo
., .
García, García
foi, ir
até, até
acusado, acusar
de, de
ligações, ligação
com, com
o, o
cartel, cartel
da, de o
droga, droga
., .

, 

Maturana, Maturana
voltou, voltar
ao, a o
país, país
nas, em o
vésperas, véspera
da, de o
Copa, Copa
América, América
de, de
93, 93
., .
Trouxe, Trouxe
na, em o
bagagem, bagagem
o, o
esquema, esquema
do, de o
Milan, Milan
de, de
Arrigo, Arrigo
Sacchi, Sacchi
,, ,
uma, um
espécie, espécie
de, de
3-5-2, 3-5-2
com, com
marcação, marcação
por, por
zona, zona
na, em o
defesa, defesa
e, e
pressão, pressão
no, em o
meio-campo, meio-campo
do, de o
inimigo, inimigo
., .
Além, além
disso, de isso
,, ,
passou, passar
a, a
montar, montar
o, o
seu, seu
time, time
de, de
acordo, acordo
com, com
o, o
adversário, adversário
., .
Hoje, hoje
,, ,
no, em o
seu, seu
elenco, elenco
,, ,
diz, dizer
,, ,
só, só
dois, dois
são, ser
irremovíveis, irremovível
,, ,
o, o
líbero, líbero
Perea, Perea
e, e
o, o
capitão, capitão
Valderrama.(SL, Valderrama.(SL
), )

, 

