Biomecânica, ﻿Biomecânico
do, de o
movimento, movimento
., .
Esta, este
é, ser
a, o
mais, mais
recente, recente
arma, arma
high-tech, high-tech
do, de o
São, São
Paulo, Paulo
na, em o
corrida, corrida
tecnológica, tecnológico
do, de o
futebol, futebol
., .
Corrida, Corrida
que, que
o, o
clube, clube
lidera, liderar
com, com
folga, folga
absoluta, absoluto
., .
A, o
novidade, novidade
consiste, consistir
,, ,
em, em
termos, termos
simples, simples
,, ,
no, em o
estudo, estudo
dos, de o
movimentos, movimento
do, de o
atleta, atleta
na, em o
tela, tela
do, de o
computador, computador
., .
O, o
passo, passo
seguinte, seguinte
é, ser
procurar, procurar
alterar, alterar
os, o
treinamentos, treinamento
do, de o
jogador, jogador
de, de
acordo, acordo
com, com
os, o
resultados, resultado
desse, de esse
estudo, estudo
para, para
,, ,
por, por
exemplo, exemplo
,, ,
corrigir, corrigir
uma, um
falha, falha
técnica, técnico
., .

, 

O, o
sistema, sistema
é, ser
utilizado, utilizar
por, por
atletas, atleta
olímpicos, olímpico
de, de
ponta, ponta
., .
É, ser
de, de
uso, uso
tão, tão
restrito, restrito
que, que
pode, poder
ser, ser
considerado, considerar
um, um
luxo, luxo
do, de o
São, São
Paulo, Paulo
., .
Os, o
primeiros, primeiro
testes, teste
de, de
campo, campo
estão, estar
marcados, marcado
para, para
fevereiro, fevereiro
,, ,
mas, mas
nem, nem
o, o
clube, clube
,, ,
nem, nem
os, o
cientistas, cientista
da, de o
Unicamp, Unicamp
envolvidos, envolver
no, em o
projeto, projeto
,, ,
têm, ter
certeza, certeza
das, de o
variáveis, variável
a, a
serem, ser
observadas, observar
., .

, 

O, o
preparador, preparador
físico, físico
do, de o
São, São
Paulo, Paulo
,, ,
Moraci, Moraci
Sant'Anna, Sant'Anna
,, ,
afirmou, afirmar
que, que
até, até
o, o
software, software
,, ,
que, que
está, estar
sendo, ser
desenvolvido, desenvolver
nos, em o
EUA, EUA
exclusivamente, exclusivamente
para, para
o, o
projeto, projeto
,, ,
ainda, ainda
não, não
teve, ter
o, o
uso, uso
autorizado, autorizar
pelas, por o
entidades, entidade
competentes, competente
daquele, de aquele
país, país
., .
", "
O, o
projeto, projeto
está, estar
avançando, avançar
e, e
estamos, estar
só, só
a, o
espera, espera
da, de o
liberação, liberação
do, de o
programa, programa
para, para
começar, começar
", "
,, ,
declarou, declarar
., .

, 

Outra, outro
novidade, novidade
anunciada, anunciar
por, por
Moraci, moraci
é, ser
a, o
aquisição, aquisição
de, de
um, um
fax-modem, fax-modem
para, para
integrar, integrar
o, o
departamento, departamento
de, de
fisiologia, fisiologia
do, de o
São, São
Paulo, Paulo
a, a
um, um
banco, banco
de, de
dados, dado
da, de o
Organização, Organização
Mundial, Mundial
de, de
Medicina, Medicina
Esportiva, Esportiva
., .
Os, o
responsáveis, responsável
pela, por o
área, área
no, em o
clube, clube
terão, ter
acesso, acesso
às, a o
últimas, último
novidades, novidade
do, de o
assunto, assunto
pelo, por o
computador, computador
., .

, 

Na, em o
última, último
semana, semana
,, ,
a, o
equipe, equipe
de, de
Moraci, Moraci
iniciou, iniciar
,, ,
efetivamente, efetivamente
,, ,
o, o
acompanhamento, acompanhamento
de, de
mais, mais
um, um
parâmetro, parâmetro
na, em o
avaliação, avaliação
física, físico
de, de
seus, seu
atletas, atleta
., .
Através, através
de, de
sensores, sensor
instalados, instalar
no, em o
teto, teto
do, de o
vestiário, vestiário
do, de o
CT, CT
,, ,
está, estar
sendo, ser
mensurada, mensurar
a, o
impulsão, impulsão
dos, de o
jogadores, jogador
., .
O, o
sistema, sistema
já, já
foi, ser
aplicado, aplicar
na, em o
seleção, seleção
brasileira, brasileiro
juvenil, juvenil
de, de
vôlei, vôlei
feminino, feminino
., .
(, (
JHM, JHM
e, e
MD, MD
), )

, 

