Há, ﻿Há
quem, quem
reclame, reclame
que, que
eu, eu
exagero, exagerar
nessas, em esse
incursões, incursão
ao, a o
passado, passado
,, ,
muitas, muitas
vezes, vez
imprecisas, impreciso
,, ,
outras, outro
oníricas, onírico
., .
Mas, mas
é, ser
do, de o
velho, velho
conselheiro, conselheiro
o, o
axioma, axioma
de, de
que, que
,, ,
conhecendo-se, conhecer se
o, o
passado, passado
,, ,
entende-se, entende-se
melhor, melhor
o, o
presente, presente
e, e
pode-se, poder se
arriscar, arriscar
uma, um
previsão, previsão
do, de o
futuro, futuro
., .
Além, além
do, de o
mais, mais
,, ,
o, o
futebol, futebol
tem, ter
um, um
forte, forte
traço, traço
conservador, conservador
., .
Cultua, cultua
mitos, mito
,, ,
coleciona, colecionar
relíquias, relíquia
e, e
reverencia, reverencia
sortilégios, sortilégio
., .

, 

Tudo, tudo
isso, isso
pra, pra
dizer, dizer
que, que
São, São
Paulo, Paulo
e, e
Santos, Santos
,, ,
protagonistas, protagonista
do, de o
clássico, clássico
desta, de este
tarde, tarde
,, ,
cultivam, cultir
uma, um
antiga, antigo
magia, magia
às, a o
avessas, avessas
:, :
sempre, sempre
quando, quando
um, um
está, estar
na, em o
crista, crista
da, de o
onda, onda
,, ,
o, o
outro, outro
surge, surgir
de, de
tocaia, tocaia
para, para
dar-lhe, dar ele
uma, um
rasteira, rasteira
., .
Era, ser
assim, assim
nos, em o
tempos, tempo
em, em
que, que
o, o
Santos, Santos
não, não
passava, passar
de, de
mero, mero
coadjuvante, coadjuvante
do, de o
campeonato, campeonato
,, ,
tempos, tempo
do, de o
célebre, célebre
Alçapão, Alçapão
da, de o
Vila, Vila
., .
Foi, ser
assim, assim
na, em o
era, ser
Pelé, Pelé
(, (
quem, quem
se, se
lembra, lembrar
da, de o
tarde, tarde
de, de
domingo, domingo
em, em
que, que
o, o
tricolor, tricolor
de, de
Benê, Benê
,, ,
Prado, Prado
e, e
Pagão, Pagão
botou, botar
o, o
Peixe, Peixe
pra, pra
correr, correr
de, de
campo, campo
?, ?
), )
., .
E, e
tem, ter
sido, ser
assim, assim
neste, em este
início, início
de, de
década, década
dominada, dominar
pelo, por o
tricolor, tricolor
bicampeão, bicampeão
do, de o
mundo, mundo
que, que
,, ,
a, o
cada, cada
Sansão, Sansão
,, ,
pena, pena
feito, fazer
condenado, condenar
,, ,
quando, quando
não, não
leva, levar
uma, um
tunda, tunda
., .

, 

Portanto, portanto
,, ,
apesar, apesar
de, de
o, o
São, São
Paulo, Paulo
ter, ter
disparado, disparar
no, em o
torneio, torneio
,, ,
é, ser
bom, bom
se, se
precaver, precaver
., .
Em, em
primeiro, primeiro
lugar, lugar
,, ,
porque, porque
ambos, ambos
estão, estar
arregimentando, arregimentar
seus, seu
respectivos, respectivo
times, time
já, já
com, com
a, o
bola, bola
rolando, rolar
., .
Nenhum, nenhum
teve, ter
tempo, tempo
de, de
escalar, escalar
todos, todo
os, o
seus, seu
titulares, titular
num, em um
treino, treino
sequer, sequer
., .
O, o
Santos, Santos
nem, nem
mesmo, mesmo
conseguira, conseguir
,, ,
na, em o
