Por, ﻿Por
um, um
momento, momento
,, ,
um, um
breve, breve
momento, momento
,, ,
tive, ter
pena, pena
de, de
Eduardo, Eduardo
Viana, Viana
,, ,
o, o
", "
Caixa, Caixa
d'Agua, d'Agua
", "
,, ,
em, em
sua, seu
patética, patético
tentativa, tentativa
de, de
convencer, convencer
os, o
deputados, deputado
fluminenses, fluminense
de, de
que, que
era, ser
vítima, vítima
,, ,
e, e
não, não
algoz, algoz
,, ,
do, de o
agonizante, agonizante
futebol, futebol
carioca, carioca
., .
Foi, foi
na, em o
última, último
quarta-feira, quarta-feira
:, :
suando, suar
muito, muito
,, ,
lábios, lábio
trêmulos, trêmulo
,, ,
olhos, olho
aflitos, aflito
,, ,
Viana, Viana
percorria, percorrer
os, o
corredores, corredor
da, de o
Assembléia, Assembléia
Legislativa, Legislativa
suplicando, suplicar
que, que
alguém, alguém
lhe, ele
estendesse, estender
a, o
mão, mão
., .
Enquanto, enquanto
isso, isso
,, ,
lá, lá
dentro, dentro
,, ,
no, em o
plenário, plenário
,, ,
pairava, pairar
sobre, sobre
a, o
mesa, mesa
do, de o
presidente, presidente
o, o
pedido, pedido
de, de
uma, um
CPI, CPI
que, que
poderia, poder
destruí-lo, destruí-lo
., .
Ninguém, ninguém
merece, merecer
sofrer, sofrer
tanto, tanto
,, ,
pensei, pensar
., .
Nem, nem
o, o
presidente, presidente
da, de o
Federação, Federação
de, de
Futebol, Futebol
do, de o
Rio, Rio
de, de
Janeiro, Janeiro
., .

, 

Mas, mas
foi, ser
mesmo, mesmo
um, um
breve, breve
momento, momento
., .
Logo, logo
me, eu
lembrei, lembrar
que, que
Eduardo, Eduardo
Viana, Viana
estava, estar
menos, menos
só, só
do, de o
que, que
parecia, parecer
., .
Deputados, deputado
do, de o
interior, interior
,, ,
que, que
lhe, ele
deviam, dever
sabe-se, saber se
lá, lá
que, que
tipo, tipo
de, de
favor, favor
,, ,
não, não
tardariam, tardar
em, em
correr, correr
em, em
seu, seu
socorro, socorro
,, ,
o, o
que, que
de, de
