"Está, ﻿"Estar
mal, mal
el, el
Brasil, Brasil
,, ,
no, em o
?, ?
", "
., .
São, ser
seis, seis
os, o
funcionários, funcionário
hispânicos, hispânico
do, de o
prédio, prédio
número, número
45, 45
na, em o
rua, rua
60, 60
,, ,
Oeste, Oeste
,, ,
em, em
Nova, Nova
York, York
., .
Terrível, terrível
encará-los, encará-los
,, ,
e, e
,, ,
pior, mau
ainda, ainda
,, ,
ouvi-los, ouvi-los
,, ,
durante, durante
a, o
agonia, agonia
das, de o
eliminatórias, eliminatória
para, para
a, o
Copa, Copa
do, de o
Mundo, Mundo
., .
Agonia, Agonia
alimentada, alimentar
pela, por o
distância, distância
., .
E, e
elevada, elevar
à, a o
condição, condição
de, de
tortura, tortura
nas, em o
horas, hora
seguinte, seguinte
à, a o
inominável, inominável
derrota, derrota
diante, diante
da, de o
Bolívia, Bolívia
., .
Gilberto, Gilberto
Kaplan, Kaplan
,, ,
de, de
passagem, passagem
pela, por o
cidade, cidade
,, ,
adoeceu, adoecer
subitamente, subitamente
., .
Monossilábicas, Monossilábicas
24, 24
horas, hora
de, de
cama, cama
., .
Renato, Renato
Shullman, Shullman
não, não
dormiu, dormir
., .
Homem, Homem
controlado, controlar
,, ,
quase, quase
germânico, germânico
,, ,
disse, dizer
suas, seu
primeiras, primeiro
palavras, palavra
na, em o
noite, noite
seguinte, seguinte
:, :
", "
Tem, ter
um, um
boliviano, boliviano
lá, lá
no, em o
trabalho, trabalho
que, que
eu, eu
vou, ir
acabar, acabar
esganando, esganar
", "
., .

, 

Dias, dia
de, de
amuado, amuar
silêncio, silêncio
aqueles, aquele
., .
Brasileiros, Brasileiros
se, se
esgueirando, esgueirar
pelas, por o
ruas, rua
à, a o
exceção, exceção
,, ,
é, ser
claro, claro
,, ,
daqueles, de aquele
que, que
fazem, fazer
de, de
conta, conta
não, não
dar, dar
pelota, pelota
para, para
a, o
bola, bola
., .
No, em o
canal, canal
41, 41
–, –
Univisión, Univisión
–, –
a, o
análise, análise
repetida, repeter
:, :
", "
Ridículo, Ridículo
el, el
Brasil, Brasil
", "
., .
Até, até
o, o
dia, dia
em, em
que, que
chegou, chegar
Romário, Romário
., .
No, em o
porão, porão
de, de
uma, um
churrascaria, churrascaria
verde-amarela, verde-amarela
em, em
Newark, Newark
,, ,
a, a
40, 40
minutos, minuto
de, de
carro, carro
ou, ou
trem, tr
de, de
Nova, Nova
York, York
,, ,
300, 300
torcedores, torcedor
amontoados, amontoar
., .
Sem, sem
janelas, janela
,, ,
com, com
muito, muito
cigarro, cigarro
,, ,
e, e
o, o
coro, coro
geraldino, geraldino
", "
um, um
,, ,
dois, dois
,, ,
três, três
,, ,
quatro, quatro
,, ,
cinco, cinco
,, ,
mil, mil
,, ,
eu, eu
quero, querer
..., ...
", "
a, a
cada, cada
aparição, aparição
da, de o
parelha, parelha
técnica, técnico
–, –
Parreira, Parreira
e, e
Zagalo, Zagalo
–, –
no, em o
telão, telão
., .

, 

Naquela, em aquele
tarde, tarde
,, ,
o, o
palavrão, palavrão
era, ser
alegre, alegre
., .
O, o
coro, coro
,, ,
repetido, repetir
por, por
todo, todo
o, o
jogo, jogo
,, ,
 ,  
matava, matar
a, o
saudade, saudade
do, de o
Brasil, Brasil
., .
Romário, Romário
em, em
campo, campo
era, ser
a, o
negação, negação
da, de o
tática, tática
absolutista, absolutista
., .
Era, ser
a, o
imposição, imposição
das, de o
circunstâncias, circunstância
,, ,
e, e
da, de o
torcida, torcida
,, ,
sobre, sobre
o, o
Brasil, Brasil
burro, burro
,, ,
safado, safar
., .
O, o
Brasil, Brasil
da, de o
bola, bola
contra, contra
o, o
Brasil, Brasil
das, de o
bolas, bola
e, e
boladas, bolar
., .
Jogo, jogo
duríssimo, duríssimo
e, e
que, que
ainda, ainda
vai, ir
longe, longe
., .
Na, em o
virada, virada
do, de o
ano, ano
,, ,
vendo, ver
pela, por o
primeira, primeira
vez, vez
nas, em o
ruas, rua
a, a
São, São
Silvestre, Silvestre
,, ,
diante, diante
de, de
um, um
corredor, corredor
embandeirado, embandeirar
,, ,
pensei, pensar
em, em
tudo, tudo
isto, isto
., .
Os, o
costumes, costume
,, ,
fatos, fato
e, e
personagens, personagem
ao, a o
longo, longo
de, de
15, 15
km, km
de, de
corrida, corrida
tambem, tambem
se, se
se, se
prestam, prestar
a, a
alegorias, alegoria
., .

, 

A, o
TV, tv
Globo, globo
é, ser
a, o
dona, dona
da, de o
bola, bola
,, ,
digo, dizer
,, ,
da, de o
corrida, corrida
., .
O, o
etíope, etíope
Fita, Fita
Bayesa, Bayesa
,, ,
para, para
se, se
guiar, guiar
,, ,
grudou, grudar
os, o
olhos, olho
no, em o
logotipo, logotipo
do, de o
utilitário, utilitário
global, global
,, ,
que, que
à, a o
frente, frente
comandava, comandar
o, o
espetáculo, espetáculo
,, ,
e, e
mandou, mandar
ver, ver
., .
Errou, errar
a, o
entrada, entrada
,, ,
não, não
achou, achar
a, o
saída, saída
a, a
tempo, tempo
., .
Perdeu, Perdeu
., .
O, o
utilitário, utilitário
global, global
seguiu, seguir
seu, seu
caminho, caminho
., .
A, o
largada, largada
tambem, tambem
é, ser
algo, algo
incompreensível, incompreensível
., .
Concentração, concentração
., .
Esta, este
é, ser
a, o
palavra-chave, palavra-chave
para, para
todos, todo
os, o
corredores, corredor
e, e
técnicos, técnico
., .
Difícil, difícil
a, o
concentração, concentração
., .

, 

", "
O, o
meu, meu
chamego, chamego
é, ser
meu, meu
xodó, xodó
", "
,, ,
Raça, Raça
Negra, Negra
,, ,
Só, só
Prá, prá
Contrariar, Contrariar
,, ,
o, o
pagode, pagode
imperou, imperar
por, por
todo, todo
o, o
percurso, percurso
da, de o
largada, largada
na, em o
tarde, tarde
do, de o
dia, dia
31, 31
., .
E, e
a, o
potência, potência
das, de o
caixas, caixa
que, que
despejaram, despejar
som, som
ao, a o
pé-do-ouvido, pé-do-ouvido
dos, de o
atletas, atleta
foi, ser
coisa, coisa
de, de
humilhar, humilhar
trio, trio
elétrico, elétrico
., .
Fora, fora
da, de o
", "
rave"-Paulista, rave"-Paulista
,, ,
as, o
coisas, coisa
não, não
correram, correr
melhores, bom
para, para
os, o
concentrados, concentrado
,, ,
com, com
três, três
helicópetros, helicópetro
zunindo, zunir
sobre, sobre
suas, seu
cabeças, cabeça
., .

, 

Nas, em o
calçadas, calçado
e, e
ruas, rua
,, ,
como, como
nas, em o
arquibancadas, arquibancada
,, ,
os, o
anônimos, anônimo
fazem, fazer
a, o
festa, festa
., .
Trajados, Trajados
a, a
rigor, rigor
dois, dois
garçons, garçon
,, ,
bandejas, bandeja
e, e
garrafas, garrafa
nos, em o
braços, braço
,, ,
correm, correr
uma, um
prova, prova
à, a o
parte, parte
dentro, dentro
da, de o
São, São
Silvestre, Silvestre
., .
Sapato, sapato
,, ,
terno, terno
e, e
camisas, camisa
brancas, branco
,, ,
gravata-borboleta, gravata-borboleta
vermelha, vermelho
,, ,
um, um
cidadão, cidadão
arranca, arrancar
aplausos, aplauso
entusiasmados, entusiasmar
., .
Vaias, vaias
,, ,
sabe-se, saber se
lá, lá
por, por
quê, quê
,, ,
a, a
um, um
Tartaruga, Tartaruga
Ninja, Ninja
perfeito, perfeito
,, ,
com, com
direito, direito
a, a
espadas, espada
e, e
demais, demais
adereços, adereço
., .

, 

Na, em o
subida, subida
da, de o
av., av.
Brigadeiro, Brigadeiro
Luiz, Luiz
Antônio, Antônio
,, ,
vaia, vaia
absoluta, absoluto
., .
Camisa, Camisa
verde, verde
e, e
amarela, amarela
,, ,
máscara, máscara
do, de o
Parreira, Parreira
no, em o
rosto, rosto
,, ,
o, o
masoquista, masoquista
vai, ir
guardando, guardar
o, o
seu, seu
quinhão, quinhão
., .
"Burro, "Burro
,, ,
burro, burro
", "
,, ,
berra, berrar
o, o
coro, coro
., .
Ele, ele
passa, passar
e, e
surge, surgir
o, o
delírio, delírio
nas, em o
calçadas, calçado
., .
Baixinho, Baixinho
,, ,
número, número
9, 9
às, a o
costas, costa
,, ,
o, o
mascarado, mascarado
de, de
Romário, Romário
puxa, puxa
o, o
gritos, grito
de, de
", "
Brasil, Brasil
,, ,
Brasil, Brasil
", "
., .

, 

E, e
é, ser
enorme, enorme
o, o
silêncio, silêncio
quando, quando
o, o
velho, velho
corredor, corredor
passa, passar
carregando, carregar
a, o
bandeira, bandeira
do, de o
Brasil, Brasil
., .
Nenhum, nenhum
aplauso, aplauso
., .
Nenhum, nenhum
grito, grito
., .
Como, como
as, o
arquibancadas, arquibancada
naqueles, em aquele
milésimos, milésimo
de, de
segundo, segundo
que, que
antecedem, anteceder
o, o
pênalti, pênalti
decisivo, decisivo
., .
Parreira, Parreira
e, e
Romário, Romário
lembram, lembrar
a, o
festa, festa
que, que
veio, vir
,, ,
e, e
poderá, poder
,, ,
quem, quem
sabe, saber
,, ,
vir, vir
de, de
novo, novo
com, com
a, o
bola, bola
neste, em este
1994, 1994
., .
A, o
bandeira, bandeira
,, ,
piegas, piego
ou, ou
não, não
,, ,
lembra, lembrar
tudo, tudo
., .
O, o
dia, dia
e, e
o, o
ano, ano
seguinte, seguinte
., .
Ninguém, ninguém
vaia, vaia
,, ,
ninguém, ninguém
aplaude, aplaude
., .
Silêncio, silêncio
quando, quando
o, o
velho, velho
embandeirado, embandeirar
passa, passar
em, em
frente, frente
ao, a o
Teatro, Teatro
Bandeirantes, Bandeirantes
,, ,
com, com
", "
Porca, Porca
Miséria, Miséria
", "
em, em
cartaz, cartaz
e, e
,, ,
num, em um
passo, passo
lento, lento
e, e
arrastado, arrastar
vai, ir
subindo, subir
a, o
ladeira, ladeira
.., ..

, 

