Atritos, ﻿Atrito
com, com
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
afastaram, afastar
temporariamente, temporariamente
o, o
goleiro, goleiro
Velloso, Velloso
da, de o
equipe, equipe
., .
O, o
jogador, jogador
,, ,
além, além
de, de
não, não
conseguir, conseguir
renovar, renovar
seu, seu
contrato, contrato
,, ,
teve, ter
desentendimentos, desentendimento
com, com
o, o
vice-presidente, vice-presidente
Serafim, Serafim
Del, Del
Grande, Grande
., .
", "
Ele, ele
disse, dizer
que, que
tinha, ter
uma, um
proposta, proposta
quatro, quatro
vezes, vez
maior, grande
do, de o
Atlético-MG, Atlético-MG
., .
Então, então
encerramos, encerramos
as, o
negociações, negociação
", "
,, ,
afirmou, afirmar
Del, Del
Grande, Grande
., .
Veloso, Veloso
afirma, afirmar
que, que
ganharia, ganhar
", "
menos, menos
que, que
no, em o
Santos, Santos
", "
,, ,
onde, onde
atuou, atuar
por, por
empréstimo, empréstimo
,, ,
ano, ano
passado, passado
., .

, 

As, o
duas, dois
partes, parte
envolvidas, envolver
conversaram, conversar
ontem, ontem
à, a o
tarde, tarde
., .
", "
Ninguém, ninguém
nos, nós
procurou, procurar
querendo, querer
contratá-lo, contratar ele
., .
Os, o
dirigentes, dirigente
do, de o
Atlético, Atlético
negaram, negar
o, o
interesse, interesse
., .
Alguém, Alguém
está, estar
mentindo, mentir
", "
,, ,
disse, dizer
Del, Del
Grande, Grande
,, ,
que, que
disse, dizer
não, não
pretender, pretender
mais, mais
emprestar, emprestar
o, o
jogador, jogador
., .
", "
Se, se
houver, haver
negócio, negócio
,, ,
será, ser
em, em
definitivo, definitivo
", "
,, ,
concluiu, concluir
., .

, 

Além, além
de, de
aceitar, aceitar
a, o
proposta, proposta
do, de o
Palmeiras, Palmeiras
,, ,
Velloso, Velloso
ainda, ainda
terá, ter
que, que
amargar, amargar
a, o
reserva, reserva
., .
O, o
titular, titular
Sérgio, Sérgio
,, ,
preferido, preferer
do, de o
técnico, técnico
Wanderley, Wanderley
Luxemburgo, Luxemburgo
,, ,
assinou, assinar
contrato, contrato
anteontem, anteontem
,, ,
antes, antes
do, de o
jogo, jogo
contra, contra
a, o
Ferroviária, Ferroviária
., .

, 

Outros, outro
jogadores, jogador
discutem, discutir
suas, seu
renovações, renovação
., .
O, o
caso, caso
de, de
Edílson, Edílson
é, ser
o, o
mais, mais
complicado, complicado
., .
O, o
jogador, jogador
disse, dizer
que, que
está, estar
fazendo, fazer
seu, seu
pedido, pedido
com, com
base, base
no, em o
aumento, aumento
do, de o
valor, valor
de, de
seu, seu
passe, passe
., .
", "
Fui, ser
contratado, contratar
por, por
US$, US$
1,2, 1,2
milhão, milhão
e, e
hoje, hoje
o, o
clube, clube
está, estar
pedindo, pedir
US$, US$
3, 3
milhões, milhão
", "
,, ,
disse, dizer
., .
Antônio, Antônio
Carlos, Carlos
deve, dever
renovar, renovar
até, até
sábado, sábado
., .
Já, já
Edmundo, edmundo
começou, começar
as, o
negociações, negociação
ontem, ontem
., .

, 

