Foi, ﻿Foi
preciso, preciso
um, um
", "
exílio, exílio
", "
na, em o
América, América
aos, a o
40, 40
anos, ano
para, para
que, que
Nigel, Nigel
Mansell, Mansell
fosse, ser
reconhecido, reconhecer
pelo, por o
mundo, mundo
., .
O, o
piloto, piloto
inglês, inglês
,, ,
que, que
no, em o
final, final
de, de
92, 92
anunciou, anunciar
que, que
estava, estar
deixando, deixar
a, o
Fórmula, Fórmula
1, 1
,, ,
conquistou, conquistar
o, o
planeta, planeta
com, com
o, o
título, título
de, de
93, 93
na, em o
Indy, Indy
., .
Desprezado, Desprezar
pela, por o
Williams, Williams
,, ,
que, que
o, ele
dispensou, dispensar
apesar, apesar
do, de o
título, título
mundial, mundial
,, ,
Mansell, Mansell
foi, ser
correr, correr
na, em o
prima, prima
pobre, pobre
dos, de o
EUA, EUA
., .
Ganhou, Ganhou
o, o
campeonato, campeonato
e, e
todos, todo
os, o
prêmios, prêmio
importantes, importante
do, de o
automobilismo, automobilismo
mundial, mundial
na, em o
temporada, temporada
., .

, 

Mansell, Mansell
foi, ser
escolhido, escolher
pelos, por o
jornalistas, jornalista
norte-americanos, norte-americano
especializados, especializados
como, como
melhor, bom
piloto, piloto
do, de o
país, país
no, em o
ano, ano
., .
É, ser
uma, um
façanha, façanha
por, por
dois, dois
motivos, motivo
:, :
primeiro, primeiro
,, ,
Nigel, Nigel
é, ser
britânico, britânico
;, ;
segundo, segundo
,, ,
nessas, em esse
eleições, eleição
geralmente, geralmente
o, o
vencedor, vencedor
sai, sair
da, de o
categoria, categoria
mais, mais
popular, popular
do, de o
país, país
,, ,
a, a
Nascar, Nascar
–, –
o, o
Stock, Stock
Car, Car
dos, de o
EUA, EUA
., .

, 

O, o
que, que
levou, levar
a, o
imprensa, imprensa
a, a
escolher, escolher
o, o
", "
Red, Red
Five, Five
", "
foram, ser
suas, seu
atuações, atuação
em, em
circuitos, circuito
ovais, oval
., .
No, em o
início, início
do, de o
ano, ano
,, ,
apostava-se, apostava-se
,, ,
com, com
grande, grande
probabilidade, probabilidade
de, de
ganhar, ganhar
algum, algum
dinheiro, dinheiro
,, ,
que, que
Mansell, Mansell
se, se
arrebentaria, arrebentar
no, em o
primeiro, primeiro
muro, muro
que, que
encontrasse, encontrar
pela, por o
frente, frente
., .

, 

Em, em
parte, parte
quem, quem
acreditou, acreditar
em, em
tal, tal
hipótese, hipótese
acertou, acertar
., .
Na, em o
segunda, segundo
prova, prova
do, de o
ano, ano
,, ,
no, em o
oval, oval
curto, curto
de, de
Phoenix, Phoenix
,, ,
Nigel, Nigel
se, se
esborrachou, esborrachar
num, em um
treino, treino
e, e
nem, nem
pôde, poder
correr, correr
., .
Para, para
os, o
veteranos, veterano
da, de o
Indy, Indy
,, ,
nada, nada
mais, mais
conveniente, conveniente
., .
Estava, estar
provado, provado
que, que
a, o
vitória, vitória
na, em o
abertura, abertura
do, de o
campeonato, campeonato
,, ,
em, em
Surfer, Surfer
's, 's
Paradise, Paradise
,, ,
tinha, ter
sido, ser
um, um
acaso, acaso
e, e
que, que
na, em o
hora, hora
do, de o
vamos, ir
ver, ver
,, ,
nos, em o
ovais, oval
,, ,
o, o
inglês, inglês
baixaria, baixar
a, a
crista, crista
., .

, 

Não, não
foi, ser
o, o
que, que
aconteceu, acontecer
., .
Depois, depois
do, de o
acidente, acidente
Mansell, Mansell
se, se
dedicou, dedicar
com, com
afinco, afinco
aos, a o
treinos, treino
em, em
ovais, oval
e, e
acabou, acabar
ganhando, ganhar
quatro, quatro
provas, prova
nesse, em esse
tipo, tipo
de, de
circuito, circuito
., .
Uma, um
delas, de ele
em, em
Michigan, Michigan
,, ,
500, 500
milhas, milha
,, ,
corrida, corrida
que, que
deixa, deixar
qualquer, qualquer
garoto, garoto
com, com
a, o
língua, língua
de, de
fora, fora
., .

, 

Mansell, Mansell
só, só
não, não
ganhou, ganhar
a, o
etapa, etapa
mais, mais
importante, importante
do, de o
ano, ano
,, ,
em, em
Indianápolis, Indianápolis
,, ,
por, por
uma, um
certa, certo
ingenuidade, ingenuidade
na, em o
última, último
relargada, relargar
., .
Chegou, chegar
em, em
terceiro, terceiro
,, ,
e, e
ainda, ainda
deu, dar
um, um
show, show
no, em o
fim, fim
–, –
esbarrando, esbarrar
seu, seu
Lola-Ford, Lola-Ford
no, em o
muro, muro
a, a
mais, mais
de, de
300, 300
km/h, km/h
e, e
segurando, segurar
o, o
carro, carro
como, como
se, se
estivesse, estar
manobrando, manobrar
num, em um
estacionamento, estacionamento
de, de
shopping, shopping
center, center
., .

, 

As, o
quatro, quatro
vitórias, vitória
ovais, oval
de, de
Mansell, Mansell
lhe, ele
deram, dar
o, o
título, título
por, por
antecipação, antecipação
., .
Ele, ele
terminou, terminar
12, 12
das, de o
16, 16
corridas, corrida
(, (
veja, ver
quadro, quadro
ao, a o
lado, lado
), )
e, e
completou, completar
mais, mais
de, de
90, 90
%, %
da, de o
distância, distância
total, total
percorrida, percorrido
no, em o
campeonato, campeonato
., .
Ser, Ser
campeão, campeão
no, em o
ano, ano
de, de
estréia, estréia
certamente, certamente
pesou, pesar
na, em o
sua, seu
decisão, decisão
de, de
não, não
aceitar, aceitar
os, o
convites, convite
para, para
voltar, voltar
à, a o
F-1, F-1
,, ,
que, que
vieram, vier
da, de o
Benetton, Benetton
e, e
da, de o
McLaren, McLaren
., .

, 

Além, além
do, de o
mais, mais
,, ,
Nigel, Nigel
e, e
sua, seu
família, família
encontraram, encontrar
em, em
Clearwater, Clearwater
,, ,
Flórida, Flórida
,, ,
onde, onde
vivem, viver
,, ,
o, o
sol, sol
que, que
raramente, raramente
visita, visitar
a, o
gelada, gelada
Ilha, Ilha
de, de
Man, Man
–, –
onde, onde
a, o
trupe, trupe
morava, morar
na, em o
Europa, Europa
., .
Sua, seu
mulher, mulher
,, ,
Rosanne, Rosanne
,, ,
teve, ter
grande, grande
influência, influência
na, em o
decisão, decisão
de, de
Nigel, Nigel
,, ,
que, que
renovou, renovar
com, com
a, o
Newman-Haas, Newman-Haas
por, por
mais, mais
duas, dois
