Pelo, ﻿Pelo
segundo, segundo
ano, ano
consecutivo, consecutivo
a, o
Corrida, Corrida
Internacional, Internacional
de, de
São, São
Silvestre, Silvestre
teve, ter
um, um
final, final
eletrizante, eletrizante
., .
Desta, desta
vez, vez
,, ,
temperada, temperar
pelo, por o
equívoco, equívoco
do, de o
etíope, etíope
Fita, Fita
Bayesa, Bayesa
,, ,
que, que
deixou, deixar
de, de
ser, ser
o, o
vencedor, vencedor
por, por
não, não
ter, ter
percebido, percebir
a, o
entrada, entrada
certa, certo
para, para
a, o
linha, linha
de, de
chegada, chegada
., .
Simon, Simon
Chemwoyo, Chemwoyo
,, ,
do, de o
Quênia, Quênia
,, ,
também, também
se, se
equivocou, equivocar
mais, mais
percebeu, perceber
seu, seu
erro, erro
mais, mais
cedo, cedo
e, e
corrigiu, corrigir
a, o
rota, rota
., .
Venceu, Venceu
e, e
se, se
tornou, tornar
,, ,
anteontem, anteontem
,, ,
bicampeão, bicampeão
da, de o
corrida, corrida
de, de
rua, rua
mais, mais
famosa, famoso
do, de o
mundo, mundo
., .

, 

Bayesa, Bayesa
,, ,
após, após
a, o
chegada, chegada
,, ,
não, não
se, se
conformava, conformar
com, com
erro, erro
., .
Mais, mais
tarde, tarde
,, ,
durante, durante
entrevista, entrevista
,, ,
reconheceu, reconhecer
que, que
tinha, ter
feito, fazer
bobagem, bobagem
e, e
isentou, isentar
a, o
organização, organização
da, de o
prova, prova
de, de
qualquer, qualquer
responsabilidade, responsabilidade
sobre, sobre
o, o
acontecido, acontecido
., .
Victor, Victor
Malzoni, Malzoni
,, ,
diretor, diretor
da, de o
São, São
Silvestre, Silvestre
,, ,
declarou, declarar
que, que
Bayesa, Bayesa
receberá, receber
o, o
mesmo, mesmo
prêmio, prêmio
que, que
o, o
vencedor, vencedor
Chemwoyo, chemwoyo
,, ,
US$, US$
7.000, 7.000
., .
O, o
etíope, etíope
prometeu, prometer
:, :
", "
Volto, Volto
em, em
94, 94
e, e
vou, ir
vencer, vencer
", "
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

Sobre, sobre
a, o
São, São
Silvestre, Silvestre
na, em o
página, página
3, 3

, 

