Marcelo, ﻿Marcelo
Teixeira, Teixeira
,, ,
29, 29
,, ,
que, que
deverá, dever
passar, passar
o, o
cargo, cargo
de, de
presidente, presidente
do, de o
Santos, Santos
para, para
Miguel, Miguel
Kodja, Kodja
Neto, Neto
,, ,
58, 58
,, ,
na, em o
próxima, próximo
sexta-feira, sexta-feira
,, ,
confirmou, confirmar
ontem, ontem
à, a o
Folha, folha
,, ,
por, por
telefone, telefone
,, ,
que, que
investiu, investir
dinheiro, dinheiro
do, de o
próprio, próprio
bolso, bolso
no, em o
clube, clube
., .
", "
Não, não
sei, saber
quanto, quanto
investi, investi
,, ,
mas, mas
calculo, calculo
que, que
seja, ser
menos, menos
do, de o
que, que
US$, US$
1,5, 1,5
milhão, milhão
", "
,, ,
afirmou, afirmar
., .

, 

Teixeira, Teixeira
não, não
classifica, classificar
esse, esse
investimento, investimento
como, como
razão, razão
de, de
uma, um
dívida, dívida
do, de o
clube, clube
para, para
com, com
sua, seu
família, família
., .
Ele, ele
disse, dizer
não, não
pensar, pensar
em, em
cobrar, cobrar
esse, esse
dinheiro, dinheiro
", "
por, por
amor, amor
ao, a o
Santos, Santos
", "
., .
", "
Poderia, Poderia
ter, ter
vendido, vender
um, um
ou, ou
dois, dois
jogadores, jogador
para, para
ter, ter
o, o
dinheiro, dinheiro
de, de
volta, volta
,, ,
mas, mas
não, não
o, ele
fiz, fiz
e, e
nem, nem
tenho, ter
interesse, interesse
em, em
fazê-lo, fazer ele
., .
O, o
Santos, Santos
não, não
tem, ter
dívida, dívida
nenhuma, nenhum
", "
,, ,
afirmou, afirmar
., .

, 

Para, para
ele, ele
,, ,
a, o
iniciativa, iniciativa
do, de o
futuro, futuro
presidente, presidente
de, de
fazer, fazer
uma, um
auditoria, auditoria
nos, em o
departamento, departamento
do, de o
clube, clube
é, ser
", "
totalmente, totalmente
válida, válido
", "
., .
Segundo, segundo
Teixeira, Teixeira
,, ,
a, o
informatização, informatização
do, de o
clube, clube
foi, ser
uma, um
de, de
suas, seu
metas, meta
., .
", "
O, o
novo, novo
presidente, presidente
terá, ter
todos, todo
os, o
dados, dado
e, e
negócios, negócio
feitos, fazer
no, em o
clube, clube
documentados, documentar
", "
,, ,
garantiu, garantir
., .

, 

