Musa, ﻿Musar
do, de o
vôlei, vôlei
na, em o
década, década
de, de
80, 80
,, ,
Isabel, Isabel
,, ,
ex-atacante, ex-atacante
da, de o
seleção, seleção
brasileira, brasileiro
feminina, feminino
de, de
vôlei, vôlei
,, ,
está, estar
empolgada, empolgado
com, com
o, o
desempenho, desempenho
da, de o
nova, novo
geração, geração
de, de
jogadoras, jogadora
., .
", "
O, o
vôlei, vôlei
feminino, feminino
deve, dever
explodir, explodir
este, este
ano, ano
como, como
o, o
masculino, masculino
explodiu, explodir
na, em o
Olimpíada, olimpíada
de, de
Barcelona, Barcelona
", "
,, ,
prevê, prever
a, o
jogadora, jogadora
,, ,
que, que
,, ,
ao, a o
lado, lado
de, de
Roseli, Roseli
,, ,
forma, forma
a, o
atual, atual
dupla, duplo
vice-campeã, vice-campeã
mundial, mundial
de, de
vôlei, vôlei
de, de
praia, praia
., .

, 

Admiradora, admiradora
do, de o
trabalho, trabalho
do, de o
técnico, técnico
Bernardinho, Bernardinho
,, ,
Isabel, Isabel
diz, dizer
que, que
acima, acima
de, de
tudo, tudo
", "
ele, ele
gosta, gostar
do, de o
que, que
faz, fazer
", "
., .
Para, para
ela, ela
,, ,
este, este
é, ser
o, o
fator, fator
principal, principal
da, de o
animação, animação
das, de o
meninas, menina
., .

, 

