Nunca, ﻿Nunca
em, em
sua, seu
história, história
a, a
Ferrari, Ferrari
passou, passar
por, por
uma, um
estiagem, estiagem
tão, tão
grande, grande
de, de
vitórias, vitória
., .
Já, já
se, se
vão, ir
três, três
anos, ano
e, e
três, três
meses, mês
desde, desde
a, o
última, último
,, ,
no, em o
dia, dia
30, 30
de, de
setembro, setembro
de, de
1990, 1990
em, em
Jerez, Jerez
,, ,
Espanha, Espanha
,, ,
com, com
Alain, Alain
Prost, Prost
., .

, 

Aquele, Aquele
foi, ser
o, o
último, último
campeonato, campeonato
em, em
que, que
a, o
Ferrari, Ferrari
se, se
apresentou, apresentar
de, de
maneira, maneira
competitiva, competitivo
., .
Não, não
por, por
acaso, acaso
,, ,
o, o
carro, carro
,, ,
modelo, modelo
641, 641
,, ,
era, ser
uma, um
evolução, evolução
da, de o
", "
Pata, Pata
", "
,, ,
a, a
640, 640
de, de
bico, bico
chato, chato
criada, criar
por, por
John, John
Barnard, Barnard
que, que
estreou, estrear
com, com
vitória, vitória
de, de
Nigel, Nigel
Mansell, Mansell
no, em o
Rio, Rio
em, em
89, 89
,, ,
inaugurando, inaugurar
a, o
irreversível, irreversível
era, ser
dos, de o
câmbios, câmbio
semi-automáticos, semi-automáticos
na, em o
F-1, F-1
., .

, 

Contratado, contratar
em, em
novembro, novembro
de, de
86, 86
,, ,
o, o
projetista, projetista
passou, passar
dois, dois
anos, ano
desenvolvendo, desenvolver
a, o
máquina, máquina
com, com
carta, carta
branca, branco
do, de o
comendador, comendador
Enzo, Enzo
Ferrari, Ferrari
., .
Teve, Teve
o, o
que, que
pediu, pedir
:, :
todo, todo
o, o
tempo, tempo
do, de o
mundo, mundo
e, e
uma, um
fábrica, fábrica
montada, montar
na, em o
Inglaterra, Inglaterra
,, ,
a, o
GTO, GTO
., .
Barnard, Barnard
queria, querer
trabalhar, trabalhar
longe, longe
da, de o
bagunça, bagunça
de, de
Maranello, Maranello
e, e
,, ,
mais, mais
do, de o
que, que
isso, isso
,, ,
precisava, precisar
preservar, preservar
seus, seu
segredos, segredo
das, de o
bisbilhotices, bisbilhotice
da, de o
imprensa, imprensa
peninsular, peninsular
., .

, 

O, o
carro, carro
e, e
o, o
câmbio, câmbio
foram, ser
um, um
sucesso, sucesso
,, ,
mas, mas
Barnard, Barnard
mal, mal
desfrutou, desfrutar
dele, de ele
., .
Enzo, Enzo
morreu, morrer
em, em
agosto, agosto
de, de
88, 88
,, ,
o, o
comando, comando
da, de o
Fiat, Fiat
passou, passar
a, a
pressionar, pressionar
o, o
projetista, projetista
para, para
que, que
a, o
F-1, F-1
ficasse, ficasse
concentrada, concentrar
na, em o
Itália, Itália
e, e
Barnard, Barnard
mandou, mandar
todos, todo
às, a o
favas, favas
em, em
junho, junho
de, de
79, 79
., .
Resultado, resultado
:, :
em, em
Adelaide, Adelaide
,, ,
em, em
novembro, novembro
,, ,
a, o
Ferrari, Ferrari
chegou, chegar
à, a o
vergonhosa, vergonhoso
marca, marca
de, de
50, 50
GPs, GPs
sem, sem
vitórias, vitória
., .
(, (
FG, FG
), )

, 

