Em, ﻿Em
um, um
jogo, jogo
fraco, fraco
tecnicamente, tecnicamente
,, ,
Guarani, Guarani
e, e
Palmeiras, Palmeiras
empataram, empatar
em, em
0, 0
a, a
0, 0
,, ,
ontem, ontem
à, a o
tarde, tarde
,, ,
no, em o
estádio, estádio
Brinco, Brinco
de, de
Ouro, Ouro
da, de o
Princesa, Princesa
,, ,
em, em
Campinas, Campinas
., .

, 

Os, o
dois, dois
times, time
somam, somar
41, 41
pontos, ponto
e, e
estão, estar
classificados, classificado
para, para
o, o
octogonal, octogonal
que, que
define, definir
os, o
dois, dois
finalistas, finalista
do, de o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

O, o
jogo, jogo
marcou, marcar
a, o
estréia, estréia
do, de o
técnico, técnico
Carlos, Carlos
Alberto, Alberto
Silva, Silva
na, em o
equipe, equipe
do, de o
Palmeiras, Palmeiras
., .
Ex-técnico, ex-técnico
do, de o
Cruzeiro, Cruzeiro
,, ,
ele, ele
foi, ser
contratado, contratar
para, para
substituir, substituir
Valdir, Valdir
Espinosa, Espinosa
,, ,
que, que
foi, ser
demitido, demitir
., .

, 

O, o
Guarani, Guarani
teve, ter
o, o
retorno, retorno
de, de
Fábio, Fábio
Augusto, Augusto
,, ,
que, que
cumpriu, cumprir
suspensão, suspensão
na, em o
última, último
partida, partida
,, ,
e, e
de, de
Luizão, Luizão
,, ,
que, que
serviu, servir
a, o
seleção, seleção
de, de
juniores, juniores
no, em o
jogo, jogo
contra, contra
a, o
Argentina, Argentina
,, ,
pela, por o
Copa, Copa
Mercosul, Mercosul
., .

, 

No, em o
primeiro, primeiro
tempo, tempo
,, ,
as, o
duas, dois
equipes, equipe
se, se
empenharam, empenhar
apenas, apenas
nos, em o
15, 15
minutos, minuto
iniciais, inicial
,, ,
quando, quando
surgiram, surgir
as, o
melhores, bom
oportunidades, oportunidade
., .

, 

Aos, a o
5min, 5min
,, ,
Luizão, Luizão
sofreu, sofrer
falta, falta
pela, por o
direita, direita
., .
Djalminha, Djalminha
cobrou, cobrar
para, para
dentro, dentro
da, de o
pequena, pequeno
área, área
e, e
o, o
mesmo, mesmo
Luizão, Luizão
cabeceou, cabecear
sozinho, sozinho
,, ,
por, por
cima, cima
do, de o
gol, gol
., .

, 

Um, um
minuto, minuto
depois, depois
,, ,
o, o
meio-campista, meio-campista
Mancuso, Mancuso
acertou, acertar
um, um
chute, chute
com, com
perigo, perigo
da, de o
entrada, entrada
da, de o
área, área
,, ,
mas, mas
a, o
bola, bola
bateu, bater
na, em o
defesa, defesa
do, de o
Guarani, Guarani
., .

, 

Com, com
a, o
forte, forte
marcação, marcação
de, de
Ronaldo, Ronaldo
Alves, Alves
em, em
Rivaldo, Rivaldo
,, ,
o, o
Palmeiras, Palmeiras
não, não
conseguia, conseguir
articular, articular
a, o
ligação, ligação
do, de o
meio, meio
com, com
o, o
ataque, ataque
., .

, 

A, o
última, último
chance, chance
da, de o
primeira, primeiro
etapa, etapa
foi, ir
aos, a o
15min, 15min
., .
Roberto, Roberto
Carlos, Carlos
cobrou, cobrar
forte, forte
uma, um
falta, falta
sofrida, sofrer
por, por
Lozano, Lozano
na, em o
entrada, entrada
da, de o
área, área
,, ,
mas, mas
Hiran, Hiran
espalmou, espalmar
para, para
escanteio, escanteio
., .

, 

No, em o
resto, resto
da, de o
primeira, primeiro
etapa, etapa
,, ,
as, o
duas, dois
defesas, defesa
prevaleceram, prevalecer
sobre, sobre
os, o
ataques, ataque
., .

, 

Os, o
30, 30
minutos, minuto
finais, final
do, de o
primeiro, primeiro
tempo, tempo
descontentaram, descontentar
os, o
torcedores, torcedor
presentes, presente
., .

, 

Logo, logo
aos, a o
7min, 7min
do, de o
segundo, segundo
tempo, tempo
,, ,
o, o
meia-ofensivo, meia-ofensivo
Djalminha, Djalminha
roubou, roubar
a, o
bola, bola
do, de o
zagueiro, zagueiro
Célio, Célio
Lúcio, Lúcio
,, ,
chutou, chutar
por, por
baixo, baixo
de, de
Velloso, Velloso
e, e
Cléber, Cléber
salvou, salvar
., .
A, o
bola, bola
ainda, ainda
chegou, chegar
a, a
bater, bater
na, em o
trave, trave
., .

, 

No, em o
segundo, segundo
tempo, tempo
,, ,
que, que
havia, haver
começado, começar
melhor, melhor
,, ,
Palmeiras, Palmeiras
e, e
Guarani, Guarani
voltaram, voltar
a, a
apresentar, apresentar
um, um
jogo, jogo
que, que
desagradou, desagradar
a, o
torcida, torcida
., .

, 

Os, o
30, 30
minutos, minuto
finais, final
da, de o
segunda, segundo
etapa, etapa
acabaram, acabar
sendo, ser
uma, um
repetição, repetição
dos, de o
30, 30
finais, final
da, de o
primeira, primeira
., .

, 

As, o
duas, dois
equipes, equipe
pareciam, parecer
satisfeitas, satisfeito
com, com
o, o
empate, empate
., .

, 

Nenhuma, Nenhuma
das, de o
duas, dois
tem, ter
chances, chance
de, de
conseguir, conseguir
o, o
ponto, ponto
extra, extra
., .
O, o
melhor, bom
time, time
da, de o
fase, fase
de, de
classificação, classificação
começa, começar
a, o
próxima, próximo
fase, fase
com, com
um, um
ponto, ponto
de, de
bonificação, bonificação
., .

, 

