Nos, ﻿Nos
últimos, último
cinco, cinco
anos, ano
o, o
futebol, futebol
de, de
São, São
Paulo, Paulo
venceu, vencer
quatro, quatro
campeonatos, campeonato
brasileiros, brasileiro
e, e
o, o
São, São
Paulo, Paulo
Futebol, Futebol
Clube, Clube
conquistou, conquistar
dois, dois
títulos, título
intercontinentais, intercontinental
,, ,
batendo, bater
,, ,
em, em
Tóquio, Tóquio
,, ,
os, o
incensados, incensado
Barcelona, Barcelona
e, e
Milan, Milan
., .

, 

Enquanto, enquanto
em, em
São, São
Paulo, Paulo
a, o
parceria, parceria
com, com
empresas, empresa
e, e
a, o
tentativa, tentativa
de, de
profissionalizar, profissionalizar
a, o
gestão, gestão
dos, de o
clubes, clube
começavam, começar
a, a
forçar, forçar
o, o
bloqueio, bloqueio
do, de o
atraso, atraso
(, (
ainda, ainda
a, a
ser, ser
superado, superar
), )
,, ,
no, em o
Rio, Rio
,, ,
dirigentes, dirigente
da, de o
sofisticação, sofisticação
de, de
um, um
Eurico, Eurico
Miranda, Miranda
ou, ou
de, de
um, um
Caixa, Caixa
d'Água, d'Água
promoviam, promover
melancólicos, melancólico
torneios, torneio
., .
Os, o
três, três
últimos, último
conquistados, conquistar
pelo, por o
Vasco, Vasco
da, de o
Gama, Gama
,, ,
no, em o
mais, mais
pífio, pífio
e, e
sonolento, sonolento
dos, de o
tricampeonatos, tricampeonato
de, de
que, que
se, se
tem, ter
notícia, notícia
., .

, 

No, em o
mesmo, mesmo
período, período
,, ,
os, o
cariocas, carioca
se, se
limitaram, limitar
a, o
festejar, festejar
uma, um
vitória, vitória
nacional, nacional
do, de o
Flamengo, Flamengo
,, ,
sempre, sempre
Flamengo, Flamengo
,, ,
e, e
se, se
viram, ver
repentinamente, repentinamente
no, em o
incômodo, incômodo
papel, papel
de, de
várzea, várzea
,, ,
celeiro, celeiro
de, de
craques, craque
e, e
técnicos, técnico
para, para
o, o
exterior, exterior
e, e
São, São
Paulo, Paulo
., .

, 

Celeiro, Celeiro
,, ,
diga-se, diga-se
,, ,
da, de o
melhor, bom
qualidade, qualidade
., .
Apesar, apesar
de, de
dirigentes, dirigente
desqualificados, desqualificar
,, ,
jogadores, jogador
o, o
Rio, Rio
sempre, sempre
produziu, produzir
., .

, 

Agora, agora
,, ,
presidentes, presidente
como, como
Kleber, Kleber
Leite, Leite
e, e
Montenegro, Montenegro
,, ,
respectivamente, respectivamente
do, de o
Flamengo, Flamengo
e, e
Botafogo, Botafogo
,, ,
parecem, parecer
dispostos, disposto
a, a
adotar, adotar
métodos, método
gerenciais, gerencial
mais, mais
modernos, moderno
no, em o
futebol, futebol
carioca, carioca
., .

, 

A, o
luta, luta
vai, ir
ser, ser
dura, duro
., .
O, o
