Rick, ﻿Rick
Adelman, Adelman
,, ,
48, 48
,, ,
é, ser
o, o
novo, novo
técnico, técnico
do, de o
Golden, Golden
State, State
Warriors, Warriors
,, ,
o, o
terceiro, terceiro
que, que
assume, assumir
o, o
comando, comando
do, de o
time, time
nesta, em este
temporada, temporada
., .

, 

Substituiu, Substituiu
Bob, Bob
Lanier, Lanier
,, ,
o, o
sétimo, sétimo
técnico, técnico
a, a
deixar, deixar
o, o
cargo, cargo
na, em o
temporada, temporada
., .
Os, o
outros, outro
foram, ir
:, :
Dan, Dan
Issel, Issel
e, e
Gene, Gene
Littles, Littles
(, (
ambos, ambos
do, de o
Denver, Denver
), )
,, ,
Don, Don
Nelson, Nelson
(, (
Golden, Golden
State, State
), )
,, ,
Kevin, Kevin
Loughery, Loughery
(, (
Miami, Miami
), )
,, ,
Don, Don
Chaney, Chaney
(, (
Detroit, Detroit
), )
e, e
Chris, Chris
Ford, Ford
(, (
Boston, Boston
), )
., .

, 

O, o
primeiro, primeiro
a, a
deixar, deixar
o, o
cargo, cargo
nos, em o
Warriors, Warriors
foi, ser
Don, Don
Nelson, Nelson
,, ,
que, que
acumulava, acumular
a, o
gerência, gerência
geral, geral
da, de o
equipe, equipe
., .
Depois, depois
de, de
desentendimentos, desentendimento
com, com
vários, vários
jogadores, jogador
,, ,
ele, ele
saiu, sair
em, em
fevereiro, fevereiro
., .

, 

Bob, Bob
Lanier, Lanier
,, ,
que, que
era, ser
o, o
assistente, assistente
de, de
Don, Don
Nelson, Nelson
,, ,
assumiu, assumir
o, o
posto, posto
., .
Mas, mas
nada, nada
mudou, mudar
., .
A, o
equipe, equipe
ficou, ficar
fora, fora
dos, de o
playoffs, playoff
., .

, 

Terminou, Terminou
com, com
26, 26
vitórias, vitória
contra, contra
56, 56
derrotas, derrota
,, ,
marca, marca
bem, bem
inferior, inferior
a, a
da, de o
temporada, temporada
passada, passado
(, (
50-32, 50-32
), )
., .
Lanier, Lanier
acabou, acabar
demitido, demitido
., .

, 

`, `
`, `
Nossa, nosso
meta, meta
era, ser
contratar, contratar
um, um
técnico, técnico
com, com
experiência, experiência
na, em o
NBA, NBA
'', ''
,, ,
declarou, declarar
Dave, Dave
Twardzik, Twardzik
,, ,
o, o
novo, novo
gerente, gerente
dos, de o
Warriors, Warriors
., .

, 

Adelman, Adelman
acumulou, acumular
291, 291
vitórias, vitória
e, e
154, 154
derrotas, derrota
em, em
cinco, cinco
anos, ano
no, em o
Portland, Portland
Trail, Trail
Blazers, Blazers
,, ,
quando, quando
foi, ser
vice-campeão, vice-campeão
em, em
90, 90
e, e
92, 92
., .

, 

