Depois, ﻿Depois
de, de
cumprir, cumprir
15, 15
dias, dia
de, de
suspensão, suspensão
,, ,
Edmundo, Edmundo
voltou, voltar
ontem, ontem
aos, a o
treinos, treino
do, de o
Palmeiras, Palmeiras
., .

, 

O, o
atacante, atacante
garantiu, garantir
,, ,
porém, porém
,, ,
que, que
não, não
tem, ter
a, o
`, `
`, `
menor, pequeno
vontade, vontade
'', ''
de, de
continuar, continuar
atuando, atuar
pelo, por o
time, time
do, de o
Parque, Parque
Antarctica, Antarctica
até, até
o, o
final, final
de, de
seu, seu
contrato, contrato
,, ,
no, em o
dia, dia
2, 2
de, de
julho, julho
., .

, 

`, `
`, `
Meu, meu
interesse, interesse
é, ser
deixar, deixar
o, o
Palmeiras, Palmeiras
., .
Só, só
fico, fico
até, até
julho, julho
se, se
for, ser
preciso, preciso
,, ,
afinal, afinal
sou, ser
jogador, jogador
contratado, contratar
pelo, por o
clube, clube
'', ''
,, ,
disse, dizer
Edmundo, Edmundo
., .

, 

Segundo, segundo
ele, ele
,, ,
as, o
últimas, último
manifestações, manifestação
da, de o
torcida, torcida
contra, contra
a, o
sua, seu
permanência, permanência
pesaram, pesar
na, em o
decisão, decisão
., .

, 

`, `
`, `
Como, como
acabou, acabar
o, o
carinho, carinho
e, e
o, o
respeito, respeito
por, por
parte, parte
dos, de o
torcedores, torcedor
,, ,
não, não
tenho, ter
motivos, motivo
para, para
ficar, ficar
., .
'', ''

, 

Edmundo, Edmundo
disse, dizer
ter, ter
três, três
propostas, proposta
do, de o
exterior, exterior
,, ,
além, além
do, de o
interesse, interesse
oficial, oficial
de, de
Flamengo, Flamengo
e, e
Botafogo, Botafogo
., .

, 

`, `
`, `
As, o
propostas, proposta
do, de o
exterior, exterior
não, não
me, eu
atraem, atraar
'', ''
,, ,
disse, dizer
., .

, 

Segundo, segundo
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
a, o
venda, venda
de, de
Edmundo, Edmundo
será, ser
definida, definir
entre, entre
hoje, hoje
e, e
amanhã, amanhã
com, com
a, o
presença, presença
do, de o
presidente, presidente
da, de o
Parmalat, Parmalat
,, ,
Gianni, Gianni
Grisendi, Grisendi
., .
A, o
empresa, empresa
detém, deter
85, 85
%, %
do, de o
passe, passe
do, de o
jogador, jogador
., .

, 

`, `
`, `
O, o
Edmundo, Edmundo
tem, ter
80, 80
%, %
de, de
chances, chance
de, de
ir, ir
para, para
o, o
Rio, Rio
e, e
20, 20
%, %
para, para
o, o
exterior, exterior
'', ''
,, ,
disse, dizer
Brunoro, Brunoro
., .

, 

(, (
AR, AR
), )

, 

LEIA, LEIA

, 

sobre, sobre
a, o
convocação, convocação
de, de
Edmundo, Edmundo
na, em o
pág., pág.
3, 3

, 

