Titular, ﻿Titular
do, de o
São, São
Paulo, Paulo
há, há
18, 18
rodadas, rodada
no, em o
Paulista, paulista
,, ,
o, o
volante, volante
Mona, Mona
,, ,
21, 21
,, ,
gaba-se, gabar se
de, de
ter, ter
contribuído, contribuir
para, para
a, o
ascensão, ascensão
da, de o
equipe, equipe
no, em o
campeonato, campeonato
., .
`, `
`, `
Desde, desde
que, que
entrei, entrar
,, ,
nós, nós
só, só
perdemos, perder
um, um
jogo, jogo
no, em o
torneio, torneio
'', ''
,, ,
disse, dizer
., .

, 

O, o
próximo, próximo
objetivo, objetivo
do, de o
jogador, jogador
,, ,
segundo, segundo
ele, ele
,, ,
é, ser
a, o
seleção, seleção
brasileira.(AR, brasileira.(AR
), )

, 

Folha, Folha
-, -
Discretamente, discretamente
,, ,
você, você
acabou, acabar
ganhando, ganhar
a, o
posição, posição
de, de
titular, titular
num, em um
time, time
que, que
tem, ter
Axel, Axel
e, e
Donizete, Donizete
., .
Qual, qual
foi, ser
o, o
segredo, segredo
?, ?

, 

Mona, Mona
-, -
O, o
segredo, segredo
foi, ser
estar, estar
muito, muito
bem, bem
preparado, preparar
quando, quando
a, o
oportunidade, oportunidade
surgiu, surgir
., .
Entrei, Entrei
no, em o
time, time
contra, contra
a, o
Ferroviária, Ferroviária
(, (
em, em
março, março
), )
e, e
nós, nós
só, só
tivemos, ter
uma, um
derrota, derrota
depois, depois
disso, de isso
., .
Cresci, Cresci
com, com
a, o
sequência, sequência
de, de
jogos, jogo
., .

, 

Folha, Folha
-, -
Você, você
tem, ter
idade, idade
para, para
disputar, disputar
o, o
pré-olímpico, pré-olímpico
,, ,
em, em
março, março
de, de
96, 96
., .
Dá, dar
para, para
pensar, pensar
em, em
seleção, seleção
?, ?

, 

Mona, Mona
-, -
Sim, sim
., .
Sei, saber
que, que
posso, poder
chegar, chegar
lá, lá
se, se
continuar, continuar
trabalhando, trabalhar
bem, bem
como, como
titular, titular
do, de o
São, São
Paulo, Paulo
., .
Me, Me
inspiro, inspiro
no, em o
exemplo, exemplo
do, de o
Doriva, Doriva
,, ,
hoje, hoje
no, em o
XV, XV
de, de
Piracicaba, Piracicaba
., .
Ninguém, ninguém
falava, falar
muito, muito
nele, em ele
,, ,
mas, mas
ele, ele
acabou, acabar
na, em o
seleção, seleção
principal, principal
., .

, 

