Parece, ﻿Parecer
praga, praga
do, de o
Edmundo, Edmundo
., .
Mas, mas
o, o
fato, fato
é, ser
que, que
o, o
Palmeiras, Palmeiras
não, não
consegue, conseguir
ganhar, ganhar
um, um
jogo, jogo
neste, em este
campeonato, campeonato
há, haver
tempo, tempo
demais, demais
para, para
um, um
bicampeão, bicampeão
., .
Para, para
cúmulo, cúmulo
do, de o
desespero, desespero
palestrino, palestrino
,, ,
no, em o
meio, meio
da, de o
semana, semana
,, ,
empatou, empatar
com, com
a, o
Ponte, Ponte
,, ,
lanterninha, lanterninha
do, de o
certame, certame
e, e
saco, saco
de, de
pancadas, pancada
desta, de este
temporada, temporada
., .

, 

Só, só
uma, um
boa, bom
vitória, vitória
sobre, sobre
o, o
Santos, Santos
,, ,
esta, este
tarde, tarde
,, ,
poderá, poder
baixar, baixar
o, o
nível, nível
de, de
angústia, angústia
do, de o
torcedor, torcedor
,, ,
hoje, hoje
em, em
dia, dia
mais, mais
esverdeado, esverdear
de, de
raiva, raiva
do, de o
que, que
de, de
paixão, paixão
., .
Acontece, Acontece
que, que
o, o
Santos, Santos
vem, vir
embalado, embalar
,, ,
na, em o
vice-liderança, vice-liderança
,, ,
a, a
uma, um
vitória, vitória
do, de o
topo, topo
da, de o
tabela, tabela
,, ,
o, o
que, que
lhe, ele
confere, conferir
,, ,
por, por
incrível, incrível
que, que
pareça, parecer
,, ,
o, o
favoritismo, favoritismo
no, em o
clássico, clássico
deste, de este
domingo, domingo
., .

, 

Com, com
Giovanni, Giovanni
espalhando, espalhar
classe, classe
e, e
eficiência, eficiência
no, em o
meio-campo, meio-campo
,, ,
Macedo, Macedo
infernizando, infernizar
lá, lá
na, em o
frente, frente
e, e
Marcelo, Marcelo
Passos, Passos
com, com
o, o
pé, pé
na, em o
fôrma, fôrma
,, ,
é, ser
muito, muito
provável, provável
que, que
o, o
Palmeiras, Palmeiras
adie, adie
sua, seu
recuperação, recuperação
., .

, 

Mas, mas
será, ser
que, que
sua, seu
impaciente, impaciente
e, e
apaixonada, apaixonar
torcida, torcir
aceita, aceitar
qualquer, qualquer
adiamento, adiamento
?, ?

, 

Falei, falei
em, em
praga, praga
de, de
Edmundo, Edmundo
,, ,
mas, mas
não, não
creio, crer
., .
No, em o
creo, creo
,, ,
pero, pero
que, que
las, Las
hay, hay
,, ,
las, las
hay, hay
., .

, 

Outro, outro
dia, dia
mesmo, mesmo
,, ,
conheci, conheci
uma, um
personalidade, personalidade
que, que
até, até
então, então
existia, existir
na, em o
minha, meu
memória, memória
em, em
forma, forma
de, de
figurinha, figurinha
carimbada, carimbar
., .
Refiro-me, Refiro-me
a, a
Augusto, Augusto
,, ,
centroavante, centroavante
de, de
brilho, brilho
intenso, intenso
e, e
fugaz, fugaz
,, ,
no, em o
raiar, raiar
dos, de o
anos, ano
50, 50
., .
Pois, pois
Augusto, Augusto
,, ,
que, que
diziam, dizer
ser, ser
filho, filho
de, de
Leônidas, Leônidas
da, de o
Silva, Silva
,, ,
o, o
Pelé, Pelé
daqueles, de aquele
tempos, tempo
que, que
se, se
despedia, despeder
do, de o
futebol, futebol
nesse, em esse
mesmo, mesmo
ano, ano
,, ,
estreou, estrear
no, em o
São, São
Paulo, Paulo
na, em o
maior, grande
goleada, golear
que, que
a, o
história, história
do, de o
Paulista, paulista
registra, registrar
até, até
hoje, hoje
:, :
10, 10
a, a
0, 0
,, ,
sobre, sobre
o, o
Guarani, Guarani
,, ,
que, que
subia, subiar
à, a o
Primeira, Primeira
Divisão, Divisão
., .
Augusto, Augusto
fez, fazer
cinco, cinco
gols, gol
., .
E, e
,, ,
dizem, dizer
,, ,
Godê, Godê
,, ,
lateral, lateral
bugrino, bugrino
,, ,
rogou, rogar
uma, um
praga, praga
:, :
o, o
São, São
Paulo, Paulo
jamais, jamais
seria, ser
tricampeão, tricampeão
., .
Não, não
foi, ser
naquele, em aquele
ano, ano
,, ,
nem, nem
até, até
hoje, hoje
,, ,
embora, embora
tivesse, ter
disputado, disputar
por, por
cinco, cinco
vezes, vez
esse, esse
laurel, laurel
., .

, 

Assim, assim
como, como
os, o
23, 23
anos, ano
do, de o
Corinthians, Corinthians
na, em o
fila, fila
do, de o
título, título
,, ,
de, de
54, 54
a, a
77, 77
,, ,
ficou, ficar
no, em o
imaginário, imaginário
popular, popular
como, como
sinistro, sinistro
resultado, resultado
de, de
praga, praga
rogada, rogar
por, por
Pitico, Pitico
,, ,
um, um
crioulo, crioulo
alto, alto
,, ,
espigado, espigar
,, ,
implacável, implacável
nas, em o
disputas, disputa
de, de
bola, bola
,, ,
que, que
formava, formar
a, o
linha, linha
média, médio
da, de o
Ponte, Ponte
com, com
Carlito, Carlito
Roberto, Roberto
e, e
Carlinhos, Carlinhos
., .

, 

E, e
há, haver
o, o
célebre, célebre
episódio, episódio
do, de o
sapo, sapo
do, de o
Arubinha, Arubinha
,, ,
imortalizado, imortalizar
em, em
crônica, crônica
de, de
Mário, Mário
Filho, Filho
,, ,
mas, mas
essa, esse
história, história
fica, ficar
para, para
outro, outro
dia, dia
,, ,
que, que
o, o
ar, ar
já, já
está, estar
carregado, carregado
., .
Bico, Bico
de, de
pato, pato
,, ,
mangalô, mangalô
,, ,
treis, trel
veiz, veiz
., .

, 

E, e
o, o
tricolor, tricolor
chega, chegar
diante, diante
do, de o
União, união
vergado, vergar
sob, sob
a, o
carga, carga
da, de o
desclassificação, desclassificação
na, em o
Copa, Copa
Brasil, Brasil
,, ,
sua, seu
última, último
alternativa, alternativa
para, para
cortar, cortar
caminho, caminho
em, em
direção, direção
à, a o
Libertadores, Libertadores
., .
Perdeu, Perdeu
a, o
chance, chance
diante, diante
do, de o
Grêmio, Grêmio
,, ,
um, um
time, time
armado, armar
com, com
