Para, ﻿Para
Telê, Telê
Santana, Santana
,, ,
seria, ser
melhor, bom
o, o
São, São
Paulo, Paulo
garantir, garantir
a, o
contratação, contratação
definitiva, definitivo
do, de o
meia, meia
Aílton, Aílton
que, que
investir, investir
na, em o
volta, volta
de, de
Muller, Muller
,, ,
do, de o
Kashiwa, Kashiwa
Reysol, Reysol
,, ,
do, de o
Japão, Japão
., .

, 

Admirador, admirador
do, de o
futebol, futebol
de, de
Aílton, Aílton
,, ,
Telê, Telê
disse, dizer
que, que
vai, ir
insistir, insistir
na, em o
permanência, permanência
do, de o
jogador, jogador
,, ,
que, que
pertence, pertencer
ao, a o
Benfica, Benfica
,, ,
de, de
Portugal, Portugal
., .

, 

Aílton, Aílton
está, estar
emprestado, emprestado
ao, a o
São, São
Paulo, Paulo
até, até
o, o
dia, dia
31, 31
de, de
julho, julho
e, e
seu, seu
passe, passe
custa, custar
US$, US$
1, 1
milhão, milhão
., .

, 

Como, como
o, o
São, São
Paulo, Paulo
já, já
pagou, pagar
US$, US$
200, 200
mil, mil
na, em o
ocasião, ocasião
do, de o
empréstimo, empréstimo
,, ,
restariam, restarir
US$, US$
800, 800
mil, mil
., .

, 

`, `
`, `
Os, o
diretores, diretor
me, eu
disseram, dizer
que, que
o, o
clube, clube
não, não
tem, ter
,, ,
no, em o
momento, momento
,, ,
o, o
dinheiro, dinheiro
disponível, disponível
'', ''
,, ,
disse, dizer
Aílton, Aílton
., .

, 

`, `
`, `
Não, não
é, ser
um, um
valor, valor
alto, alto
para, para
um, um
grande, grande
jogador, jogador
como, como
o, o
Aílton, Aílton
., .
Quando, quando
acabar, acabar
o, o
seu, seu
empréstimo, empréstimo
,, ,
vou, ir
pedir, pedir
sua, seu
contratação, contratação
., .
E, e
,, ,
se, se
tivesse, ter
esse, esse
dinheiro, dinheiro
,, ,
eu, eu
mesmo, mesmo
compraria, comprar
o, o
passe, passe
'', ''
,, ,
disse, dizer
Telê, Telê
., .

, 

Quanto, quanto
ao, a o
interesse, interesse
do, de o
São, São
Paulo, Paulo
na, em o
volta, volta
de, de
Muller, Muller
,, ,
Telê, Telê
foi, ser
taxativo, taxativo
:, :
`, `
`, `
Hoje, hoje
,, ,
entre, entre
o, o
Muller, Muller
e, e
o, o
Aílton, Aílton
,, ,
eu, eu
prefiro, prefiro
o, o
Aílton, Aílton
., .
'', ''

, 

O, o
Benfica, Benfica
pediu, pedir
que, que
a, o
volta, volta
de, de
Aílton, Aílton
fosse, ser
antecipada, antecipar
para, para
18, 18
de, de
junho, junho
., .
`, `
`, `
Sem, sem
chances, chance
., .
Ficaremos, Ficaremos
com, com
ele, ele
até, até
o, o
final, final
do, de o
contrato, contrato
e, e
depois, depois
nos, nós
reuniremos, reuniremo
para, para
fazer, fazer
uma, um
proposta, proposta
ao, a o
Benfica, Benfica
'', ''
,, ,
disse, dizer
o, o
diretor, diretor
de, de
futebol, futebol
,, ,
Márcio, Márcio
Aranha, Aranha
., .

, 

O, o
São, São
Paulo, Paulo
ofereceu, oferecer
US$, US$
700, 700
mil, mil
e, e
alguns, algum
amistosos, amistoso
ao, a o
Kashiwa, Kashiwa
para, para
ter, ter
Muller, Muller
de, de
volta, volta
., .
Os, o
japoneses, japonês
ainda, ainda
não, não
responderam, responder
., .

, 

(, (
AR, AR
), )

, 

