Jean, ﻿Jean
Alesi, Alesi
e, e
Gerhard, Gerhard
Berger, Berger
foram, ser
os, o
mais, mais
rápidos, rápido
na, em o
primeira, primeiro
sessão, sessão
de, de
treinos, treino
oficiais, oficial
para, para
o, o
GP, GP
da, de o
Espanha, Espanha
de, de
F-1, F-1
,, ,
ontem, ontem
no, em o
circuito, circuito
de, de
Barcelona, Barcelona
., .

, 

Comprovaram, Comprovaram
,, ,
assim, assim
,, ,
a, o
fase, fase
de, de
ascensão, ascensão
da, de o
Ferrari, Ferrari
,, ,
que, que
superou, superar
os, o
poderosos, poderoso
Williams, Williams
e, e
Michael, Michael
Schumacher, Schumacher
,, ,
da, de o
Benetton, Benetton
., .

, 

O, o
segundo, segundo
treino, treino
oficial, oficial
acontece, acontecer
hoje, hoje
,, ,
às, a o
8h, 8h
(, (
de, de
Brasília, Brasília
), )
,, ,
com, com
transmissão, transmissão
ao, a o
vivo, vivo
pela, por o
TV, tv
., .

, 

Alesi, Alesi
foi, ser
superior, alto
durante, durante
quase, quase
todo, todo
o, o
treino, treino
e, e
terminou, terminar
com, com
o, o
tempo, tempo
de, de
1min23s104, 1min23s104
., .
Berger, Berger
fez, fazer
1min23s458, 1min23s458
,, ,
no, em o
final, final
da, de o
sessão, sessão
., .

, 

O, o
terceiro, terceiro
foi, ser
David, David
Coulthard, Coulthard
,, ,
da, de o
Williams, Williams
,, ,
com, com
1min23s496, 1min23s496
., .
Schumacher, Schumacher
,, ,
que, que
chegou, chegar
a, a
rodar, rodar
em, em
busca, busca
do, de o
tempo, tempo
de, de
Alesi, Alesi
,, ,
foi, ser
o, o
quarto, quarto
(, (
1min23s535, 1min23s535
), )
., .

, 

Damon, Damon
Hill, Hill
,, ,
companheiro, companheiro
de, de
Coulthard, Coulthard
,, ,
fez, fazer
o, o
quinto, quinto
tempo, tempo
(, (
1min24s356, 1min24s356
), )
., .
`, `
`, `
O, o
tempo, tempo
prejudicou, prejudicar
o, o
acerto, acerto
do, de o
nosso, nosso
carro, carro
'', ''
,, ,
afirmou, afirmar
o, o
atual, atual
líder, líder
do, de o
campeonato, campeonato
(, (
20, 20
pontos, ponto
), )
,, ,
se, se
referindo, referir
à, a o
chuva, chuva
que, que
caiu, cair
durante, durante
toda, todo
a, o
madrugada, madrugada
e, e
nas, em o
primeiras, primeiro
horas, hora
da, de o
manhã, manhã
., .

, 

A, o
pista, pista
lisa, lisa
estava, estar
úmida, úmido
no, em o
começo, começo
da, de o
sessão, sessão
,, ,
mas, mas
secou, secar
rapidamente, rapidamente
com, com
um, um
sol, sol
forte, forte
que, que
surgiu, surgir
ainda, ainda
durante, durante
o, o
treino, treino
., .

, 

Schumacher, Schumacher
usou, usar
a, o
meteorologia, meteorologia
para, para
explicar, explicar
a, o
instabilidade, instabilidade
de, de
seu, seu
carro, carro
., .
`, `
`, `
Ele, ele
estava, estar
imprevisível, imprevisível
., .
Foi, ser
muito, muito
difícil, difícil
'', ''
,, ,
disse, dizer
., .

, 

Na, em o
Ferrari, Ferrari
,, ,
o, o
clima, clima
não, não
recebeu, receber
menção, menção
., .
Alesi, Alesi
afirmou, afirmar
que, que
o, o
resultado, resultado
justificou, justificar
o, o
otimismo, otimismo
da, de o
equipe, equipe
., .
`, `
`, `
Os, o
tempos, tempo
estavam, estar
saindo, sair
muito, muito
fácil, fácil
'', ''
,, ,
declarou, declarar
., .

, 

Já, já
Berger, Berger
manteve, manter
o, o
discurso, discurso
reservado, reservar
., .
`, `
`, `
Fomos, Fomos
bem, bem
,, ,
mas, mas
foi, ser
uma, um
surpresa, surpresa
para, para
mim, eu
a, o
segunda, segundo
colocação, colocação
., .
Quanto, quanto
ao, a o
carro, carro
,, ,
está, estar
bom, bom
., .
Mas, mas
não, não
sei, saber
se, se
manteremos, manteremos
o, o
ritmo, ritmo
na, em o
corrida, corrida
'', ''
., .

, 

(, (
JHM, JHM
), )

, 

NA, NA
TV, tv

, 

TV, tv
Globo, Globo
,, ,
segundo, segundo
treino, treino
oficial, oficial
,, ,
ao, a o
vivo, vivo
,, ,
a, a
partir, partir
das, de o
8h, 8h

, 

