Após, ﻿Após
o, o
Grande, Grande
Prêmio, Prêmio
da, de o
Espanha, Espanha
,, ,
em, em
Jerez, Jerez
de, de
la, la
Frontera, Frontera
,, ,
o, o
australiano, australiano
Daryl, Daryl
Beattie, Beattie
(, (
Suzuki, Suzuki
), )
tornou-se, tornar se
novo, novo
líder, líder
do, de o
Mundial, Mundial
de, de
500, 500
cilindradas, cilindrada
,, ,
com, com
74, 74
pontos, ponto
., .

, 

Ele, ele
ficou, ficar
em, em
sétimo, sétimo
lugar, lugar
na, em o
prova, prova
de, de
ontem, ontem
., .

, 

Seu, seu
compatriota, compatriota
Michael, Michael
Doohan, Doohan
(, (
Honda, Honda
), )
,, ,
com, com
70, 70
pontos, ponto
,, ,
caiu, cair
para, para
segundo, segundo
lugar, lugar
na, em o
classificação, classificação
., .

, 

O, o
espanhol, espanhol
Alberto, Alberto
Puig, Puig
(, (
Honda, Honda
), )
,, ,
que, que
venceu, vencer
o, o
GP, GP
,, ,
está, estar
em, em
terceiro, terceiro
,, ,
com, com
56, 56
pontos, ponto
., .

, 

O, o
brasileiro, brasileiro
Alexandre, Alexandre
Barros, Barros
(, (
Honda, Honda
), )
ocupa, ocupar
a, o
sétima, sétimo
colocação, colocação
na, em o
tabela, tabela
de, de
pontos, ponto
do, de o
Mundial, Mundial
., .

, 

Ele, ele
tem, ter
31, 31
pontos, ponto
,, ,
três, três
a, a
menos, menos
que, que
o, o
sexto, sexto
,, ,
o, o
norte-americano, norte-americano
Kevin, Kevin
Schwantz, Schwantz
(, (
Suzuki, Suzuki
), )
,, ,
que, que
não, não
competiu, competir
ontem, ontem
na, em o
Espanha, Espanha
., .

, 

Alex, Alex
Crivilé, Crivilé
(, (
Honda, Honda
), )
,, ,
da, de o
Espanha, Espanha
,, ,
é, ser
quarto, quarto
com, com
48, 48
pontos, ponto
., .
Luca, Luca
Cadalora, Cadalora
(, (
Yamaha, Yamaha
), )
,, ,
da, de o
Itália, Itália
,, ,
está, estar
em, em
quinto, quinto
,, ,
com, com
46, 46
., .

, 

Na, em o
corrida, corrida
de, de
250, 250
cilindradas, cilindrada
,, ,
o, o
japonês, japonês
Tetsuya, Tetsuya
Harada, Harada
(, (
Yamaha, Yamaha
), )
ficou, ficar
em, em
primeiro, primeiro
lugar, lugar
., .

, 

O, o
alemão, alemão
Ralf, Ralf
Waldmann, Waldmann
(, (
Honda, Honda
), )
,, ,
vencedor, vencedor
de, de
duas, dois
das, de o
três, três
corridas, corrida
da, de o
categoria, categoria
disputadas, disputar
até, até
aqui, aqui
,, ,
liderou, liderar
a, o
maior, grande
parte, parte
do, de o
GP, GP
., .

, 

Ele, ele
acabou, acabar
sendo, ser
ultrapassado, ultrapassar
,, ,
no, em o
entanto, entanto
,, ,
pelo, por o
japonês, japonês
,, ,
que, que
disparou, disparar
no, em o
final, final
da, de o
corrida, corrida
., .

, 

O, o
atual, atual
campeão, campeão
do, de o
mundo, mundo
,, ,
o, o
italiano, italiano
Max, Max
Biaggi, Biaggi
(, (
Aprilia, Aprilia
), )
,, ,
ficou, ficar
em, em
segundo, segundo
., .

, 

O, o
terceiro, terceiro
foi, ser
o, o
espanhol, espanhol
Luis, Luis
D'Antin, D'Antin
(, (
Honda, Honda
), )
,, ,
que, que
pela, por o
primeira, primeira
vez, vez
subiu, subir
ao, a o
pódio, pódio
., .

, 

Na, em o
prova, prova
de, de
125, 125
cilindradas, cilindrada
,, ,
o, o
japonês, japonês
Haruchika, Haruchika
Aoki, Aoki
(, (
Honda, Honda
), )
venceu, vencer
em, em
chegada, chegada
emocionante, emocionante
,, ,
mantendo, manter
a, o
liderança, liderança
do, de o
Mundial, Mundial
da, de o
categoria, categoria
., .

, 

O, o
italiano, italiano
Stefano, Stefano
Perugini, Perugini
(, (
Aprilia, Aprilia
), )
foi, ser
ultrapassado, ultrapassar
pelo, por o
japonês, japonês
na, em o
reta, reta
final, final
., .

, 

