Sete, ﻿Sete
jogadores, jogador
do, de o
Santos, Santos
(, (
Edinho, Edinho
,, ,
Silva, Silva
,, ,
Gallo, Gallo
,, ,
Carlinhos, Carlinhos
,, ,
Giovanni, Giovanni
,, ,
Marcelo, Marcelo
Passos, Passos
e, e
Macedo, Macedo
), )
têm, ter
uma, um
preocupação, preocupação
extra, extra
para, para
o, o
jogo, jogo
de, de
domingo, domingo
,, ,
contra, contra
o, o
América, América
,, ,
em, em
São, São
José, José
do, de o
Rio, Rio
Preto, Preto
., .

, 

Todos, todo
estão, estar
com, com
dois, dois
cartões, cartão
amarelos, amarelo
., .
Se, se
receberem, receber
o, o
terceiro, terceiro
,, ,
ficam, ficar
suspensos, suspensos
do, de o
jogo, jogo
contra, contra
o, o
Juventus, Juventus
,, ,
na, em o
próxima, próximo
quinta-feira, quinta-feira
., .

, 

Nesse, em esse
caso, caso
,, ,
não, não
enfrentando, enfrentar
o, o
Juventus, Juventus
,, ,
esses, esse
jogadores, jogador
estariam, estar
livres, livre
para, para
jogar, jogar
contra, contra
o, o
Palmeiras, Palmeiras
,, ,
no, em o
domingo, domingo
,, ,
após, após
o, o
jogo, jogo
contra, contra
o, o
Juventus, Juventus
., .

, 

Esse, esse
raciocínio, raciocínio
pode, poder
levar, levar
os, o
sete, sete
titulares, titular
a, a
forçarem, forçar
o, o
terceiro, terceiro
cartão, cartão
., .
Para, para
o, o
técnico, técnico
Joãozinho, Joãozinho
,, ,
é, ser
`, `
`, `
fundamental, fundamental
'', ''
contar, contar
com, com
todos, todo
os, o
titulares, titular
no, em o
clássico, clássico
., .

, 

Joãozinho, Joãozinho
disse, dizer
que, que
a, o
situação, situação
é, ser
`, `
`, `
preocupante, preocupante
'', ''
., .
Porém, porém
,, ,
não, não
pretende, pretender
dar, dar
nenhuma, nenhum
orientação, orientação
para, para
que, que
esses, esse
titulares, titular
forcem, forcer
o, o
terceiro, terceiro
cartão, cartão
contra, contra
o, o
América, América
., .

, 

O, o
artilheiro, artilheiro
Marcelo, Marcelo
Passos, Passos
afirmou, afirmar
que, que
não, não
pretende, pretender
`, `
`, `
deliberadamente, deliberadamente
ser, ser
penalizado, penalizar
com, com
o, o
terceiro, terceiro
amarelo, amarelo
'', ''
no, em o
domingo, domingo
., .

, 

Ele, ele
disse, dizer
que, que
,, ,
se, se
acontecer, acontecer
,, ,
será, ser
por, por
`, `
`, `
circunstâncias, circunstância
da, de o
partida, partida
e, e
não, não
atitude, atitude
premeditada, premeditar
'', ''
., .

, 

`, `
`, `
O, o
clássico, clássico
contra, contra
o, o
Palmeiras, Palmeiras
será, ser
na, em o
Vila, vila
., .
Isso, isso
motivo, motivo
todos, todo
a, a
estarem, estar
presentes, presente
., .
Seria, ser
péssimo, péssimo
ficar, ficar
de, de
fora, fora
por, por
causa, causa
de, de
cartões, cartão
amarelos, amarelos
'', ''
,, ,
afirmou, afirmar
Passos, Passos
., .

, 

