Somente, ﻿Somente
após, após
uma, um
reunião, reunião
entre, entre
os, o
jogadores, jogador
e, e
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
,, ,
na, em o
presença, presença
do, de o
diretor, diretor
de, de
futebol, futebol
da, de o
Parmalat, Parmalat
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
foi, ser
encerrada, encerrar
a, o
crise, crise
do, de o
atraso, atraso
do, de o
pagamento, pagamento
dos, de o
prêmios, prêmio
por, por
vitórias, vitória
., .

, 

Os, o
depósitos, depósito
foram, ser
efetuados, efetuar
ontem, ontem
à, a o
tarde, tarde
,, ,
segundo, segundo
o, o
diretor, diretor
financeiro, financeiro
do, de o
Clube, Clube
,, ,
João, João
Russo, Russo
., .

, 

Ontem, ontem
,, ,
antes, antes
do, de o
treino, treino
do, de o
time, time
para, para
a, o
partida, partida
de, de
hoje, hoje
contra, contra
o, o
Novorizontino, Novorizontino
,, ,
os, o
jogadores, jogador
souberam, souberar
da, de o
suspensão, suspensão
de, de
15, 15
dias, dia
do, de o
atacante, atacante
Edmundo, Edmundo
e, e
o, o
saneamento, saneamento
da, de o
dívida, dívida
,, ,
resolvido, resolver
através, através
de, de
empréstimos, empréstimo
bancários, bancário
., .

, 

Antes, antes
da, de o
comunicação, comunicação
aos, a o
jogadores, jogador
,, ,
às, a o
9h20, 9h20
,, ,
o, o
atacante, atacante
Edmundo, Edmundo
foi, ser
convocado, convocar
à, a o
sala, sala
da, de o
diretoria, diretoria
do, de o
Centro, Centro
de, de
Treinamento, treinamento
da, de o
equipe, equipe
,, ,
na, em o
Barra, Barra
Funda, Funda
., .

, 

Lá, lá
,, ,
foi, ser
notificado, notificar
da, de o
suspensão, suspensão
por, por
15, 15
dias, dia
,, ,
o, o
que, que
acarretará, acarretar
o, o
pagamento, pagamento
somente, somente
da, de o
metade, metade
do, de o
salário, salário
mensal, mensal
do, de o
jogador, jogador
,, ,
que, que
é, ser
de, de
US$, US$
30, 30
mil, mil
., .

, 

Na, em o
quarta-feira, quarta-feira
,, ,
após, após
o, o
jogo, jogo
em, em
que, que
o, o
Palmeiras, Palmeiras
se, se
classificou, classificar
para, para
as, o
quartas-de-final, quartas-de-final
da, de o
Libertadores, Libertadores
,, ,
Edmundo, Edmundo
disse, dizer
que, que
os, o
dirigentes, dirigente
do, de o
Palmeiras, Palmeiras
deveriam, dever
tomar, tomar
`, `
`, `
vergonha, vergonha
na, em o
cara, cara
'', ''
., .

, 

Ele, ele
fez, fazer
críticas, crítica
ao, a o
gramado, gramado
do, de o
estádio, estádio
do, de o
clube, clube
e, e
à, a o
falta, falta
de, de
pagamento, pagamento
dos, de o
bichos, bicho
(, (
gratificação, gratificação
pelas, por o
vitórias, vitória
da, de o
equipe, equipe
), )
., .

, 

`, `
`, `
É, ser
uma, um
punição, punição
trabalhista, trabalhista
,, ,
portanto, portanto
não, não
haverá, haver
uma, um
remuneração, remuneração
pelo, por o
período, período
da, de o
suspensão, suspensão
'', ''
,, ,
disse, dizer
Brunoro, Brunoro
., .

, 

Os, o
dirigentes, dirigente
do, de o
clube, clube
e, e
da, de o
empresa, empresa
italiana, italiano
que, que
patrocina, patrocinar
o, o
time, time
decidiram, decidir
que, que
a, o
suspensão, suspensão
desobrigará, desobrigar
o, o
jogador, jogador
de, de
todas, todo
as, o
atividades, atividade
da, de o
equipe, equipe
durante, durante
15, 15
dias, dia
., .

, 

No, em o
período, período
,, ,
o, o
time, time
terá, ter
compromissos, compromisso
só, só
pelo, por o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

A, o
equipe, equipe
só, só
volta, voltar
a, a
jogar, jogar
a, a
Libertadores, Libertadores
,, ,
principal, principal
competição, competição
interclubes, interclubes
sul-americana, sul-americana
,, ,
no, em o
dia, dia
26, 26
de, de
julho, julho
,, ,
contra, contra
o, o
Grêmio, Grêmio
., .

, 

`, `
`, `
Ele, ele
está, estar
totalmente, totalmente
liberado, liberar
de, de
treinamento, treinamento
,, ,
podendo, poder
ir, ir
para, para
o, o
Rio, Rio
de, de
Janeiro, Janeiro
quando, quando
quiser, querer
'', ''
,, ,
disse, dizer
Brunoro, Brunoro
., .

, 

Para, para
Brunoro, Brunoro
,, ,
a, o
punição, punição
de, de
Edmundo, Edmundo
vai, ir
além, além
das, de o
queixas, queixa
do, de o
jogador, jogador
quanto, quanto
ao, a o
atraso, atraso
dos, de o
prêmios, prêmio
pelas, por o
vitórias, vitória
no, em o
Campeonato, Campeonato
Paulista, Paulista
e, e
na, em o
Taça, Taça
Libertadores, Libertadores
da, de o
América, América
., .

, 

`, `
`, `
O, o
que, que
aconteceu, acontecer
foi, ser
uma, um
situação, situação
de, de
ofensa, ofensa
., .
Aí, aí
ele, ele
não, não
só, só
feriu, ferir
a, o
diretoria, diretoria
do, de o
Palmeiras, Palmeiras
,, ,
como, como
todo, todo
o, o
grupo, grupo
de, de
jogadores, jogador
'', ''
,, ,
afirmou, afirmar
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
do, de o
Palmeiras, Palmeiras
,, ,
Alberto, Alberto
Strufaldi, Strufaldi
,, ,
classificou, classificar
as, o
declarações, declaração
de, de
Edmundo, Edmundo
após, após
o, o
jogo, jogo
com, com
o, o
