Vedete, ﻿Vedete
das, de o
500, 500
Milhas, milha
no, em o
ano, ano
passado, passado
,, ,
o, o
motor, motor
Mercedes, Mercedes
corre, correr
o, o
risco, risco
de, de
se, se
tornar, tornar
o, o
grande, grande
fiasco, fiasco
na, em o
prova, prova
deste, de este
ano, ano
., .

, 

O, o
desempenho, desempenho
dos, de o
propulsores, propulsor
nos, em o
primeiros, primeiro
treinos, treino
para, para
a, o
corrida, corrida
,, ,
se, se
não, não
foi, ser
totalmente, totalmente
criticado, criticar
,, ,
ao, a o
menos, menos
provocou, provocar
divergências, divergência
entre, entre
os, o
pilotos, piloto
., .

, 

No, em o
fim, fim
da, de o
sessão, sessão
de, de
sexta-feira, sexta-feira
,, ,
o, o
melhor, bom
resultado, resultado
de, de
um, um
carro, carro
impulsionado, impulsionar
por, por
um, um
Mercedes, Mercedes
em, em
toda, todo
a, o
semana, semana
foi, ser
a, o
média, média
de, de
368,96, 368,96
km/h, km/h
,, ,
obtida, obter
pelo, por o
brasileiro, brasileiro
Raul, Raul
Boesel, Boesel
., .

, 

Na, em o
sua, seu
frente, frente
havia, haver
quatro, quatro
carros, carro
com, com
propulsores, propulsor
da, de o
Menard, Menard
,, ,
oito, oito
da, de o
Ford, Ford
/, /
Cosworth, Cosworth
e, e
um, um
Honda, Honda
., .

, 

Boesel, Boesel
,, ,
no, em o
entanto, entanto
,, ,
preferiu, preferir
responsabilizar, responsabilizar
o, o
acerto, acerto
do, de o
carro, carro
pela, por o
diferença, diferença
de, de
mais, mais
de, de
6,5, 6,5
km/h, km/h
entre, entre
seu, seu
Rahal, Rahal
/, /
Hogan, Hogan
e, e
o, o
Menard, Menard
do, de o
holandês, holandês
Arie, Arie
Luyendyk, Luyendyk
,, ,
o, o
mais, mais
rápido, rápido
nos, em o
treinos, treino
., .

, 

`, `
`, `
O, o
problema, problema
é, ser
de, de
chassi, chassi
., .
O, o
carro, carro
está, estar
instável, instável
na, em o
entrada, entrada
das, de o
curvas, curva
., .
Podemos, poder
ganhar, ganhar
uns, um
2, 2
km/h, km/h
se, se
corrigirmos, corrigirr
isso, isso
'', ''
,, ,
afirmou, afirmar
., .

, 

O, o
brasileiro, brasileiro
Gil, Gil
de, de
Ferran, Ferran
,, ,
da, de o
Hall, Hall
Racing, Racing
,, ,
foi, ser
mais, mais
crítico, crítico
., .
Nas, em o
sessões, sessão
livres, livre
de, de
sexta-feira, sexta-feira
,, ,
ele, ele
teve, ter
dois, dois
motores, motor
quebrados, quebrado
., .

, 

`, `
`, `
O, o
carro, carro
não, não
embala, embalar
,, ,
precisa, precisar
ganhar, ganhar
mais, mais
velocidade, velocidade
nas, em o
retas, reta
'', ''
,, ,
disse, dizer
., .

, 

`, `
`, `
O, o
fato, fato
de, de
que, que
o, o
Mercedes, Mercedes
só, só
colocou, colocar
alguém, alguém
na, em o
14ª, 14ª
posição, posição
é, ser
indicativo, indicativo
de, de
que, que
alguma, algum
coisa, coisa
pode, poder
estar, estar
acontecendo, acontecer
'', ''
,, ,
declarou, declarar
., .

, 

Já, já
Emerson, Emerson
Fittipaldi, Fittipaldi
isentou, isentar
a, o
Mercedes, Mercedes
de, de
culpa, culpa
pelo, por o
mau, mau
desempenho, desempenho
dos, de o
Penske, Penske
durante, durante
a, o
semana, semana
., .

, 

`, `
`, `
Temos, ter
de, de
acertar, acertar
o, o
equilíbrio, equilíbrio
do, de o
carro, carro
,, ,
na, em o
aerodinâmica, aerodinâmico
e, e
suspensão, suspensão
., .
'', ''

, 

(, (
MT, MT
), )

, 

