Charles, ﻿Charles
Barkley, Barkley
,, ,
32, 32
,, ,
ala, alar
e, e
melhor, bom
jogador, jogador
do, de o
Phoenix, Phoenix
Suns, Suns
,, ,
anunciou, anunciar
sábado, sábado
,, ,
após, após
a, o
derrota, derrota
para, para
o, o
Houston, Houston
,, ,
a, o
sua, seu
decisão, decisão
de, de
abandonar, abandonar
a, o
liga, Liga
profissional, profissional
norte-americana, norte-americana
de, de
basquete, basquete
., .

, 

Considerado, considerar
um, um
dos, de o
melhores, bom
jogadores, jogador
da, de o
NBA, NBA
,, ,
Barkley, Barkley
ficou, ficar
conhecido, conhecido
por, por
seu, seu
temperamento, temperamento
explosivo, explosivo
e, e
truculência, truculência
verbal, verbal
., .

, 

Chegou, chegar
a, a
participar, participar
de, de
um, um
comercial, comercial
de, de
tênis, tênis
na, em o
TV, tv
no, em o
qual, qual
enfrenta, enfrentar
o, o
dinossauro, dinossauro
Godzilla, Godzilla
_, _
aliás, aliás
,, ,
um, um
de, de
seus, seu
apelidos, apelido
., .

, 

`, `
`, `
Muito, muito
provavelmente, provavelmente
,, ,
esta, este
foi, ser
a, o
minha, meu
última, último
partida, partida
'', ''
,, ,
declarou, declarar
., .

, 

Ao, a o
comentar, comentar
sua, seu
intenção, intenção
de, de
parar, parar
,, ,
Barkley, Barkley
negou, negar
que, que
a, o
eliminação, eliminação
este, este
ano, ano
tenha, ter
sido, ser
fundamental, fundamental
na, em o
sua, seu
decisão, decisão
., .

, 

A, o
equipe, equipe
do, de o
Estado, estado
do, de o
Arizona, Arizona
,, ,
que, que
vencia, vencer
a, o
série, série
por, por
3, 3
a, a
1, 1
,, ,
ficou, ficar
fora, fora
da, de o
disputa, disputa
do, de o
título, título
ao, a o
perder, perder
os, o
últimos, último
três, três
jogos, jogo
para, para
o, o
Houston, Houston
,, ,
atual, atual
campeão, campeão
da, de o
NBA, NBA
., .

, 

`, `
`, `
Acho, achar
que, que
esta, este
é, ser
a, o
hora, hora
., .
Sinto, Sinto
isso, isso
há, haver
seis, seis
meses, mês
'', ''
,, ,
afirmou, afirmar
., .

, 

Barkley, Barkley
,, ,
no, em o
entanto, entanto
,, ,
não, não
descartou, descartar
a, o
possibilidade, possibilidade
de, de
voltar, voltar
., .

, 

Nesta, em este
temporada, temporada
,, ,
Michael, Michael
Jordan, Jordan
,, ,
do, de o
Chicago, Chicago
Bulls, Bulls
,, ,
outro, outro
ídolo, ídolo
da, de o
liga, liga
,, ,
voltou, voltar
a, a
jogar, jogar
17, 17
meses, mês
depois, depois
de, de
deixar, deixar
o, o
esporte, esporte
., .

, 

Ao, ao
contrário, contrário
de, de
Jordan, Jordan
,, ,
que, que
ganhou, ganhar
três, três
títulos, título
,, ,
Barkley, Barkley
deixa, deixar
a, o
NBA, NBA
sem, sem
vencer, vencer
nenhum, nenhum
campeonato, campeonato
nos, em o
seus, seu
11, 11
anos, ano
de, de
carreira, carreira
profissional, profissional
., .

, 

Mas, mas
participou, participar
nove, nove
vezes, vez
do, de o
All-Star, All-Star
Game, Game
,, ,
o, o
jogo, jogo
que, que
reúne, reunir
os, o
melhores, bom
atletas, atleta
da, de o
temporada, temporada
em, em
andamento, andamento
., .

, 

Barkley, Barkley
e, e
Jerry, Jerry
Colangelo, Colangelo
,, ,
o, o
presidente, presidente
do, de o
Phoenix, Phoenix
Suns, Suns
,, ,
conversarão, conversar
esta, este
semana, semana
para, para
acertar, acertar
a, o
situação, situação
do, de o
jogador, jogador
., .

, 

`, `
`, `
Espero, esperar
que, que
,, ,
quando, quando
tenha, ter
tempo, tempo
para, para
pensar, pensar
,, ,
Barkley, Barkley
mude, Mude
de, de
idéia, idéia
'', ''
,, ,
disse, dizer
o, o
pivô, pivô
Danny, Danny
Schayes, Schayes
,, ,
companheiro, companheiro
de, de
time, time
., .
`, `
`, `
Se, se
fosse, ser
ele, ele
,, ,
jamais, jamais
me, eu
aposentadoria, aposentadoria
., .
'', ''

, 

