Sem, ﻿Sem
conseguir, conseguir
se, se
classificar, classificar
para, para
as, o
500, 500
Milhas, milha
,, ,
o, o
brasileiro, brasileiro
Emerson, Emerson
Fittipaldi, Fittipaldi
será, ser
apenas, apenas
uma, um
das, de o
cerca, cerca
de, de
400, 400
mil, mil
pessoas, pessoa
que, que
assistirão, assistir
à, a o
prova, prova
de, de
amanhã, amanhã
no, em o
Speedway, Speedway
de, de
Indianápolis, Indianápolis
., .

, 

E, e
,, ,
como, como
cada, cada
fã, fã
da, de o
corrida, corrida
,, ,
já, já
faz, fazer
suas, seu
apostas, aposta
para, para
o, o
vencedor, vencedor
., .

, 

`, `
`, `
Quem, quem
tem, ter
o, o
maior, grande
potencial, potencial
para, para
vencer, vencer
a, o
prova, prova
é, ser
Michael, Michael
Andretti, Andretti
'', ''
,, ,
disse, dizer
ele, ele
,, ,
ontem, ontem
., .

, 

`, `
`, `
Ele, ele
foi, ser
rápido, rápido
todas, todo
as, o
vezes, vez
que, que
foi, ir
para, para
a, o
pista, pista
e, e
um, um
carro, carro
muito, muito
bem, bem
preparado, preparar
'', ''
,, ,
afirmou, afirmar
., .

, 

Emerson, Emerson
ampliou, ampliar
seu, seu
leque, leque
de, de
apostas, aposta
,, ,
no, em o
entanto, entanto
., .
Para, para
o, o
piloto, piloto
,, ,
os, o
canadenses, canadense
Jacques, Jacques
Villeneuve, Villeneuve
e, e
Scott, Scott
Goodyear, Goodyear
,, ,
além, além
do, de o
holandês, holandês
Arie, Arie
Luyendyk, Luyendyk
_, _
se, se
o, o
motor, motor
Buick, Buick
resistir, resistir
_, _
,, ,
também, também
têm, ter
chances, chance
de, de
vencer, vencer
., .

, 

Dos, de o
brasileiros, brasileiro
,, ,
Emerson, Emerson
colocou, colocar
Mauricio, Mauricio
Gugelmin, Gugelmin
entre, entre
os, o
favoritos, favorito
., .
`, `
`, `
Pode, poder
surpreender, surpreender
,, ,
pois, pois
foi, ser
rápido, rápido
todos, todos
os, os
dias, dias
., .
'', ''

, 

O, o
piloto, piloto
,, ,
que, que
fará, fazer
alguns, algum
comentários, comentário
para, para
o, o
SBT, SBT
durante, durante
a, o
prova, prova
,, ,
amanhã, amanhã
,, ,
falou, falar
do, de o
fracasso, fracasso
de, de
sua, seu
equipe, equipe
na, em o
classificação, classificação
para, para
as, o
500, 500
Milhas, milha
., .

, 

`, `
`, `
Por, por
alguma, algum
razão, razão
do, de o
destino, destino
,, ,
não, não
era, ser
para, para
eu, eu
estar, estar
nessa, em esse
corrida, corrida
., .
Foi, ser
a, o
resposta, resposta
que, que
encontrei, encontrei
'', ''
,, ,
disse, dizer
Emerson, Emerson
., .

, 

O, o
brasileiro, brasileiro
chegaria, chegar
ontem, ontem
a, o
Indianápolis, Indianápolis
., .
No, em o
final, final
de, de
semana, semana
,, ,
ele, ele
e, e
seu, seu
companheiro, companheiro
de, de
equipe, equipe
,, ,
Al, Al
Unser, Unser
Jr., Jr.
,, ,
cumprirão, cumprir
compromissos, compromisso
com, com
patrocinadores, patrocinador
., .

, 

`, `
`, `
Roger, Roger
(, (
Penske, Penske
), )
disse, dizer
para, para
nós, nós
irmos, irr
para, para
casa, casa
., .
Mas, mas
decidimos, decidir
voltar, voltar
para, para
Indianápolis, Indianápolis
,, ,
apoiar, apoiar
o, o
time, time
'', ''
,, ,
contou, contar
., .

, 

Emerson, Emerson
vai, ir
aproveitar, aproveitar
para, para
dar, dar
alguns, algum
conselhos, conselho
aos, a o
estreantes, estreante
na, em o
corrida, corrida
., .
`, `
`, `
Meu, meu
alerta, alerta
a, a
eles, eles
é, ser
para, para
que, que
sejam, ser
pacientes, paciente
., .
'', ''

, 

`, `
`, `
Não, não
se, se
pode, poder
ser, ser
muito, muito
agressivo, agressivo
no, em o
início, início
da, de o
prova, prova
., .
Deve-se, Deve-se
lembrar, lembrar
que, que
é, ser
uma, um
corrida, corrida
longa, longo
,, ,
de, de
500, 500
milhas, milha
,, ,
em, em
que, que
é, ser
muito, muito
fácil, fácil
cometer, cometer
um, um
erro, erro
'', ''
,, ,
disse, dizer
., .

, 

