Além, ﻿Além
de, de
Emerson, Emerson
Fittipaldi, Fittipaldi
,, ,
outros, outro
dois, dois
brasileiros, brasileiro
tentam, tentar
se, se
classificar, classificar
para, para
as, o
500, 500
Milhas, milha
de, de
Indianápolis, Indianápolis
neste, em este
final, final
de, de
semana, semana
:, :
Christian, Christian
Fittipaldi, Fittipaldi
e, e
Marco, Marco
Greco, Greco
., .

, 

Na, em o
sessão, sessão
livre, livre
de, de
ontem, ontem
,, ,
Christian, Christian
tinha, ter
como, como
melhor, bom
média, média
horária, horário
as, o
227,998, 227,998
mph, mph
(, (
366,848, 366,848
km/h, km/h
), )
,, ,
obtidas, obtir
com, com
o, o
carro, carro
reserva, reserva
de, de
seu, seu
companheiro, companheiro
de, de
equipe, equipe
,, ,
Robby, Robby
Gordon, Gordon
., .

, 

Para, para
o, o
treino, treino
classificatório, classificatório
de, de
hoje, hoje
,, ,
o, o
brasileiro, brasileiro
vai, ir
copiar, copiar
o, o
acerto, acerto
do, de o
carro, carro
de, de
Gordon, Gordon
., .
Inclusive, Inclusive
algumas, algum
peças, peça
do, de o
carro, carro
do, de o
norte-americano, norte-americano
seriam, ser
usadas, usar
no, em o
de, de
Christian, Christian
., .

, 

`, `
`, `
Os, o
próprios, próprio
mecânicos, mecânico
dele, de ele
vão, ir
fazer, fazer
o, o
acerto, acerto
,, ,
para, para
que, que
os, o
carros, carro
fiquem, ficar
idênticos, idêntico
'', ''
,, ,
falou, falar
o, o
brasileiro, brasileiro
,, ,
que, que
não, não
conseguiu, conseguir
acertar, acertar
seu, seu
carro, carro
nesta, em este
semana, semana
., .

, 

Já, Já
Marco, Marco
Greco, Greco
obteve, obter
ontem, ontem
a, o
média, média
de, de
226,843, 226,843
mph, Mph
(, (
364,990, 364,990
km/h, km/h
), )
., .

, 

`, `
`, `
Gostei, Gostei
do, de o
carro, carro
., .
Se, se
o, o
tempo, tempo
estiver, estar
bom, bom
amanhã, amanhã
(, (
hoje, hoje
), )
de, de
manhã, manhã
,, ,
já, já
vou, ir
tentar, tentar
a, o
classificação, classificação
cedo, cedo
'', ''
,, ,
afirmou, afirmar
., .

, 

Com, com
uma, um
vaga, vaga
no, em o
grid, grid
provisório, provisório
,, ,
mas, mas
com, com
o, o
segundo, segundo
pior, mau
tempo, tempo
entre, entre
os, o
25, 25
carros, carro
já, já
alinhados, alinhar
,, ,
o, o
brasileiro, brasileiro
Gil, Gil
de, de
Ferran, Ferran
disse, dizer
ontem, ontem
não, não
acreditar, acreditar
que, que
sua, seu
classificação, classificação
esteja, estar
ameaçada, ameaçado
., .

, 

`, `
`, `
Não, não
acho, achar
que, que
haja, haver
gente, gente
suficiente, suficiente
para, para
nos, nós
tirar, tirar
., .
E, e
,, ,
se, se
houver, haver
,, ,
estamos, estar
rápidos, rápido
o, o
bastante, bastante
para, para
dar, dar
a, o
resposta, resposta
'', ''
,, ,
afirmou, afirmar
., .

, 

Maurício, Maurício
Gugelmin, Gugelmin
,, ,
Raul, Raul
Boesel, Boesel
e, e
André, André
Ribeiro, Ribeiro
,, ,
todos, todo
já, já
classificados, classificar
,, ,
aproveitaram, aproveitar
a, o
sessão, sessão
livre, livre
de, de
ontem, ontem
para, para
ajustar, ajustar
seus, seu
carros, carro
para, para
a, o
corrida, corrida
., .

, 

Os, o
dois, dois
últimos, último
,, ,
aliás, aliás
,, ,
terminaram, terminar
seus, seu
trabalhos, trabalho
ontem, ontem
à, a o
tarde, tarde
., .
`, `
`, `
Agora, agora
,, ,
vou, ir
aproveitar, aproveitar
o, o
tempo, tempo
livre, livre
para, para
curtir, curtir
um, um
pouco, pouco
e, e
cumprir, cumprir
alguns, algum
compromissos, compromisso
com, com
patrocinadores, patrocinador
'', ''
,, ,
disse, dizer
Ribeiro, Ribeiro
., .

, 

(, (
MT, MT
), )

, 

