Vinte, ﻿Vinte
e, e
nove, nove
dias, dia
após, após
extirpar, extirpar
um, um
cisto, cisto
de, de
mais, mais
de, de
dois, dois
quilos, quilo
do, de o
ovário, ovário
,, ,
a, o
brasileira, brasileira
Maria, Maria
Magnólia, Magnólia
,, ,
31, 31
,, ,
obteve, obter
ontem, ontem
o, o
segundo, segundo
lugar, lugar
na, em o
prova, prova
dos, de o
400, 400
m, m
rasos, raso
., .

, 

Ela, ela
fez, fazer
o, o
tempo, tempo
de, de
53s70, 53s70
,, ,
bem, bem
acima, acima
do, de o
seu, seu
recorde, recorde
nacional, nacional
,, ,
50s62, 50s62
., .
A, o
colombiana, colombiana
Ximena, Ximena
Restrepo, Restrepo
,, ,
26, 26
,, ,
venceu, vencer
a, o
prova, prova
de, de
ontem, ontem
,, ,
com, com
52s25, 52s25
., .

, 

`, `
`, `
Sinto-me, Sinto-me
vitoriosa, vitorioso
só, só
por, por
ter, ter
chegado, chegar
aqui, aqui
e, e
corrido, correr
'', ''
,, ,
disse, dizer
Magnólia, Magnólia
., .
Os, o
médicos, médico
foram, ser
contrários, contrário
à, a o
sua, seu
volta, volta
imediata, imediato
às, a o
competições, competição
., .

, 

`, `
`, `
Eles, eles
queriam, querer
que, que
eu, eu
ficasse, ficar
parada, parada
entre, entre
dois, dois
e, e
três, três
meses, mês
'', ''
,, ,
contou, contar
., .
Mas, mas
ela, ela
treinou, treinar
já, já
na, em o
última, último
quarta-feira, quarta-feira
,, ,
voltou, voltar
a, a
correr, correr
na, em o
sexta, sexta
e, e
ontem, ontem
competiu, competir
., .

, 

`, `
`, `
Consegui, Consegui
vencer, vencer
uma, um
barreira, barreira
importante, importante
,, ,
pouca, pouco
gente, gente
acreditava, acreditar
que, que
eu, eu
conseguiria, conseguir
., .
Por, por
que, que
eu, eu
não, não
deveria, dever
me, eu
dar, dar
uma, um
chance, chance
de, de
chegar, chegar
até, até
aqui, aqui
?, ?
'', ''

, 

No, em o
dia, dia
das, de o
mães, mães
,, ,
Magnólia, Magnólia
ofereceu, oferecer
sua, seu
volta, volta
para, para
a, o
filha, filha
,, ,
Luísa, Luísa
,, ,
de, de
10, 10
anos, ano
., .
`, `
`, `
O, o
que, que
fiz, fiz
hoje, hoje
foi, ser
por, por
ela, ela
,, ,
que, que
me, eu
incentivou, incentivar
., .
'', ''

, 

Até, até
às, a o
16h, 16h
,, ,
a, o
corredora, corredora
não, não
havia, haver
conseguido, conseguir
falar, falar
com, com
a, o
filha, filha
,, ,
devido, devido
ao, a o
congestionamento, congestionamento
das, de o
linhas, linha
telefônicas, telefônico
., .

, 

O, o
cisto, cisto
de, de
Magnólia, Magnólia
foi, ser
diagnosticado, diagnosticar
no, em o
mês, mês
passado, passado
,, ,
depois, depois
de, de
um, um
tempo, tempo
em, em
que, que
ela, ela
pensava, pensar
ter, ter
sangramentos, sangramento
devido, devido
a, a
problemas, problema
gástricos, gástrico
., .

, 

Até, até
Magnólia, Magnólia
achava, achar
que, que
seria, ser
difícil, difícil
correr, correr
ontem, ontem
., .
Disse, dizer
aos, a o
organizadores, organizador
do, de o
torneio, torneio
para, para
não, não
lhe, ele
enviarem, enviar
a, o
passagem, passagem
da, de o
Natal, Natal
(, (
RN, RN
), )
,, ,
onde, onde
mora, morar
,, ,
para, para
São, São
Paulo, Paulo
., .
`, `
`, `
Paguei, Paguei
do, de o
próprio, próprio
bolso, bolso
., .
Só, só
aceito, aceitar
ser, ser
reembolsada, reembolsar
agora, agora
,, ,
porque, porque
consegui, conseguir
correr, correr
., .
'', ''

, 

(, (
MM, MM
), )

, 

