Vendido, ﻿Vender
ao, a o
Valencia, Valencia
,, ,
da, de o
Espanha, Espanha
,, ,
por, por
US$, US$
4, 4
milhões, milhão
_US$, _US$
2,8, 2,8
milhões, milhão
para, para
o, o
Corinthians, Corinthians
e, e
US$, US$
1,2, 1,2
milhão, milhão
para, para
ele, ele
_, _
,, ,
o, o
atacante, atacante
Viola, Viola
afirmou, afirmar
ontem, ontem
que, que
preferia, preferir
continuar, continuar
no, em o
Parque, Parque
São, São
Jorge, Jorge
., .

, 

`, `
`, `
Estou, estar
indo, ir
embora, embora
contra, contra
a, o
minha, meu
vontade, vontade
'', ''
,, ,
disse, dizer
., .

, 

`, `
`, `
O, o
Viola, Viola
tem, ter
que, que
levar, levar
em, em
conta, conta
o, o
lado, lado
profissional, profissional
., .
A, o
proposta, proposta
que, que
recebemos, receber
é, ser
irrecusável, irrecusável
tanto, tanto
para, para
o, o
Corinthians, Corinthians
como, como
para, para
ele, ele
'', ''
,, ,
justificou, justificar
José, José
Mansur, Mansur
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

Viola, Viola
permanece, permanecer
no, em o
clube, clube
apenas, apenas
até, até
o, o
final, final
do, de o
Paulista, paulista
e, e
jogará, jogar
protegido, protegir
por, por
um, um
seguro, seguro
., .

, 

Folha, Folha
-, -
Você, você
está, estar
satisfeito, satisfeito
com, com
a, o
sua, seu
transferência, transferência
?, ?

, 

Viola, Viola
-, -
Estou, estar
ansioso, ansioso
,, ,
nervoso, nervoso
e, e
triste, tristir
por, por
deixar, deixar
o, o
Corinthians, Corinthians
., .
É, ser
o, o
clube, clube
onde, onde
eu, eu
cresci, crescir
e, e
que, que
aprendi, aprender
a, a
amar, amar
., .
Sair, Sair
daqui, de aqui
é, ser
uma, um
mudança, mudança
grande, grande
de, de
vida, vida
., .
É, ser
uma, um
situação, situação
chata, chato
,, ,
mas, mas
tenho, ter
que, que
pensar, pensar
no, em o
lado, lado
profissional, profissional
., .

, 

Folha, Folha
-, -
Você, você
preferia, preferir
ficar, ficar
?, ?

, 

Viola, Viola
-, -
Essa, esse
sempre, sempre
foi, ser
a, o
minha, meu
intenção, intenção
., .
Renovaria, Renovaria
o, o
contrato, contrato
com, com
o, o
Corinthians, Corinthians
por, por
mais, mais
dois, dois
ou, ou
três, três
anos, ano
pelo, por o
mesmo, mesmo
salário, salário
que, que
recebo, receber
hoje, hoje
., .

, 

Estou, estar
indo, ir
contra, contra
a, o
minha, meu
vontade, vontade
., .
Me, Me
pegaram, pegar
de, de
calça, calça
curta, curto
., .
Fizeram, Fizeram
a, o
negociação, negociação
e, e
agora, agora
não, não
tem, ter
mais, mais
jeito, jeito
., .
Ela, ela
não, não
deveria, dever
acontecer, acontecer
., .

, 

Folha, Folha
-, -
Mas, mas
você, você
vai, ir
ganhar, ganhar
muito, muito
dinheiro, dinheiro
na, em o
transação, transação
..., ...

, 

Viola, Viola
-, -
Na, em o
verdade, verdade
,, ,
o, o
negócio, negócio
só, só
está, estar
acertado, acertado
com, com
o, o
Corinthians, Corinthians
., .
Comigo, Comigo
,, ,
ainda, ainda
faltam, faltar
muitos, muito
detalhes, detalhe
para, para
resolver, resolver
., .

, 

Eu, eu
ainda, ainda
não, não
assinei, assinar
o, o
contrato, contrato
de, de
três, três
anos, ano
e, e
não, não
vou, ir
receber, receber
US$, US$
1,2, 1,2
milhão, milhão
como, como
estão, estar
dizendo, dizer
., .
Só, só
viajo, viajo
para, para
Valencia, Valencia
quando, quando
estiver, estar
tudo, tudo
certinho, certinho
., .

, 

Folha, Folha
-, -
Caso, caso
tudo, tudo
seja, ser
definido, definir
,, ,
você, você
continua, continuar
jogando, jogar
pelo, por o
Corinthians, Corinthians
até, até
agosto, agosto
?, ?

, 

Viola, Viola
-, -
Sim, sim
., .
A, o
torcida, torcida
pode, poder
ficar, ficar
tranquila, tranquilo
porque, porque
,, ,
mesmo, mesmo
vendido, vender
,, ,
vou, ir
até, até
bater, bater
a, o
cabeça, cabeça
na, em o
trave, trave
e, e
comer, comer
grama, grama
,, ,
se, se
possível, possível
já, já
contra, contra
o, o
XV, XV
de, de
Piracicaba, Piracicaba
,, ,
quarta-feira, quarta-feira
., .

, 

Não, não
consegui, conseguir
repetir, repetir
o, o
meu, meu
futebol, futebol
desde, desde
a, o
Copa, copa
justamente, justamente
por, por
essa, esse
negociação, negociação
enrolada, enrolar
., .
Eu, eu
não, não
tinha, ter
paz, paz
para, para
jogar, jogar
bola, bola
., .

, 

