Empolgado, ﻿Empolgar
com, com
a, o
conquista, conquista
da, de o
medalha, medalha
de, de
ouro, ouro
nos, em o
Jogos, Jogos
Pan-Americanos, Pan-Americanos
da, de o
Argentina, Argentina
,, ,
em, em
março, março
último, último
,, ,
o, o
brasileiro, brasileiro
Joaquim, Joaquim
Cruz, Cruz
é, ser
favorito, favorito
para, para
a, o
vitória, vitória
nos, em o
1.500, 1.500
m, m
,, ,
amanhã, amanhã
,, ,
no, em o
Ibirapuera, Ibirapuera
., .

, 

A, o
volta, volta
ao, a o
pódio, pódio
no, em o
Pan, Pan
,, ,
com, com
a, o
marca, marca
de, de
3min40s06, 3min40s06
,, ,
serviu, servir
como, como
estímulo, estímulo
psicológico, psicológico
para, para
Cruz, Cruz
,, ,
que, que
se, se
debateu, debater
contra, contra
contusões, contusão
nos, em o
últimos, último
quatro, quatro
anos, ano
., .

, 

Agora, agora
,, ,
ele, ele
tem, ter
como, como
objetivo, objetivo
conseguir, conseguir
o, o
índice, índice
para, para
disputar, disputar
o, o
Campeonato, Campeonato
Mundial, Mundial
na, em o
Suécia, Suécia
,, ,
em, em
agosto, agosto
., .
Quer, querer
marcar, marcar
3min38s, 3min38s
., .

, 

O, o
meta, meta
estabelecida, estabelecer
é, ser
baixar, baixar
ainda, ainda
mais, mais
o, o
tempo, tempo
no, em o
Mundial, Mundial
., .
Ele, ele
se, se
diz, dizer
bem, bem
preparado, preparar
., .

, 

Outro, outro
brasileiro, brasileiro
,, ,
José, José
Mauro, Mauro
Valente, Valente
,, ,
é, ser
um, um
dos, de o
fortes, forte
adversários, adversário
de, de
Cruz, Cruz
na, em o
prova, prova
,, ,
que, que
contará, contar
com, com
apenas, apenas
dois, dois
estrangeiros, estrangeiro
,, ,
o, o
angolano, angolano
João, João
N'Tiamba, N'Tiamba
e, e
o, o
chileno, chileno
Pablo, Pablo
Squella, Squella
., .

, 

Cruz, Cruz
também, também
tentará, tentar
o, o
índice, índice
para, para
o, o
Mundial, Mundial
nos, em o
800, 800
m, m
(, (
1min40s, 1min40s
), )
,, ,
prova, prova
na, em o
qual, qual
foi, ser
campeão, campeão
olímpico, olímpico
em, em
84, 84
., .

, 

(, (
EA, EA
e, e
MM, MM
), )

, 

