Derrotar, ﻿Derrotar
o, o
Palmeiras, Palmeiras
,, ,
manter, manter
a, o
invencibilidade, invencibilidade
em, em
clássicos, clássico
e, e
se, se
aproximar, aproximar
do, de o
líder, líder
do, de o
campeonato, campeonato
,, ,
o, o
São, São
Paulo, Paulo
., .
Esses, esse
são, ser
os, o
objetivos, objetivo
do, de o
Santos, Santos
na, em o
partida, partida
de, de
hoje, hoje
,, ,
na, em o
Vila, Vila
Belmiro, Belmiro
., .

, 

Entre, entre
os, o
jogadores, jogador
,, ,
o, o
clima, clima
é, ser
de, de
decisão, decisão
de, de
campeonato, campeonato
., .

, 

", "
A, o
equipe, equipe
fez, fazer
um, um
pacto, pacto
pela, por o
vitória, vitória
., .
Qualquer, qualquer
outro, outro
resultado, resultado
está, estar
fora, fora
de, de
nossos, nosso
planos, plano
'', ''
,, ,
disse, dizer
o, o
atacante, atacante
Macedo, Macedo
,, ,
que, que
retorna, retornar
ao, a o
time, time
santista, santista
após, após
ter, ter
cumprido, cumprir
suspensão, suspensão
automática, automático
., .

, 

O, o
único, único
desfalque, desfalque
será, ser
o, o
zagueiro, zagueiro
Narciso, Narciso
,, ,
suspenso, suspender
., .

, 

O, o
treinador, treinador
Joãozinho, Joãozinho
decidiu, decidir
manter, manter
a, o
defesa, defesa
que, que
enfrentou, enfrentar
o, o
Juventus, Juventus
na, em o
última, último
quinta-feira, quinta-feira
,, ,
na, em o
Vila, Vila
Belmiro, Belmiro
,, ,
quando, quando
o, o
Santos, Santos
venceu, vencer
por, por
2, 2
a, a
0, 0
., .

, 

Silva, Silva
será, ser
o, o
lateral-direito, lateral-direito
., .
Moura, Moura
e, e
Marcelo, Marcelo
Fernandes, Fernandes
formam, formar
a, o
dupla, dupla
de, de
zaga, zaga
,, ,
enquanto, enquanto
Marcos, Marcos
Paulo, Paulo
será, ser
o, o
lateral-esquerdo, lateral-esquerdo
., .

, 

", "
Não, não
há, haver
motivo, motivo
para, para
alterações, alteração
., .
O, o
setor, setor
atuou, atuar
muito, muito
bem, bem
na, em o
quinta, quinta
,, ,
dando, dar
confiança, confiança
ao, a o
resto, resto
do, de o
time, time
'', ''
,, ,
afirmou, afirmar
Joãozinho, Joãozinho
., .

, 

Quanto, quanto
ao, a o
esquema, esquema
tático, tático
,, ,
ele, ele
foi, ser
categórico, categórico
., .
`, `
`, `
O, o
Santos, Santos
joga, jogar
ofensivamente, ofensivamente
., .
'', ''

, 

Para, para
manter, manter
a, o
equipe, equipe
com, com
o, o
ataque, ataque
entre, entre
os, o
mais, mais
positivos, positivo
do, de o
campeonato, campeonato
_, _
o, o
Santos, Santos
tem, ter
39, 39
gols, gol
em, em
22, 22
jogos, jogo
_, _
,, ,
Joãozinho, Joãozinho
deposita, depositar
suas, seu
esperanças, esperança
na, em o
dupla, dupla
Giovanni-Marcelo, Giovanni-Marcelo
Passos, Passos
., .
Cada, cada
um, um
marcou, marcar
12, 12
gols, gol
no, em o
torneio, torneio
., .

, 

", "
O, o
Santos, Santos
atravessa, atravessar
um, um
momento, momento
excelente, excelente
., .
Somos, Somos
o, o
único, único
time, time
do, de o
campeonato, campeonato
que, que
possui, possuir
dois, dois
jogadores, jogador
brigando, brigar
pela, por o
artilharia, artilharia
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
santista, santista
., .

, 

Como, como
no, em o
ataque, ataque
o, o
time, time
não, não
preocupa, preocupar
,, ,
Joãozinho, Joãozinho
decidiu, decidir
voltar, voltar
suas, seu
atenções, atenção
para, para
o, o
sistema, sistema
de, de
