Dirigentes, ﻿Dirigentes
do, de o
Corinthians, Corinthians
viajam, viajam
ainda, ainda
esta, este
semana, semana
para, para
Valencia, Valencia
(, (
Espanha, Espanha
), )
para, para
concluir, concluir
as, o
negociações, negociação
da, de o
venda, venda
do, de o
passe, passe
do, de o
atacante, atacante
Viola, Viola
com, com
o, o
time, time
local, local
., .

, 

`, `
`, `
Vamos, ir
colocar, colocar
o, o
preto, preto
no, em o
branco, branco
'', ''
,, ,
disse, dizer
José, José
Mansur, Mansur
Farah, Farah
,, ,
vice-presidente, vice-presidente
., .

, 

Mas, mas
o, o
time, time
japonês, japonês
do, de o
Yomiuri, Yomiuri
Verdy, Verdy
Kawasaki, Kawasaki
entra, entrar
na, em o
disputa, disputa
por, por
Viola, Viola
., .
O, o
clube, clube
estaria, estar
disposto, disposto
a, a
superar, superar
a, o
proposta, proposta
espanhola, espanhol
., .

, 

O, o
meia, meia
Souza, Souza
faz, fazer
um, um
teste, teste
hoje, hoje
pela, por o
manhã, manhã
para, para
saber, saber
se, se
enfrenta, enfrentar
o, o
São, São
Paulo, Paulo
,, ,
domingo, domingo
,, ,
no, em o
Pacaembu, Pacaembu
., .

, 

O, o
jogador, jogador
está, estar
em, em
tratamento, tratamento
desde, desde
12, 12
de, de
abril, abril
,, ,
quando, quando
teve, ter
uma, um
entorse, entorse
no, em o
tornozelo, tornozelo
direito, direito
no, em o
jogo, jogo
com, com
o, o
Rio, Rio
Branco, Branco
,, ,
no, em o
Acre, Acre
., .

, 

Anteontem, anteontem
,, ,
o, o
Corinthians, Corinthians
empatou, empatar
(, (
0, 0
a, a
0, 0
), )
com, com
o, o
Paraná, Paraná
,, ,
em, em
Curitiba, Curitiba
,, ,
no, em o
primeiro, primeiro
jogo, jogo
pelas, por o
quartas-de-final, quarta-de-final
da, de o
Copa, copa
do, de o
Brasil, Brasil
(, (
torneio, torneio
que, que
garante, garantir
ao, a o
campeão, campeão
uma, um
vaga, vaga
na, em o
Taça, Taça
Libertadores, Libertadores
,, ,
no, em o
próximo, próximo
ano, ano
), )
., .

, 

(, (
WBJr, WBJr
., .
), )

, 

