Ayrton, ﻿Ayrton
Senna, Senna
morreu, morrer
há, haver
372, 372
dias, dia
ao, a o
bater, bater
seu, seu
Williams, Williams
na, em o
curva, curva
Tamburello, Tamburello
do, de o
circuito, circuito
de, de
Imola, Imola
,, ,
durante, durante
o, o
Grande, Grande
Prêmio, Prêmio
de, de
San, San
Marino, Marino
de, de
Fórmula-1, Fórmula-1
., .

, 

Razões, Razões
econômicas, econômico
levaram, levar
a, o
Justiça, justiça
italiana, italiano
a, a
ocultar, ocultar
as, o
investigações, investigação
e, e
a, a
estender, estender
,, ,
sucessivamente, sucessivamente
,, ,
o, o
prazo, prazo
para, para
apresentar, apresentar
as, o
conclusões, conclusão
., .

, 

A, o
imprensa, imprensa
procurou, procurar
romper, romper
o, o
cerco, cerco
do, de o
inquérito, inquérito
., .

, 

A, o
Folha, folha
revelou, revelar
,, ,
em, em
26, 26
de, de
junho, junho
,, ,
que, que
um, um
problema, problema
mecânico, mecânico
causou, causar
o, o
acidente, acidente
., .
Teve, Teve
acesso, acesso
aos, a o
documentos, documento
da, de o
perícia, perícia
da, de o
Universidade, Universidade
de, de
Bolonha, Bolonha
e, e
relatou, relatar
aos, a o
leitores, leitor
,, ,
em, em
primeira, primeiro
mão, mão
,, ,
que, que
a, o
barra, barra
de, de
direção, direção
havia, haver
quebrado, quebrar
., .

, 

A, o
TV, tv
francesa, francês
TF1, TF1
afastou, afastar
a, o
hipótese, hipótese
de, de
erro, erro
de, de
pilotagem, pilotagem
,, ,
calculando, calcular
que, que
Senna, Senna
freou, frear
e, e
tentou, tentar
mudar, mudar
o, o
trajeto, trajeto
do, de o
carro, carro
antes, antes
de, de
bater, bater
., .

, 

A, o
Rede, Rede
Globo, Globo
mostrou, mostrar
,, ,
pela, por o
primeira, primeira
vez, vez
,, ,
as, o
imagens, imagem
do, de o
capacete, capacete
_, _
indicando, indicar
o, o
ponto, ponto
perfurado, perfurar
no, em o
choque, choque
., .

, 

A, o
revista, revista
italiana, italiano
`, `
`, `
AutoSprint, AutoSprint
'', ''
revelou, revelar
em, em
janeiro, janeiro
que, que
a, o
barra, barra
da, de o
direção, direção
,, ,
alterada, alterar
a, a
pedido, pedido
de, de
Senna, Senna
,, ,
rachou, rachar
exatamente, exatamente
no, em o
local, local
de, de
um, um
remendo, remendo
., .

, 

No, em o
domingo, domingo
retrasado, retrasado
,, ,
`, `
`, `
Veja, Veja
'', ''
quis, querer
dar, dar
sua, seu
`, `
`, `
contribuição, contribuição
'', ''
., .
O, o
resultado, resultado
foi, ser
um, um
desserviço, desserviço
a, a
seus, seu
leitores, leitor
., .

, 

A, o
revista, revista
camuflou, camuflar
informações, informação
divulgadas, divulgar
quase, quase
um, um
ano, ano
antes, antes
pela, por o
imprensa, imprensa
brasileira, brasileiro
., .

, 

Especialmente, especialmente
,, ,
apresentou, apresentar
como, como
`, `
`, `
novas, novo
'', ''
as, o
conclusões, conclusão
da, de o
`, `
`, `
AutoSprint, AutoSprint
'', ''
., .

, 

Infelizmente, infelizmente
,, ,
um, um
dos, de o
leitores, leitor
fascinados, fascinar
pelo, por o
embuste, embuste
foi, ser
o, o
ombudsman, ombudsman
da, de o
Folha, Folha
., .

, 

Em, em
sua, seu
crítica, crítica
interna, interno
da, de o
segunda-feira, segunda-feira
,, ,
dia, dia
1º, 1º
,, ,
Marcelo, Marcelo
Leite, Leite
citou, citar
a, o
reportagem, reportagem
como, como
exemplo, exemplo
de, de
jornalismo, jornalismo
,, ,
suposta, supostar
antítese, antítese
da, de o
cobertura, cobertura
`, `
`, `
chorosa, choroso
'', ''
dos, de o
jornais, jornal
diários, diário
., .

, 

No, em o
mesmo, mesmo
dia, dia
,, ,
recebeu, receber
deste, de este
editor, editor
uma, um
resposta, resposta
,, ,
acompanhada, acompanhar
de, de
algumas, algum
das, de o
reportagens, reportagem
publicadas, publicar
pela, por o
Folha, folha
,, ,
por, por
outros, outro
jornais, jornal
e, e
pela, por o
`, `
`, `
AutoSprint, AutoSprint
'', ''
., .

, 

Os, o
textos, texto
mostravam, mostrar
que, que
a, o
`, `
`, `
Veja, Veja
'', ''
mentira, mentira
a, a
seus, seu
leitores, leitor
., .

, 

No, em o
domingo, domingo
,, ,
no, em o
entanto, entanto
,, ,
o, o
ombudsman, ombudsman
voltou, voltar
ao, a o
tema, tema
., .
Em, em
sua, seu
coluna, coluna
no, em o
Folhão, Folhão
,, ,
admitiu, admitir
ter, ter
errado, errar
nos, em o
elogios, elogio
., .
Mas, mas
tentou, tentar
minimizar, minimizar
a, o
picaretagem, picaretagem
do, de o
semanário, semanário
brasileiro, brasileiro
e, e
garimpar, garimpar
virtudes, virtude
no, em o
emaranhado, emaranhado
de, de
decalques, decalque
., .

, 

Para, para
isso, isso
,, ,
satisfez-se, satisfez-se
em, em
cotejar, cotejar
o, o
texto, texto
da, de o
`, `
`, `
Veja, Veja
'', ''
com, com
duas, dois
das, de o
mais, mais
de, de
20, 20
reportagens, reportagem
da, de o
série, série
publicada, publicar
pela, por o
`, `
`, `
AutoSprint, AutoSprint
'', ''
_, _
as, o
duas, dois
fornecidas, fornecida
por, por
este, este
editor, editor
., .

, 

Tivesse, Tivesse
pesquisado, pesquisar
o, o
assunto, assunto
um, um
pouco, pouco
mais, mais
a, a
fundo, fundo
,, ,
ou, ou
então, então
consultado, consultar
alguém, alguém
que, que
acompanhe, acompanhar
o, o
automobilismo, automobilismo
,, ,
não, não
teria, ter
cometido, cometer
novos, novo
erros, erro
., .

, 

De, de
sua, seu
leitura, leitura
,, ,
alinhavou, alinhavar
dez, dez
detalhes, detalhe
que, que
considerou, considerar
`, `
`, `
exclusivos, exclusivo
'', ''
da, de o
`, `
`, `
Veja, Veja
'', ''
., .

, 

Entre, entre
eles, eles
,, ,
o, o
fato, fato
de, de
que, que
o, o
Williams, Williams
registrou, registrar
desaceleração, desaceleração
de, de
40, 40
%, %
antes, antes
de, de
bater, bater
., .
A, o
`, `
`, `
novidade, novidade
'', ''
de, de
que, que
Senna, Senna
freou, frear
fora, fora
divulgada, divulgar
pela, por o
própria, próprio
equipe, equipe
25, 25
dias, dia
depois, depois
do, de o
acidente, acidente
., .
Foi, ser
destacada, destacar
na, em o
Primeira, Primeira
Página, Página
da, de o
Folha, Folha
na, em o
edição, edição
de, de
26, 26
de, de
maio, maio
., .
A, o
desaceleração, desaceleração
(, (
de, de
310, 310
km/h, km/h
para, para
200, 200
km/h, km/h
), )
foi, ser
revelada, revelar
no, em o
mês, mês
seguinte, seguinte
., .

, 

Outra, outro
`, `
`, `
novidade, novidade
'', ''
para, para
Leite, Leite
:, :
a, o
de, de
que, que
a, o
barra, barra
da, de o
direção, direção
fora, ser
remendada, remendar
dois, dois
meses, mês
antes, antes
do, de o
GP, GP
., .
O, o
leitor, leitor
da, de o
Folha, folha
soube, saber
disso, de isso
em, em
janeiro, janeiro
., .

, 

Também, também
seria, ser
uma, um
revelação, revelação
a, o
advertência, advertência
de, de
Senna, Senna
,, ,
poucos, pouco
dias, dia
antes, antes
da, de o
corrida, corrida
,, ,
sobre, sobre
vibrações, vibração
no, em o
seu, seu
carro, carro
., .
A, o
notícia, notícia
estava, estar
na, em o
Folha, Folha
de, de
2, 2
de, de
maio, maio
,, ,
um, um
dia, dia
após, após
a, o
morte, morte
do, de o
piloto, piloto
!, !

, 

Mais, mais
:, :
segundo, segundo
o, o
ombudsman, ombudsman
,, ,
outro, outro
mérito, mérito
da, de o
`, `
`, `
Veja, Veja
'', ''
teria, ter
sido, ser
o, o
de, de
atribuir, atribuir
a, a
especialistas, especialista
da, de o
Universidade, Universidade
de, de
Bolonha, Bolonha
a, o
conclusão, conclusão
de, de
que, que
o, o
asfalto, asfalto
não, não
foi, ser
responsável, responsável
pelo, por o
acidente, acidente
., .
Em, em
junho, junho
,, ,
Williams, Williams
,, ,
organizadores, organizador
do, de o
GP, GP
,, ,
família, família
de, de
Senna, Senna
e, e
Justiça, justiça
italiana, italiano
já, já
haviam, haver
descartado, descartar
a, o
hipótese, hipótese
., .

, 

Leite, Leite
foi, ir
além, além
e, e
apontou, apontar
arrogância, arrogância
dos, de o
grandes, grande
jornais, jornal
brasileiros, brasileiro
,, ,
que, que
não, não
teriam, ter
atentado, atentado
para, para
as, o
pseudo-revelações, pseudo-revelação
da, de o
`, `
`, `
Veja, Veja
'', ''
., .

, 

Mas, mas
o, o
maior, grande
exemplo, exemplo
de, de
arrogância, arrogância
foi, ser
dado, dar
pelo, por o
próprio, próprio
ombudsman, ombudsman
., .

, 

Ele, ele
poderia, poder
ter, ter
confrontado, confrontar
os, o
argumentos, argumento
da, de o
Redação, Redação
,, ,
mas, mas
não, não
voltou, voltar
ao, a o
tema, tema
nas, em o
críticas, crítica
internas, interno
., .
Guardou, Guardou
as, o
conclusões, conclusão
infundadas, infundar
para, para
alimentar, alimentar
sua, seu
coluna, coluna
dominical, dominical
., .

, 

Seu, seu
texto, texto
desrespeitou, desrespeitar
os, o
que, que
têm, ter
acompanhado, acompanhar
as, o
investigações, investigação
do, de o
caso, caso
Senna, Senna
e, e
,, ,
principalmente, principalmente
,, ,
aqueles, aquele
que, que
,, ,
como, como
o, o
próprio, próprio
ombudsman, ombudsman
se, se
autodefine, autodefiner
,, ,
são, ser
leitores, leitor
bissextos, bissexto
do, de o
noticiário, noticiário
esportivo, esportivo
., .

, 

Poderia, Poderia
acusá-lo, acusá-lo
de, de
deselegância, deselegância
,, ,
por, por
ter, ter
usado, usar
em, em
sua, seu
coluna, coluna
discussões, discussão
internas, interno
sem, sem
consulta, consulta
prévia, prévio
à, a o
Direção, Direção
de, de
Redação, Redação
_, _
como, como
é, ser
praxe, praxe
na, em o
empresa, empresa
., .
Mas, mas
prefiro, prefiro
usar, usar
este, este
espaço, espaço
para, para
tentar, tentar
reparar, reparar
o, o
estrago, estrago
., .

, 

Resta, restar
apenas, apenas
um, um
`, `
`, `
furo, furo
'', ''
a, a
dar, dar
sobre, sobre
o, o
caso, caso
Senna, Senna
:, :
o, o
que, que
acontecerá, acontecer
aos, a o
responsáveis, responsável
pela, por o
tragédia, tragédia
em, em
Imola, Imola
., .

, 

Enquanto, enquanto
se, se
busca, buscar
a, o
resposta, resposta
,, ,
não, não
faz, fazer
sentido, sentido
anunciar, anunciar
como, como
`, `
`, `
novas, novo
'', ''
as, o
conclusões, conclusão
do, de o
inquérito, inquérito
conhecidas, conhecer
do, de o
público, público
., .

, 

Fez, Fez
melhor, bom
jornalismo, jornalismo
quem, quem
registrou, registrar
_, _
com, com
tom, tom
crítico, crítico
e, e
distanciado, distanciar
_, _
as, o
manifestações, manifestação
pelo, por o
aniversário, aniversário
do, de o
acidente, acidente
., .

, 

A, o
morte, morte
de, de
Senna, Senna
provocou, provocar
a, o
maior, grande
comoção, comoção
popular, popular
da, de o
história, história
recente, recente
do, de o
Brasil, Brasil
e, e
foi, ser
,, ,
provavelmente, provavelmente
,, ,
a, o
de, de
maior, grande
repercussão, repercussão
internacional, internacional
., .

, 

Isso, isso
é, ser
notícia, notícia
., .

, 

