Mesmo, ﻿Mesmo
com, com
a, o
permanência, permanência
de, de
Viola, Viola
até, até
o, o
final, final
do, de o
Paulista, paulista
,, ,
o, o
técnico, técnico
Eduardo, Eduardo
Amorim, Amorim
exige, exigir
a, o
contratação, contratação
imediata, imediato
de, de
mais, mais
um, um
atacante, atacante
para, para
o, o
Corinthians, Corinthians
., .

, 

Muller, Muller
,, ,
do, de o
Kashiwa, Kashiwa
Reysol, Reysol
(, (
do, de o
Japão, Japão
), )
,, ,
ainda, ainda
é, ser
o, o
nome, nome
preferido, preferido
., .

, 

`, `
`, `
Mas, mas
só, só
nos, nós
interessa, interessar
o, o
empréstimo, empréstimo
dele, de ele
'', ''
,, ,
disse, dizer
José, José
Mansur, Mansur
,, ,
diretor, diretor
de, de
futebol, futebol
., .

, 

A, o
contratação, contratação
definitiva, definitivo
seria, ser
inviável, inviável
pela, por o
multa, multa
rescisória, rescisório
exigida, exigir
pelo, por o
Kashiwa, Kashiwa
:, :
US$, US$
1, 1
milhão, milhão
., .

, 

