Desfalcado, ﻿Desfalcar
do, de o
volante, volante
Luisinho, Luisinho
,, ,
machucado, machucar
,, ,
mas, mas
com, com
a, o
volta, volta
do, de o
lateral-direito, lateral-direito
Pimentel, Pimentel
,, ,
o, o
Vasco, Vasco
da, de o
Gama, Gama
está, estar
definido, definido
para, para
enfrentar, enfrentar
o, o
Corinthians, Corinthians
hoje, hoje
., .

, 

Precisando, Precisando
da, de o
vitória, vitória
,, ,
o, o
técnico, técnico
Abel, Abel
escolheu, escolher
o, o
atacante, atacante
Hernande, Hernande
como, como
substituto, substituto
de, de
Luisinho, Luisinho
., .
Pimentel, Pimentel
,, ,
após, após
cumprir, cumprir
suspensão, suspensão
,, ,
retorna, retornar
no, em o
lugar, lugar
de, de
Bruno, Bruno
Carvalho, Carvalho
., .

, 

O, o
lateral, lateral
vascaíno, vascaíno
está, estar
otimista, otimista
em, em
relação, relação
ao, a o
jogo, jogo
desta, de este
tarde, tarde
., .
`, `
`, `
Sempre, sempre
dou, dar
sorte, sorte
contra, contra
o, o
Corinthians, Corinthians
,, ,
principalmente, principalmente
quando, quando
jogo, jogo
no, em o
Pacaembu, Pacaembu
'', ''
,, ,
disse, dizer
Pimentel, Pimentel
., .

, 

Na, em o
Taça, Taça
Rio-São, Rio-São
Paulo, Paulo
de, de
1993, 1993
,, ,
Pimentel, Pimentel
marcou, marcar
quatro, quatro
gols, gol
no, em o
Corinthians, Corinthians
nos, em o
dois, dois
jogos, jogo
realizados, realizar
entre, entre
as, o
equipes, equipe
;, ;
ambos, ambos
vencidos, vencer
pela, por o
equipe, equipe
paulista, paulir
por, por
4, 4
a, a
3, 3
., .

, 

O, o
Vasco, Vasco
chegou, chegar
a, a
São, São
Paulo, Paulo
ontem, ontem
e, e
,, ,
à, a o
tarde, tarde
,, ,
realizou, realizar
um, um
coletivo, coletivo
no, em o
Centro, centro
de, de
Treinamento, Treinamento
do, de o
São, São
Paulo, Paulo
,, ,
na, em o
Barra, Barra
Funda, Funda
(, (
zona, zona
oeste, oeste
), )
., .

, 

O, o
time, time
carioca, carioca
está, estar
em, em
crise, crise
., .
Com, com
a, o
derrota, derrota
do, de o
último, último
domingo, domingo
para, para
o, o
Flamengo, Flamengo
(, (
4, 4
a, a
2, 2
), )
,, ,
o, o
Vasco, Vasco
praticamente, praticamente
se, se
afastou, afastar
da, de o
disputa, disputa
pelo, por o
título, título
carioca, carioca
., .

, 

A, o
sede, sede
do, de o
clube, clube
,, ,
em, em
São, São
Januário, Januário
,, ,
foi, ser
depredada, depredar
por, por
torcedores, torcedor
anteontem, anteontem
., .

, 

`, `
`, `
Uma, um
grande, grande
vitória, vitória
sobre, sobre
o, o
Corinthians, Corinthians
pode, poder
mudar, mudar
todo, todo
esse, esse
quadro, quadro
'', ''
,, ,
acredita, acreditar
o, o
técnico, técnico
Abel, Abel
., .

, 

`, `
`, `
Vamos, ir
provar, provar
que, que
honramos, honrar
a, o
camisa, camisa
do, de o
Vasco, Vasco
'', ''
,, ,
acrescentou, acrescentar
., .

, 

O, o
treinador, treinador
mantém, manter
o, o
jovem, jovem
atacante, atacante
Brener, Brener
como, como
titular, titular
da, de o
equipe, equipe
., .
Clóvis, Clóvis
,, ,
que, que
veio, vir
do, de o
Benfica, Benfica
(, (
de, de
Portugal, Portugal
), )
,, ,
fica, ficar
no, em o
banco, banco
de, de
reservas, reserva
., .

, 

O, o
meia, meia
Yan, Yan
será, ser
o, o
responsável, responsável
pela, por o
armação, armação
das, de o
jogadas, jogada
ofensivas, ofensiva
do, de o
time, time
., .

, 

Leandro, Leandro
e, e
França, França
formarão, formar
a, o
dupla, dupla
de, de
volantes, volante
e, e
Cássio, Cássio
,, ,
pretendido, pretendir
pelo, por o
Corinthians, Corinthians
no, em o
início, início
do, de o
ano, ano
,, ,
será, ser
o, o
lateral-esquerdo, lateral-esquerdo
., .

, 

